date,open,high,low,ltp,percent_change,qty,turnover
2020-01-22,200.0,210.0,200.0,210.0,3.96,6787,1414628.0
2020-01-21,202.0,205.0,202.0,202.0,-1.94,4802,975394.0
2020-01-20,212.0,212.0,203.0,206.0,-4.19,5900,1206017.0
2020-01-19,205.0,218.0,201.0,215.0,-8.9,5489,1134333.0
2020-01-16,232.0,241.0,232.0,236.0,2.16,12324,2920112.0
2020-01-15,216.0,231.0,216.0,231.0,7.44,7005,1577292.0
2020-01-14,205.0,219.0,202.0,215.0,6.44,4177,874093.0
2020-01-13,204.0,205.0,202.0,202.0,-2.88,1469,299840.0
2020-01-12,199.0,208.0,196.0,208.0,4.52,1367,273899.0
2020-01-09,199.0,199.0,196.0,199.0,-1.49,605,119980.0
2020-01-08,199.0,202.0,199.0,202.0,2.54,3598,719345.0
2020-01-07,195.0,200.0,195.0,197.0,1.55,1980,390156.0
2020-01-06,194.0,197.0,193.0,194.0,0.0,2654,516731.0
2020-01-05,194.0,195.0,193.0,194.0,1.04,6650,1292300.0
2020-01-01,192.0,194.0,190.0,192.0,1.59,3150,600610.0
2019-12-31,191.0,191.0,186.0,189.0,-2.58,954,180082.0
2019-12-30,191.0,194.0,191.0,194.0,0.52,538,103728.0
2019-12-29,189.0,193.0,189.0,193.0,3.76,3439,654734.0
2019-12-26,189.0,189.0,186.0,186.0,-2.62,115,21705.0
2019-12-25,185.0,191.0,185.0,191.0,3.8,271,50651.0
2019-12-24,194.0,194.0,184.0,184.0,-4.17,768,144782.0
2019-12-23,174.0,192.0,174.0,192.0,9.71,1718,320164.0
2019-12-22,178.0,178.0,175.0,175.0,-1.69,39,6855.0
2019-12-18,175.0,178.0,175.0,178.0,0.0,20,3530.0
2019-12-17,179.0,179.0,178.0,178.0,-0.56,220,39260.0
2019-12-16,180.0,180.0,179.0,179.0,-0.56,600,107500.0
2019-12-15,187.0,187.0,180.0,180.0,-3.74,1976,361075.0
2019-12-12,187.0,187.0,187.0,187.0,1.63,15,2805.0
2019-12-11,182.0,185.0,182.0,184.0,2.79,1223,224360.0
2019-12-10,179.0,179.0,179.0,179.0,1.7,100,17900.0
2019-12-09,176.0,176.0,176.0,176.0,1.73,200,35200.0
2019-12-08,170.0,173.0,170.0,173.0,2.37,616,105075.0
2019-12-05,169.0,169.0,169.0,169.0,1.81,80,13520.0
2019-12-04,167.0,167.0,164.0,166.0,1.22,571,94452.0
2019-12-03,164.0,164.0,164.0,164.0,-1.8,100,16400.0
2019-12-02,166.0,167.0,165.0,167.0,0.6,1100,182330.0
2019-12-01,168.0,168.0,164.0,166.0,-0.6,1845,304125.0
2019-11-28,167.0,167.0,167.0,167.0,-1.76,100,16700.0
2019-11-27,168.0,170.0,168.0,170.0,3.03,45,7610.0
2019-11-26,167.0,167.0,164.0,165.0,-2.94,905,149345.0
2019-11-25,168.0,170.0,168.0,170.0,1.19,100,16840.0
2019-11-24,166.0,168.0,165.0,168.0,0.0,380,62980.0
2019-11-20,169.0,169.0,168.0,168.0,-1.18,297,49926.0
2019-11-19,176.0,176.0,170.0,170.0,-2.86,2095,358480.0
2019-11-18,176.0,176.0,175.0,175.0,-0.57,280,49100.0
2019-11-17,176.0,176.0,176.0,176.0,-1.68,20,3520.0
2019-11-14,180.0,180.0,179.0,179.0,0.56,230,41270.0
2019-11-12,177.0,178.0,177.0,178.0,0.0,1050,186800.0
2019-11-11,178.0,178.0,178.0,178.0,0.0,1207,214846.0
2019-11-10,179.0,180.0,178.0,178.0,-1.66,318,56924.0
2019-11-07,184.0,184.0,181.0,181.0,-1.63,330,60290.0
2019-11-05,188.0,190.0,184.0,184.0,-3.16,1880,349120.0
2019-11-04,192.0,192.0,189.0,190.0,-2.56,580,110300.0
2019-11-03,198.0,198.0,195.0,195.0,0.0,290,57130.0
2019-10-23,198.0,198.0,195.0,195.0,-1.52,77,15189.0
2019-10-22,207.0,207.0,198.0,198.0,0.0,215,42910.0
2019-10-21,198.0,198.0,198.0,198.0,1.02,100,19800.0
2019-10-16,199.0,199.0,196.0,196.0,0.0,265,51970.0
2019-10-15,196.0,196.0,196.0,196.0,1.55,10,1960.0
2019-10-03,193.0,193.0,193.0,193.0,-1.03,310,59830.0
2019-10-02,198.0,198.0,195.0,195.0,0.0,880,172230.0
2019-10-01,195.0,195.0,195.0,195.0,1.04,50,9750.0
2019-09-29,204.0,204.0,193.0,193.0,-1.03,760,147490.0
2019-09-26,192.0,195.0,192.0,195.0,1.56,260,50480.0
2019-09-25,199.0,199.0,192.0,192.0,-3.03,280,54574.0
2019-09-24,196.0,200.0,196.0,198.0,-1.0,405,80460.0
2019-09-23,193.0,206.0,193.0,200.0,3.9,402,80862.0
2019-09-22,250.0,260.0,246.0,248.0,2.06,8789,2200499.0
2019-09-19,250.0,250.0,243.0,243.0,-2.41,427,106410.0
2019-09-18,252.0,252.0,249.0,249.0,0.0,1623,405437.0
2019-09-17,251.0,254.0,233.0,249.0,-0.4,2385,581874.0
2019-09-16,249.0,251.0,249.0,250.0,2.04,571,142790.0
2019-09-15,245.0,245.0,245.0,245.0,-2.0,1128,276360.0
2019-09-12,250.0,250.0,250.0,250.0,0.0,85,21250.0
2019-09-11,251.0,251.0,249.0,250.0,0.0,370,92400.0
2019-09-10,253.0,254.0,250.0,250.0,-0.4,933,234883.0
2019-09-09,243.0,251.0,243.0,251.0,2.03,211,52412.0
2019-09-08,252.0,267.0,246.0,246.0,-0.81,1084,271856.0
2019-09-05,260.0,265.0,248.0,248.0,-2.75,4365,1102940.0
2019-09-04,262.0,263.0,255.0,255.0,-3.41,2080,538570.0
