date,open,high,low,ltp,percent_change,qty,turnover
2016-03-14,215.0,234.0,219.0,234.0,0.0,3838,861587.0
2016-03-03,211.0,215.0,215.0,215.0,0.0,133,28595.0
2016-03-02,211.0,211.0,207.0,211.0,0.0,235,49445.0
2016-03-01,215.0,211.0,211.0,211.0,0.0,300,63300.0
2016-02-29,216.0,216.0,212.0,215.0,0.0,4434,947744.0
2016-02-24,230.0,226.0,216.0,216.0,0.0,2300,508200.0
2016-02-22,229.0,230.0,230.0,230.0,0.0,93,21390.0
2016-02-18,225.0,229.0,221.0,229.0,0.0,2566,572586.0
2016-02-17,217.0,225.0,221.0,225.0,0.0,3609,807081.0
2016-02-16,211.0,218.0,207.0,217.0,0.0,2769,596744.0
2016-02-15,213.0,212.0,211.0,211.0,0.0,700,147900.0
2016-02-14,215.0,215.0,213.0,213.0,0.0,874,186910.0
2016-02-11,217.0,218.0,212.0,215.0,0.0,2776,596840.0
2016-02-08,211.0,225.0,214.0,217.0,0.0,4555,990487.0
2016-02-07,215.0,211.0,211.0,211.0,0.0,100,21100.0
2016-02-04,207.0,215.0,211.0,215.0,0.0,1706,366710.0
2016-02-03,205.0,209.0,200.0,207.0,0.0,2584,526448.0
2016-02-02,198.0,205.0,199.0,205.0,0.0,5646,1146316.0
2016-02-01,196.0,202.0,198.0,198.0,0.0,5883,1173720.0
2016-01-31,193.0,196.0,190.0,196.0,0.0,1009,196425.0
2016-01-28,199.0,196.0,193.0,193.0,0.0,76,14746.0
2016-01-27,184.0,202.0,187.0,199.0,0.0,1070,207290.0
2016-01-26,183.0,184.0,183.0,184.0,0.0,500,91800.0
2016-01-25,186.0,189.0,183.0,183.0,0.0,728,135174.0
2016-01-24,180.0,189.0,183.0,186.0,0.0,1195,222522.0
2016-01-21,171.0,180.0,174.0,180.0,0.0,224,39876.0
2016-01-20,180.0,177.0,171.0,171.0,0.0,297,51669.0
2016-01-19,177.0,180.0,180.0,180.0,0.0,105,18900.0
2016-01-18,180.0,183.0,177.0,177.0,0.0,523,93201.0
2016-01-17,180.0,183.0,180.0,180.0,0.0,550,99150.0
2016-01-13,180.0,183.0,180.0,180.0,0.0,168,30300.0
2016-01-11,174.0,180.0,177.0,180.0,0.0,120,21540.0
2016-01-10,171.0,174.0,174.0,174.0,0.0,1070,186180.0
2016-01-07,180.0,183.0,171.0,171.0,0.0,1876,333066.0
2016-01-06,194.0,191.0,180.0,180.0,0.0,2278,423550.0
2016-01-05,193.0,194.0,190.0,194.0,0.0,2663,512370.0
2016-01-04,179.0,196.0,180.0,193.0,0.0,677,128312.0
2016-01-03,163.0,179.0,166.0,179.0,0.0,5118,902107.0
2015-12-31,160.0,163.0,163.0,163.0,0.0,20,3260.0
2015-12-20,163.0,160.0,160.0,160.0,0.0,105,16800.0
2015-12-16,165.0,163.0,163.0,163.0,0.0,2632,429016.0
2015-12-14,183.0,180.0,165.0,165.0,0.0,2236,370778.0
2015-10-07,186.0,183.0,183.0,183.0,0.0,93,17019.0
2015-09-23,183.0,186.0,186.0,186.0,0.0,20,3720.0
2015-09-17,183.0,183.0,183.0,183.0,0.0,200,36600.0
2015-09-14,180.0,186.0,183.0,183.0,0.0,320,59060.0
2015-09-13,171.0,188.0,174.0,180.0,0.0,2051,380747.0
2015-09-10,156.0,171.0,159.0,171.0,0.0,50,8250.0
2015-09-09,150.0,156.0,153.0,156.0,0.0,88,13578.0
2015-08-06,158.0,155.0,147.0,150.0,0.0,3031,454372.0
2015-08-05,162.0,162.0,156.0,158.0,0.0,6979,1097507.0
2015-08-04,160.0,170.0,159.0,162.0,0.0,3893,634895.0
2015-08-03,170.0,169.0,160.0,160.0,0.0,614,99424.0
2015-08-02,162.0,173.0,160.0,170.0,0.0,8303,1389458.0
2015-07-30,171.0,168.0,162.0,162.0,0.0,221,36357.0
2015-07-29,177.0,174.0,171.0,171.0,0.0,98,16905.0
2015-07-28,180.0,177.0,177.0,177.0,0.0,124,21948.0
2015-07-27,177.0,183.0,180.0,180.0,0.0,1679,303795.0
2015-07-26,168.0,177.0,171.0,177.0,0.0,989,169941.0
2015-07-23,162.0,168.0,165.0,168.0,0.0,1962,327435.0
2015-07-22,156.0,162.0,159.0,162.0,0.0,439,70183.0
2015-07-15,162.0,159.0,156.0,156.0,0.0,717,112068.0
2015-07-14,153.0,162.0,156.0,162.0,0.0,2358,379964.0
2015-07-13,148.0,153.0,148.0,153.0,0.0,3041,451918.0
2015-07-12,145.0,149.0,143.0,148.0,0.0,1420,208766.0
2015-07-07,147.0,145.0,145.0,145.0,0.0,172,24940.0
2015-07-06,146.0,152.0,147.0,147.0,0.0,997,147407.0
2015-07-05,133.0,146.0,135.0,146.0,0.0,1162,166896.0
2015-06-30,135.0,133.0,133.0,133.0,0.0,156,20748.0
2015-06-29,133.0,135.0,135.0,135.0,0.0,53,7155.0
2015-06-28,133.0,133.0,131.0,133.0,0.0,29,3819.0
2015-06-23,135.0,135.0,133.0,133.0,0.0,735,97851.0
2015-06-22,134.0,135.0,134.0,135.0,0.0,1370,184128.0
2015-06-21,137.0,137.0,134.0,134.0,0.0,1035,139416.0
2015-06-18,137.0,137.0,135.0,137.0,0.0,1935,263493.0
2015-06-17,134.0,138.0,136.0,137.0,0.0,749,102556.0
2015-06-15,136.0,134.0,134.0,134.0,0.0,19,2546.0
2015-06-11,138.0,136.0,136.0,136.0,0.0,24,3264.0
2015-06-07,138.0,138.0,136.0,138.0,0.0,523,71774.0
2015-06-04,136.0,138.0,138.0,138.0,0.0,19,2622.0
