date,open,high,low,ltp,percent_change,qty,turnover
2022-07-13,358.1,373.0,358.1,365.0,1.96,1911,701431.0
2022-07-12,353.0,373.0,348.0,358.0,-0.58,1705,612892.0
2022-07-11,371.7,372.0,360.0,360.1,-5.04,1970,718243.0
2022-07-08,380.3,387.0,374.0,379.2,-2.27,1311,498013.0
2022-07-07,395.0,402.9,388.0,388.0,-2.27,2185,862748.5
2022-07-06,396.0,408.0,385.2,397.0,-0.75,1681,666165.2
2022-07-05,403.8,409.0,393.0,400.0,-2.91,2325,928176.0
2022-07-04,403.0,434.0,397.0,412.0,1.75,5081,2130743.5
2022-07-03,400.0,404.9,377.3,404.9,2.22,3026,1201680.9
2022-07-01,403.0,405.0,396.0,396.1,-2.2,1496,597528.5
2022-06-30,381.0,412.0,381.0,405.0,4.38,3268,1292129.5
2022-06-29,385.0,392.0,385.0,388.0,0.26,2393,928545.0
2022-06-28,392.0,394.0,377.0,387.0,-3.25,1560,597804.1
2022-06-27,400.1,421.3,382.5,400.0,0.18,4314,1724518.7
2022-06-26,363.0,399.3,361.0,399.3,10.0,5006,1893616.4
2022-06-24,337.3,364.0,325.5,363.0,5.83,1879,640760.8
2022-06-23,357.0,357.0,336.1,343.0,-3.92,2573,875968.0
2022-06-22,365.0,365.0,350.0,357.0,-2.19,1270,450004.0
2022-06-21,350.0,369.4,348.0,365.0,2.79,786,286579.4
2022-06-20,352.8,357.0,352.8,355.1,-1.36,2684,950646.5
2022-06-19,366.6,371.0,360.0,360.0,-3.74,3624,1311568.0
2022-06-17,380.0,381.0,374.0,374.0,-1.84,1045,393672.0
2022-06-16,380.0,394.0,380.0,381.0,0.26,714,273640.0
2022-06-15,389.0,395.0,373.8,380.0,-2.34,2840,1088594.0
2022-06-14,393.3,399.9,389.1,389.1,-2.72,2312,905907.2
2022-06-13,400.0,401.0,395.0,400.0,-0.27,1144,454538.0
2022-06-10,402.0,402.0,394.1,401.1,-1.69,400,160182.0
2022-06-09,412.0,431.4,395.8,408.0,-1.69,3985,1646545.0
2022-06-08,394.0,422.0,394.0,415.0,3.75,1250,511551.0
2022-06-07,410.0,415.0,399.0,400.0,-3.61,4215,1699269.5
2022-06-06,423.0,431.4,405.0,415.0,-1.89,1810,748745.0
2022-06-03,415.0,423.0,402.0,423.0,0.24,4198,1704810.2
2022-06-02,435.0,435.0,421.0,422.0,-2.99,930,394824.0
2022-06-01,432.0,443.0,432.0,435.0,-1.14,915,399215.0
2022-05-31,440.0,446.0,439.0,440.0,-1.17,1139,502084.0
2022-05-30,453.0,453.0,442.0,445.2,-1.13,1930,858559.0
2022-05-27,450.0,468.0,450.0,450.3,-1.25,1270,573199.0
2022-05-26,444.2,463.0,444.2,456.0,0.66,840,383932.5
2022-05-25,451.0,486.0,451.0,453.0,0.67,2295,1056757.0
2022-05-24,443.0,455.0,443.0,450.0,-0.22,1485,666710.0
2022-05-23,460.0,460.0,450.8,451.0,-3.01,4300,1947070.0
2022-05-20,464.0,469.0,463.0,465.0,-1.29,1650,769229.0
2022-05-19,470.0,479.4,465.0,471.1,-1.65,4154,1961920.0
2022-05-18,476.0,488.0,458.0,479.0,-0.21,7089,3307431.2
2022-05-17,510.0,510.0,480.0,480.0,-6.98,4568,2216195.5
2022-05-12,532.0,533.0,514.5,516.0,-1.15,6312,3306575.5
2022-05-11,520.2,530.0,510.0,522.0,2.35,2259,1162319.0
2022-05-10,489.2,515.8,488.1,510.0,2.8,2230,1113482.9
2022-05-09,495.0,515.1,490.0,496.1,0.22,1370,686371.0
2022-05-08,503.8,503.8,469.0,495.0,0.2,3665,1741408.0
2022-05-05,497.0,503.1,488.1,494.0,-2.56,3109,1529606.1
2022-05-04,510.1,515.0,505.0,507.0,-2.5,1455,741484.0
2022-05-02,531.0,534.0,511.1,520.0,-3.7,4392,2283454.5
2022-04-28,525.7,545.0,525.7,540.0,0.75,1430,773518.0
2022-04-27,532.0,545.0,532.0,536.0,-0.92,1501,811139.6
2022-04-26,544.0,559.0,541.0,541.0,-2.52,2116,1162813.0
2022-04-25,555.0,565.0,550.0,555.0,0.0,2979,1655864.5
2022-04-24,528.0,564.8,526.0,555.0,4.82,1794,983551.0
2022-04-21,517.0,529.5,510.1,529.5,0.86,1750,904178.0
2022-04-20,531.0,540.0,525.0,525.0,-2.78,2952,1560225.5
2022-04-19,550.0,550.0,521.0,540.0,0.0,1262,683137.0
2022-04-18,555.0,555.0,535.1,540.0,-3.91,1486,806099.4
2022-04-17,551.0,573.2,551.0,562.0,0.0,1680,936304.0
2022-04-13,562.0,565.0,546.0,562.0,0.0,2307,1286003.2
2022-04-12,565.0,575.0,558.0,562.0,-2.43,2130,1206497.9
2022-04-11,590.0,600.0,576.0,576.0,-1.61,5075,2946929.0
2022-04-07,580.0,598.5,575.0,585.4,0.91,5316,3118962.0
2022-04-06,585.0,594.0,580.1,580.1,-2.18,2875,1685363.0
2022-04-05,610.0,612.0,588.0,593.0,-4.06,5796,3464842.1
2022-04-04,636.0,636.4,613.0,618.1,-0.95,3006,1859779.0
2022-04-03,630.0,633.5,622.4,624.0,-2.5,3045,1913978.0
2022-03-31,650.0,665.0,617.4,640.0,-0.62,7669,4866191.5
2022-03-30,630.0,657.4,623.0,644.0,1.9,6531,4137966.0
2022-03-29,635.0,636.0,625.5,632.0,-0.49,5906,3734832.0
2022-03-28,658.2,658.2,632.0,635.1,-3.48,14600,9334996.9
2022-03-27,612.0,660.0,612.0,658.0,9.67,46419,30534098.3
2022-03-24,588.1,615.0,588.1,600.0,0.17,6035,3661434.5
2022-03-23,593.2,603.0,590.0,599.0,-1.01,3516,2089671.0
2022-03-22,606.0,609.9,595.3,605.1,0.18,3483,2104974.0
2022-03-21,589.1,604.0,589.1,604.0,0.67,1872,1113072.0
2022-03-20,589.0,600.0,589.0,600.0,0.5,1795,1062333.0
2022-03-16,606.9,606.9,590.6,597.0,0.34,3215,1907597.5
2022-03-15,580.0,606.9,573.0,595.0,1.88,3800,2226472.6
2022-03-14,575.0,589.9,571.0,584.0,-0.17,3057,1779904.0
2022-03-13,536.1,586.0,536.1,585.0,6.97,5542,3188162.5
2022-03-10,536.0,546.9,529.5,546.9,1.81,1695,914594.0
2022-03-09,560.0,560.0,536.1,537.2,-3.38,1875,1014407.0
2022-03-07,555.0,566.0,552.0,556.0,-1.4,4263,2369701.0
2022-03-06,555.0,571.0,553.1,563.9,0.16,2691,1513295.0
2022-03-02,570.0,570.0,551.1,563.0,-2.93,2081,1161065.0
2022-02-28,570.0,583.0,559.0,580.0,0.87,5280,2992182.5
2022-02-27,580.0,594.0,567.0,575.0,-1.71,3860,2218502.0
2022-02-24,608.0,610.0,584.0,585.0,-3.78,3452,2041677.0
2022-02-23,611.0,611.0,602.0,608.0,-0.49,1527,920427.2
2022-02-22,614.0,616.0,603.2,611.0,-0.63,3286,2001325.5
2022-02-21,610.0,620.0,600.0,614.9,1.3,1545,937997.0
