date,open,high,low,ltp,percent_change,qty,turnover
2026-05-19,258.0,258.0,258.0,258.0,0.0,7732,1994856.0
2026-04-29,260.0,258.0,258.0,258.0,-0.77,78475,20246550.0
2026-04-28,262.0,260.0,260.0,260.0,-0.76,39237,10201620.0
2026-04-27,264.0,262.0,262.0,262.0,-0.76,78475,20560450.0
2026-04-24,266.0,264.0,264.0,264.0,-0.75,39237,10358568.0
2026-04-23,266.0,266.0,266.0,266.0,0.0,39237,10437042.0
2025-05-20,323.0,323.0,323.0,323.0,0.0,37922,9480500.0
2025-05-15,323.0,323.0,323.0,323.0,0.0,320573,80143250.0
2025-05-11,323.0,323.0,323.0,323.0,0.0,36429,9107250.0
2025-05-04,323.0,323.0,323.0,323.0,0.0,7286,2353378.0
2025-04-29,323.0,323.0,323.0,323.0,0.0,43714,14119622.0
2025-04-23,323.0,323.0,323.0,323.0,0.0,100,32300.0
2025-03-23,100.0,100.0,100.0,100.0,0.0,7286,1821500.0
2025-03-20,100.0,100.0,100.0,100.0,0.0,7286,1821500.0
2025-03-03,250.0,250.0,250.0,250.0,0.0,72857,18214250.0
2025-02-06,250.0,250.0,250.0,250.0,0.0,18250,4562500.0
2025-02-05,250.0,250.0,250.0,250.0,0.0,72857,18214250.0
2025-01-28,250.0,250.0,250.0,250.0,0.0,7300,1825000.0
2025-01-27,250.0,250.0,250.0,250.0,0.0,66430,16607500.0
