date,open,high,low,ltp,percent_change,qty,turnover
2025-05-08,228.0,228.0,228.0,228.0,0.0,10000,2280000.0
2025-04-15,228.0,228.0,228.0,228.0,0.0,30000,6840000.0
2025-04-07,228.0,228.0,228.0,228.0,0.0,41017,9351876.0
2024-11-06,262.0,262.0,262.0,262.0,0.0,125000,32750000.0
2024-08-22,206.0,206.0,206.0,206.0,0.0,2000,412000.0
2024-08-21,206.0,206.0,206.0,206.0,-1.9,40306,8303036.0
2024-06-24,210.0,210.0,210.0,210.0,0.0,63500,13335000.0
2024-03-03,181.3,181.3,181.3,181.3,-2.0,31000,5620300.0
2024-02-08,131.5,131.5,120.23,120.23,0.0,169537,20439783.51
2023-10-16,185.0,185.0,185.0,185.0,0.0,54153,10018305.0
2023-10-11,185.0,185.0,185.0,185.0,0.0,33680,6230800.0
2023-09-27,185.0,185.0,185.0,185.0,0.0,15000,2775000.0
2023-09-19,185.0,185.0,185.0,185.0,0.0,6000,1110000.0
2023-08-14,185.0,185.0,185.0,185.0,0.0,18374,3399190.0
2023-08-07,185.0,185.0,185.0,185.0,0.0,80000,14800000.0
2023-07-12,185.0,185.0,185.0,185.0,0.0,17956,3321860.0
2023-07-05,185.0,185.0,185.0,185.0,0.0,2094,387390.0
2023-06-12,185.0,185.0,185.0,185.0,0.0,1102,203870.0
2023-05-30,185.0,185.0,185.0,185.0,0.0,36800,6808000.0
2023-05-22,185.0,185.0,185.0,185.0,0.0,45264,8373840.0
2023-04-24,185.0,185.0,185.0,185.0,0.0,19170,3546450.0
2023-04-05,185.0,185.0,185.0,185.0,0.0,35000,6475000.0
2023-03-19,185.0,185.0,185.0,185.0,0.0,5124,947940.0
2023-02-26,185.0,185.0,185.0,185.0,-1.6,50985,9432225.0
2022-12-22,169.0,169.0,169.0,169.0,0.0,73793,12471017.0
2022-12-01,169.0,169.0,169.0,169.0,0.0,39991,6758479.0
2022-11-17,169.0,169.0,169.0,169.0,0.0,35158,5941702.0
2022-11-16,169.0,169.0,169.0,169.0,0.0,70316,11883404.0
2022-11-15,169.0,169.0,169.0,169.0,0.0,89491,15123979.0
2022-07-27,140.0,140.0,140.0,140.0,0.0,17040,2385600.0
2022-06-14,140.0,140.0,140.0,140.0,0.0,6000,1110000.0
2022-01-13,140.0,140.0,140.0,140.0,0.0,796,111440.0
2021-12-02,140.0,140.0,140.0,140.0,0.0,25504,3570560.0
2021-11-30,140.0,140.0,140.0,140.0,0.0,28574,4000360.0
2021-10-11,140.0,140.0,140.0,140.0,0.0,16215,2270100.0
2021-09-02,142.0,142.0,140.0,140.0,0.0,122698,17294200.0
2021-09-01,140.0,140.0,140.0,140.0,0.0,6276,878640.0
2021-05-02,140.0,140.0,140.0,140.0,0.0,6000,840000.0
2021-04-27,140.0,140.0,140.0,140.0,0.0,36348,5088720.0
2021-04-22,140.0,140.0,140.0,140.0,0.0,28574,4000360.0
2021-04-21,140.0,140.0,140.0,140.0,0.0,111163,15562820.0
2021-04-05,140.0,140.0,140.0,140.0,0.0,14912,2087680.0
2021-04-04,140.0,140.0,140.0,140.0,0.0,2750,385000.0
2021-03-17,140.0,140.0,140.0,140.0,0.0,23000,3220000.0
2021-01-10,146.0,146.0,146.0,146.0,0.0,36300,5299800.0
2020-10-18,177.0,177.0,177.0,177.0,0.0,31609,5594793.0
2020-03-03,177.0,177.0,177.0,177.0,29.2,50000,8850000.0
2019-12-05,137.0,137.0,137.0,137.0,0.0,48000,6576000.0
2019-08-26,137.0,137.0,137.0,137.0,5.38,16491,2259267.0
2019-04-30,130.0,130.0,130.0,130.0,0.0,27488,3573440.0
2019-04-10,130.0,130.0,130.0,130.0,0.0,52205,6786650.0
2019-04-03,130.0,130.0,130.0,130.0,0.0,23523,3057990.0
2019-03-17,130.0,130.0,130.0,130.0,0.0,343088,44601440.0
