date,open,high,low,ltp,percent_change,qty,turnover
2023-03-12,688.1,694.0,650.0,666.0,-4.86,1247,835527.2
2023-03-09,661.0,700.0,661.0,700.0,4.79,1304,890126.9
2023-03-07,660.0,673.0,660.0,668.0,0.75,1323,881474.0
2023-03-05,676.1,676.1,663.0,663.0,-1.19,1481,987797.0
2023-03-02,666.0,674.0,665.5,671.0,0.3,3459,2303254.7
2023-03-01,663.0,674.0,663.0,669.0,1.06,2022,1346722.3
2023-02-28,650.2,670.0,650.0,662.0,0.3,877,577789.5
2023-02-27,661.1,666.0,653.0,660.0,0.0,1641,1080757.0
2023-02-26,661.5,672.0,651.0,660.0,-2.21,3567,2369353.7
2023-02-23,670.0,674.9,669.0,674.9,-1.19,1853,1242954.2
2023-02-22,676.0,689.0,675.0,683.0,-0.15,2564,1753280.1
2023-02-20,700.0,700.0,682.0,684.0,-0.73,1101,758692.6
2023-02-16,688.1,699.0,684.0,689.0,0.0,3625,2493385.4
2023-02-15,701.0,701.0,689.0,689.0,0.15,2201,1526174.0
2023-02-14,691.0,705.9,688.0,688.0,-0.43,8156,5693150.6
2023-02-12,705.0,725.0,686.0,691.0,-2.89,6724,4742602.8
2023-02-09,798.0,805.0,784.0,799.8,0.23,9228,7327459.9
2023-02-08,810.0,812.0,790.0,798.0,0.39,5410,4311629.0
2023-02-07,763.9,795.0,763.9,794.9,4.59,5673,4403976.2
2023-02-06,759.0,764.0,752.4,760.0,1.02,2613,1989070.3
2023-02-05,750.0,765.0,746.0,752.3,-0.96,4019,3034059.2
2023-02-02,755.0,760.0,736.2,759.6,1.28,5817,4344964.8
2023-02-01,763.7,770.1,749.1,750.0,-3.72,9161,6922325.4
2023-01-31,800.0,825.0,770.2,779.0,-4.3,4035,3171522.1
2023-01-30,855.1,855.1,799.0,814.0,-6.44,8467,6956684.8
2023-01-29,928.2,930.0,870.0,870.0,-4.4,15844,14023380.6
2023-01-26,887.4,957.0,887.4,910.0,4.6,17264,16088385.6
2022-07-13,857.0,870.0,840.0,870.0,3.45,1909,1637849.4
2022-07-12,823.2,848.0,807.1,841.0,0.12,2806,2343637.2
2022-07-11,843.0,846.0,827.2,840.0,-2.33,2054,1717634.2
2022-07-08,846.0,860.0,840.0,860.0,1.75,799,679111.5
2022-07-07,870.0,875.0,845.2,845.2,-1.26,1136,974485.1
2022-07-06,851.0,875.0,835.0,856.0,0.12,2137,1817043.1
2022-07-05,887.4,887.4,855.0,855.0,-1.72,1638,1411562.0
2022-07-04,900.0,918.0,870.0,870.0,-1.84,6038,5398360.3
2022-07-03,870.0,886.3,837.0,886.3,3.81,1451,1261171.5
2022-07-01,830.0,855.0,830.0,853.8,2.26,1921,1630704.8
2022-06-30,788.0,836.0,788.0,834.9,7.85,3912,3199869.0
2022-06-29,765.0,774.1,758.0,774.1,2.8,850,650408.0
2022-06-28,740.0,754.0,735.0,753.0,-0.26,532,395916.0
2022-06-27,750.0,770.0,745.0,755.0,-0.66,2405,1829291.0
2022-06-26,738.0,765.0,737.0,760.0,4.97,2644,1989879.6
2022-06-24,700.0,724.9,686.0,724.0,3.43,1259,882307.0
2022-06-23,720.0,720.0,696.0,700.0,-3.91,2322,1641650.1
2022-06-22,740.1,740.1,728.0,728.5,-2.87,1027,752625.5
2022-06-21,730.0,750.0,730.0,750.0,1.9,768,568563.5
2022-06-20,763.0,772.9,720.0,736.0,-4.79,5495,4126221.0
2022-06-19,770.0,800.7,770.0,773.0,-0.9,1391,1098920.2
2022-06-17,788.0,788.0,780.0,780.0,-0.89,566,444464.1
2022-06-16,770.3,801.0,770.3,787.0,0.13,748,591845.0
2022-06-15,805.8,805.8,768.1,786.0,-0.51,2031,1579007.1
2022-06-14,828.1,828.1,780.3,790.0,-6.51,3701,2926859.4
2022-06-13,861.9,861.9,801.0,845.0,0.0,1184,967110.9
2022-06-10,848.0,848.0,776.6,845.0,-1.52,822,682048.0
2022-06-09,882.3,882.3,846.0,858.0,-0.81,889,764125.5
2022-06-08,795.0,868.0,792.0,865.0,8.81,4092,3331126.0
2022-06-07,795.0,800.0,795.0,795.0,-1.85,587,466852.2
2022-06-06,801.0,815.0,768.4,810.0,-0.61,1801,1406807.2
2022-06-03,825.0,829.5,815.0,815.0,-2.86,855,701594.0
2022-06-02,839.9,839.9,795.2,839.0,1.08,1666,1350774.0
2022-06-01,845.0,851.0,830.0,830.0,-1.96,1555,1303178.2
2022-05-31,885.0,885.0,830.0,846.6,-4.34,4368,3686419.9
