date,open,high,low,ltp,percent_change,qty,turnover
2025-02-06,461.0,461.0,461.0,461.0,0.0,50000,23050000.0
2025-02-04,461.0,461.0,461.0,461.0,-1.91,60000,27660000.0
2025-02-02,470.0,470.0,470.0,470.0,0.0,60000,28200000.0
2022-01-31,1050.0,1050.0,1050.0,1050.0,-1.41,23504,24679200.0
2022-01-30,1065.0,1065.0,1065.0,1065.0,0.0,36890,39287850.0
2021-10-11,911.0,911.0,911.0,911.0,0.0,100000,91100000.0
2021-10-05,911.0,911.0,911.0,911.0,0.0,150000,136650000.0
2021-10-03,911.0,911.0,911.0,911.0,0.0,150000,136650000.0
2021-09-30,911.0,911.0,911.0,911.0,0.0,100000,91100000.0
2021-01-11,1009.0,1009.0,1009.0,1009.0,0.0,47471,47898239.0
2019-07-29,440.0,440.0,440.0,440.0,-26.67,200,88000.0
2018-07-19,600.0,600.0,600.0,600.0,0.0,7235,4341000.0
2017-12-06,1220.0,1196.0,1196.0,1196.0,0.0,9991,11949236.0
2017-11-02,1220.0,1220.0,1220.0,1220.0,0.0,500,610000.0
2017-10-29,1220.0,1220.0,1220.0,1220.0,0.0,30000,36600000.0
2017-08-03,1200.0,1220.0,1220.0,1220.0,0.0,500,610000.0
2017-03-16,1320.0,1294.0,1294.0,1294.0,0.0,16603,21484282.0
2016-10-26,1346.0,1320.0,1320.0,1320.0,0.0,17707,23373240.0
2016-09-29,1346.0,1346.0,1346.0,1346.0,0.0,15985,21515810.0
2016-09-28,1346.0,1346.0,1346.0,1346.0,0.0,16000,21536000.0
2016-09-11,1458.0,1429.0,1320.0,1346.0,0.0,17667,23323390.0
2016-09-08,1578.0,1547.0,1458.0,1458.0,0.0,40,60090.0
2016-08-31,1578.0,1578.0,1578.0,1578.0,0.0,11566,18251148.0
2016-08-30,1578.0,1578.0,1578.0,1578.0,0.0,9000,14202000.0
2016-08-29,1578.0,1578.0,1578.0,1578.0,0.0,15000,23670000.0
2016-08-28,1578.0,1578.0,1578.0,1578.0,0.0,20000,31560000.0
2016-08-24,1578.0,1578.0,1578.0,1578.0,0.0,15000,23670000.0
2016-08-23,1610.0,1578.0,1578.0,1578.0,0.0,10000,15780000.0
2016-08-22,1640.0,1610.0,1610.0,1610.0,0.0,15500,24955000.0
2016-08-21,1740.0,1706.0,1640.0,1640.0,0.0,15000,24649000.0
2016-08-11,1740.0,1740.0,1740.0,1740.0,0.0,33540,58359600.0
2016-08-10,1775.0,1740.0,1740.0,1740.0,0.0,20000,34800000.0
2016-06-19,1775.0,1775.0,1775.0,1775.0,0.0,60899,108095728.0
2015-08-09,367.0,367.0,367.0,367.0,0.0,6037,2215579.0
2015-07-09,360.0,367.0,367.0,367.0,0.0,6202,2276134.0
2015-02-24,403.0,403.0,403.0,403.0,0.0,30822,12421266.0
2014-12-15,411.0,403.0,403.0,403.0,0.0,10000,4030000.0
2014-10-21,419.0,411.0,411.0,411.0,0.0,29465,12110115.0
2014-09-04,419.0,419.0,419.0,419.0,0.0,56966,23868754.0
2014-07-15,419.0,419.0,419.0,419.0,0.0,12000,5028000.0
2014-06-11,442.0,442.0,419.0,419.0,0.0,81200,34023700.0
