date,open,high,low,ltp,percent_change,qty,turnover
2023-02-28,603.1,651.2,603.1,651.2,6.41,5982,3669161.8
2023-02-27,619.0,620.0,590.1,612.0,0.66,3464,2063638.7
2023-02-26,599.0,608.0,578.2,608.0,-0.51,8771,5206502.5
2023-02-23,620.0,620.0,601.0,611.1,-2.27,6068,3707012.9
2023-02-22,615.0,638.0,606.0,625.3,2.51,1978,1211725.0
2023-02-20,613.2,617.0,607.5,610.0,-2.24,2558,1564292.2
2023-02-16,634.0,634.0,620.1,624.0,-1.73,4498,2796420.2
2023-02-15,627.0,635.0,627.0,635.0,1.2,1284,807857.0
2023-02-14,653.0,653.0,627.1,627.5,-2.11,4189,2656023.3
2023-02-12,652.0,652.0,627.2,641.0,-3.61,4634,2951593.1
2023-02-09,637.0,665.0,637.0,665.0,2.32,10473,6795724.4
2023-02-08,659.0,669.0,647.0,649.9,0.54,8880,5834191.6
2023-02-07,637.5,663.2,628.0,646.4,3.42,6964,4490496.0
2023-02-06,621.1,625.0,616.0,625.0,-0.4,2297,1417991.0
2023-02-05,656.7,656.7,626.1,627.5,-2.56,5010,3200915.8
2023-02-02,690.0,690.0,632.0,644.0,-5.29,8531,5488184.2
2023-02-01,628.0,680.0,626.0,680.0,8.28,15047,9487025.6
2023-01-31,644.0,645.0,628.0,628.0,-2.62,5755,3647719.2
2023-01-30,650.0,658.0,638.0,644.9,-2.29,10851,7023276.0
2023-01-29,640.1,693.9,640.1,660.0,1.06,5818,3827217.0
2023-01-26,660.0,667.0,652.0,653.1,-0.44,5171,3412188.3
2023-01-25,650.0,660.1,650.0,656.0,2.58,11041,7244354.1
2023-01-24,635.0,639.5,623.0,639.5,0.71,4171,2613838.3
2023-01-23,651.0,660.0,635.0,635.0,-2.31,2228,1427232.0
2023-01-19,647.0,669.0,646.0,650.0,-1.37,3205,2084468.0
2023-01-18,647.1,680.0,647.1,659.0,-0.15,5803,3800192.4
2023-01-17,638.2,662.0,635.1,660.0,1.85,7256,4726898.9
2023-01-12,690.0,690.0,639.0,648.0,-5.26,13381,8844216.6
2023-01-10,700.0,700.0,667.5,684.0,-3.66,8555,5871041.2
2023-01-09,700.0,717.8,691.0,710.0,0.0,14964,10483585.2
2023-01-08,680.0,722.9,660.0,710.0,4.27,9310,6468133.2
2023-01-05,654.0,681.0,631.0,680.9,4.11,14464,9449910.8
2023-01-04,595.0,655.0,595.0,654.0,8.1,11154,6994744.9
2023-01-03,624.0,624.0,602.0,605.0,-1.14,4102,2501242.9
2023-01-02,580.0,632.8,573.0,612.0,3.44,9318,5625896.5
2023-01-01,652.8,657.9,637.0,644.9,0.77,14913,9648231.7
2022-12-29,578.0,641.0,565.0,640.0,9.78,8600,5174696.5
2022-12-28,570.0,588.0,550.0,583.0,3.11,13746,7836412.9
2022-12-27,524.2,565.4,519.4,565.4,10.0,14634,7841274.1
2022-12-26,492.0,519.0,491.0,514.0,6.4,8296,4227304.5
2022-12-22,486.0,486.9,482.1,483.1,0.12,5380,2608216.8
2022-12-21,489.0,489.9,479.0,482.5,-0.68,2099,1010876.3
2022-12-20,489.0,489.0,482.0,485.8,1.0,2220,1077312.3
2022-12-19,472.0,485.6,472.0,481.0,1.03,1052,505763.0
2022-12-18,483.2,492.0,476.1,476.1,-3.43,7211,3472849.4
2022-12-15,483.3,493.0,483.3,493.0,0.0,2430,1192538.5
2022-12-14,485.0,493.0,485.0,493.0,1.65,415,202251.3
2022-12-13,470.0,498.3,470.0,485.0,1.23,375,182372.0
2022-12-12,480.0,488.0,475.5,479.1,-1.22,4579,2200506.2
2022-12-11,493.6,497.0,484.0,485.0,-2.75,3497,1704230.3
2022-12-07,508.9,508.9,493.0,498.7,-0.06,782,388852.0
2022-12-06,504.0,504.0,493.2,499.0,0.97,5200,2576632.5
2022-12-05,517.0,517.0,494.0,494.2,-4.0,6903,3446649.1
2022-12-04,506.7,516.0,506.7,514.8,-0.04,3954,2019518.7
2022-12-01,517.0,520.0,514.1,515.0,-0.58,1136,586423.1
2022-11-30,525.0,525.0,512.0,518.0,-1.33,22778,11874625.3
2022-11-29,532.9,532.9,505.0,525.0,-3.44,6195,3196833.3
2022-07-11,568.4,568.4,538.0,543.7,-6.26,3668,1989630.6
2022-07-08,561.0,580.0,539.0,580.0,1.75,4471,2469573.8
2022-07-07,590.0,590.0,560.0,570.0,-1.55,3158,1794134.9
2022-07-06,575.0,585.0,557.0,579.0,-1.28,1746,996054.0
2022-07-05,593.7,598.9,563.1,586.5,-1.21,5433,3129558.6
2022-07-04,587.0,620.0,571.0,593.7,2.98,16403,9777293.9
2022-07-03,580.0,580.0,545.4,576.5,1.16,8373,4767737.3
2022-07-01,558.0,580.0,555.0,569.9,0.16,3227,1811110.0
2022-06-30,550.0,575.0,542.0,569.0,5.27,9640,5407046.6
2022-06-29,530.0,540.5,514.0,540.5,3.35,9299,4871544.9
2022-06-28,514.5,527.0,505.3,523.0,-0.38,6148,3165490.9
2022-06-27,548.0,568.0,525.0,525.0,-3.85,3087,1662788.0
2022-06-26,510.0,546.0,510.0,546.0,7.69,6680,3548736.2
2022-06-24,500.0,512.0,499.8,507.0,0.4,4436,2231710.6
2022-06-23,514.0,514.0,498.0,505.0,-3.63,5766,2897884.4
2022-06-22,524.3,527.1,514.0,524.0,-2.06,2274,1181327.8
2022-06-21,520.0,535.0,510.0,535.0,1.9,4120,2172400.7
2022-06-20,552.8,565.0,508.0,525.0,-6.91,20281,10517506.9
2022-06-19,566.5,566.5,548.8,564.0,-2.25,6034,3343281.4
2022-06-17,569.0,580.0,569.0,577.0,1.41,463,265710.0
2022-06-16,550.0,570.0,550.0,569.0,1.61,1157,648996.0
2022-06-15,565.1,570.0,556.0,560.0,-1.23,2190,1234445.5
