date,open,high,low,ltp,percent_change,qty,turnover
2026-04-05,418.0,418.0,418.0,418.0,-1.88,11149,4660282.0
2024-03-13,188.0,188.0,188.0,188.0,0.0,20000,3760000.0
2023-11-01,143.0,143.0,143.0,143.0,0.0,8000,1144000.0
2023-10-09,143.0,143.0,143.0,143.0,-4.67,4000,572000.0
2023-02-16,150.0,150.0,150.0,150.0,0.0,10000,1500000.0
2023-02-01,150.0,150.0,150.0,150.0,-1.32,10000,1500000.0
2023-01-05,152.0,152.0,152.0,152.0,0.0,10695,1625640.0
2022-11-27,152.0,152.0,152.0,152.0,-1.94,10000,1520000.0
2022-11-01,155.0,155.0,155.0,155.0,0.0,9000,1395000.0
2022-10-10,155.0,155.0,155.0,155.0,-1.9,40000,6200000.0
2022-09-29,158.0,158.0,158.0,158.0,-1.86,3097,489326.0
2022-09-15,161.0,161.0,161.0,161.0,0.0,5000,805000.0
2022-09-06,161.0,161.0,161.0,161.0,0.0,5000,805000.0
2022-09-01,161.0,161.0,161.0,161.0,0.0,8096,1303456.0
2021-10-10,225.0,225.0,225.0,225.0,0.0,34926,7858350.0
2021-04-25,111.0,111.0,111.0,111.0,0.0,883,78587.0
2021-04-20,111.0,111.0,111.0,111.0,0.0,26828,2977908.0
2021-04-12,111.0,111.0,111.0,111.0,0.0,251479,27914169.0
2021-02-21,111.0,111.0,111.0,111.0,0.0,90950,10095450.0
2020-03-11,89.0,89.0,89.0,89.0,0.0,1077,95853.0
2020-03-01,89.0,89.0,89.0,89.0,0.0,6616,588824.0
2020-01-01,111.0,111.0,111.0,111.0,0.0,9535,1058385.0
2019-09-11,111.0,111.0,111.0,111.0,0.0,31328,3477408.0
2019-08-26,111.0,111.0,111.0,111.0,0.0,7693,853923.0
2019-08-15,111.0,111.0,111.0,111.0,0.0,32314,3586854.0
2019-07-17,111.0,111.0,111.0,111.0,0.0,100,11100.0
2018-12-30,111.0,111.0,111.0,111.0,0.0,4979,552669.0
2018-07-04,111.0,111.0,111.0,111.0,0.91,12713,1411143.0
2017-12-19,107.0,107.0,107.0,107.0,0.0,11554,1236278.0
2017-06-25,190.0,190.0,190.0,190.0,0.0,20974,3985060.0
2017-06-20,190.0,190.0,190.0,190.0,0.0,21580,4100200.0
2017-02-22,250.0,250.0,250.0,250.0,0.0,10000,2500000.0
2016-11-24,250.0,250.0,250.0,250.0,0.0,1500,375000.0
