date,open,high,low,ltp,percent_change,qty,turnover
2026-05-04,974.0,1003.2,902.0,905.0,-7.08,37868,35053018.0
2026-04-30,876.0,1028.0,854.0,974.0,7.91,62190,57453261.0
2026-04-29,1002.0,1002.0,891.0,902.6,-9.92,126545,116346783.0
2026-04-28,1111.0,1216.8,1000.1,1002.0,-5.3,128510,143329950.6
2026-04-27,966.1,1058.1,966.1,1058.1,15.0,4380,4630728.0
2026-04-24,840.1,920.1,840.1,920.1,15.0,1800,1652921.0
2026-04-23,730.5,800.1,730.5,800.1,14.99,1640,1309327.0
2026-04-22,623.2,695.8,623.2,695.8,14.99,780,540960.0
2026-04-21,528.7,605.1,528.7,605.1,14.99,580,347240.0
2026-04-20,471.3,526.2,471.3,526.2,14.99,380,198622.0
2026-04-17,424.3,457.6,424.3,457.6,10.0,220,97854.0
2026-04-16,372.5,416.0,372.5,416.0,9.99,200,81729.0
2026-04-15,340.6,378.2,340.6,378.2,9.97,280,104683.0
2026-04-13,312.1,343.9,312.1,343.9,9.98,230,77502.0
2026-04-10,284.3,312.7,284.3,312.7,9.99,140,42647.0
2026-05-05,859.8,909.4,859.8,900.0,-0.55,43463,38644330.5
2026-05-06,875.0,898.0,855.0,865.0,-3.89,24250,21107580.0
2026-05-07,865.0,889.0,830.4,832.0,-3.82,20929,17539363.8
2026-05-08,830.0,888.0,825.1,856.0,2.88,27199,23620884.0
