date,open,high,low,ltp,percent_change,qty,turnover
2025-04-07,100.0,100.0,100.0,100.0,0.0,20000,6074302.0
2024-09-05,361.0,361.0,330.0,330.0,0.0,30000,10022000.0
2024-07-08,330.0,330.0,330.0,330.0,0.0,238,78540.0
2024-07-07,330.0,334.0,330.0,330.0,0.0,9400,3110000.0
2024-07-04,351.0,351.0,330.0,330.0,0.0,201838,67407035.0
2024-07-03,340.0,340.0,330.0,330.0,-5.98,30000,9922000.0
2024-02-21,348.0,357.0,348.0,351.0,0.86,36560,12799880.0
2024-02-20,353.0,353.0,348.0,348.0,0.0,356097,124018956.0
2024-01-11,100.0,100.0,100.0,100.0,0.0,192,19200.0
2023-10-04,501.75,501.75,495.0,495.0,0.0,2000,996750.0
