date,open,high,low,ltp,percent_change,qty,turnover
2013-06-25,85.0,86.0,85.0,86.0,0.0,1270,108140.0
2013-06-24,85.0,85.0,85.0,85.0,0.0,220,18700.0
2013-06-23,80.0,85.0,81.0,85.0,0.0,790,65690.0
2013-06-19,78.0,81.0,79.0,80.0,0.0,1650,133190.0
2013-06-18,80.0,79.0,78.0,78.0,0.0,1830,143860.0
2013-06-17,82.0,81.0,80.0,80.0,0.0,210,16900.0
2013-06-16,82.0,83.0,82.0,82.0,0.0,100,8220.0
2013-06-13,81.0,82.0,81.0,82.0,0.0,1180,96740.0
2013-06-12,77.0,81.0,78.0,81.0,0.0,1300,103080.0
2013-06-11,78.0,77.0,77.0,77.0,0.0,80,6160.0
2013-06-10,75.0,78.0,75.0,78.0,0.0,320,24640.0
2013-06-09,75.0,75.0,74.0,75.0,0.0,40,2980.0
2013-06-06,75.0,75.0,74.0,75.0,0.0,220,16440.0
2013-06-05,75.0,75.0,74.0,75.0,0.0,150,11200.0
2013-06-04,74.0,76.0,75.0,75.0,0.0,340,25640.0
2013-06-03,72.0,74.0,73.0,74.0,0.0,140,10240.0
2013-06-02,72.0,72.0,71.0,72.0,0.0,200,14300.0
2013-05-30,72.0,72.0,72.0,72.0,0.0,70,5040.0
2013-05-28,71.0,72.0,72.0,72.0,0.0,40,2880.0
2013-05-27,70.0,71.0,69.0,71.0,0.0,240,16900.0
2013-05-26,71.0,70.0,70.0,70.0,0.0,240,16800.0
2013-05-23,72.0,71.0,71.0,71.0,0.0,60,4260.0
2013-05-22,72.0,72.0,72.0,72.0,0.0,200,14400.0
2013-05-20,71.0,72.0,72.0,72.0,0.0,60,4320.0
2013-05-19,70.0,71.0,70.0,71.0,0.0,370,25950.0
2013-05-16,71.0,70.0,70.0,70.0,0.0,220,15400.0
2013-05-15,70.0,71.0,70.0,71.0,0.0,240,16840.0
2013-05-14,72.0,71.0,70.0,70.0,0.0,220,15520.0
2013-05-13,71.0,73.0,72.0,72.0,0.0,100,7220.0
2013-05-12,68.0,71.0,69.0,71.0,0.0,940,65160.0
2013-05-09,68.0,68.0,68.0,68.0,0.0,20,1360.0
2013-05-07,67.0,68.0,66.0,68.0,0.0,170,11340.0
2013-05-06,66.0,67.0,66.0,67.0,0.0,180,11920.0
2013-05-05,65.0,66.0,66.0,66.0,0.0,100,6600.0
2013-05-02,64.0,65.0,64.0,65.0,0.0,360,23380.0
2013-04-30,71.0,70.0,64.0,64.0,0.0,260,17360.0
2013-04-29,74.0,73.0,69.0,71.0,0.0,650,45660.0
2013-04-28,74.0,76.0,74.0,74.0,0.0,510,38090.0
2013-04-25,70.0,74.0,71.0,74.0,0.0,270,19490.0
2013-04-21,76.0,76.0,69.0,70.0,0.0,1350,97890.0
2013-04-18,76.0,76.0,75.0,76.0,0.0,1470,111050.0
2013-04-17,76.0,77.0,76.0,76.0,0.0,210,16160.0
2013-04-16,78.0,77.0,76.0,76.0,0.0,1220,93380.0
2013-04-15,78.0,78.0,78.0,78.0,0.0,360,28080.0
2013-04-11,77.0,78.0,74.0,78.0,0.0,1180,90000.0
2013-04-09,75.0,77.0,74.0,77.0,0.0,630,47510.0
2013-04-08,76.0,76.0,75.0,75.0,0.0,160,12120.0
2013-04-07,78.0,77.0,76.0,76.0,0.0,410,31310.0
2013-04-04,77.0,78.0,78.0,78.0,0.0,100,7800.0
2013-04-03,76.0,77.0,76.0,77.0,0.0,400,30700.0
2013-04-02,80.0,76.0,76.0,76.0,0.0,500,38000.0
2013-04-01,80.0,81.0,79.0,80.0,0.0,320,25600.0
2013-03-31,81.0,81.0,79.0,80.0,0.0,1900,152330.0
2013-03-28,83.0,84.0,81.0,81.0,0.0,1230,102030.0
2013-03-27,81.0,83.0,82.0,83.0,0.0,400,33040.0
2013-03-25,80.0,81.0,80.0,81.0,0.0,560,45300.0
2013-03-24,81.0,81.0,80.0,80.0,0.0,680,54500.0
2013-03-20,85.0,84.0,80.0,81.0,0.0,660,54480.0
2013-03-19,83.0,85.0,84.0,85.0,0.0,40,3380.0
2013-03-18,82.0,83.0,83.0,83.0,0.0,200,16600.0
2013-03-14,81.0,82.0,82.0,82.0,0.0,60,4920.0
2013-03-13,81.0,81.0,81.0,81.0,0.0,60,4860.0
2013-03-07,76.0,81.0,75.0,81.0,0.0,1300,103780.0
2013-03-06,76.0,77.0,76.0,76.0,0.0,630,48480.0
2013-03-05,75.0,76.0,76.0,76.0,0.0,20,1520.0
2013-03-04,74.0,78.0,75.0,75.0,0.0,680,52160.0
