date,open,high,low,ltp,percent_change,qty,turnover
2026-04-29,421.0,421.0,421.0,421.0,0.0,2000,842000.0
2025-11-11,441.0,441.0,441.0,441.0,0.0,10000,4410000.0
2025-08-17,593.0,593.0,593.0,593.0,0.0,1000,593000.0
2025-06-02,443.0,443.0,443.0,443.0,-1.99,5790,2564970.0
2025-04-13,452.0,452.0,452.0,452.0,0.0,1000,452000.0
2024-11-20,495.0,495.0,495.0,495.0,0.0,20000,9900000.0
2024-10-16,495.0,495.0,495.0,495.0,0.0,20000,9900000.0
2024-09-29,495.0,495.0,495.0,495.0,0.0,14919,7384905.0
2024-09-22,495.0,495.0,495.0,495.0,0.0,50000,24750000.0
2024-01-23,366.0,366.0,366.0,366.0,0.0,45069,16495254.0
2023-10-03,332.0,332.0,332.0,332.0,0.0,10000,3320000.0
2022-07-04,466.0,466.0,466.0,466.0,0.0,17000,7922000.0
2022-06-23,466.0,466.0,466.0,466.0,0.0,12305,5734130.0
2022-06-21,466.0,466.0,466.0,466.0,0.0,46013,21442058.0
