date,open,high,low,ltp,percent_change,qty,turnover
2025-04-09,750.0,750.0,750.0,750.0,0.0,2000,922000.0
2025-03-25,750.0,750.0,750.0,750.0,0.0,4000,1873900.0
2024-12-01,825.0,825.0,750.0,750.0,15.03,215,169875.0
2023-05-30,512.0,512.0,512.0,512.0,-21.47,7150,3660800.0
2022-10-09,652.0,652.0,652.0,652.0,0.0,1000,652000.0
2022-09-28,652.0,652.0,652.0,652.0,0.0,200,130400.0
2022-05-08,962.0,962.0,962.0,962.0,0.0,3100,1783080.0
2022-04-26,962.0,962.0,962.0,962.0,-1.94,1200,1154400.0
2022-04-20,981.0,981.0,981.0,981.0,0.0,1300,1275300.0
2022-04-19,981.0,981.0,981.0,981.0,0.0,500,490500.0
2022-04-18,981.0,981.0,981.0,981.0,0.0,500,490500.0
2022-04-17,981.0,981.0,981.0,981.0,-2.0,400,392400.0
2022-04-13,1001.0,1001.0,1001.0,1001.0,0.0,600,600600.0
