fiscal_year,bonus_share,cash_dividend,total_dividend,book_closure_date
2078/2079,13.5628,0.7138,14.2766,2023-06-05 [Closed]
2077/2078,25.2853,0.00,25.2853,2021-12-30 [Closed]
2075/2076,21.09,1.11,22.2,2020-01-01 [Closed]
2074/2075,23.53,1.24,24.77,2019-01-01 [Closed]
2073/2074,34.48,10.52,45.00,2017-12-29 [Closed]
2072/2073,45.00,2.36,47.36,2016-12-23 [Closed]
2071/2072,41.72,2.19,43.91,2015-12-31 [Closed]
2070/2071,26.00,12.95,38.95,2014-12-17 [Closed]
2069/2070,12.00,14.32,26.32,
2068/2069,0.00,15.79,15.79,2012-12-27 [Closed]
