date,open,high,low,ltp,percent_change,qty,turnover
2026-04-09,180.0,180.0,180.0,180.0,0.0,8499,1529820.0
2026-02-26,180.0,180.0,180.0,180.0,-1.64,339484,61107120.0
2025-10-12,167.0,167.0,167.0,167.0,0.0,6877,962780.0
2025-07-10,167.0,167.0,167.0,167.0,0.0,68000,9928000.0
2025-02-24,167.0,167.0,167.0,167.0,0.0,49050,8191350.0
2024-10-23,190.0,190.0,190.0,190.0,0.0,35367,6719730.0
2024-10-21,190.0,190.0,190.0,190.0,0.0,118470,22509300.0
2024-05-29,145.0,145.0,145.0,145.0,-3.27,300000,43500000.0
2023-10-08,149.9,149.9,149.9,149.9,1.97,250000,37475000.0
2023-10-04,147.0,147.0,147.0,147.0,-2.0,17000,2499000.0
2023-08-02,150.0,150.0,150.0,150.0,3.45,593585,89037750.0
2023-06-11,145.0,145.0,145.0,145.0,0.0,510000,73950000.0
2023-04-24,155.0,155.0,155.0,155.0,2.65,5000,775000.0
2022-12-07,151.0,151.0,151.0,151.0,0.0,5100000,670293000.0
2022-07-05,151.0,151.0,151.0,151.0,0.0,2000000,302000000.0
2022-04-24,185.0,185.0,185.0,185.0,0.0,1000000,220010000.0
2022-03-22,185.0,185.0,185.0,185.0,0.0,14918,2759830.0
2022-03-02,185.0,185.0,185.0,185.0,0.0,5300,980500.0
2021-09-20,267.1,267.1,261.8,261.8,-3.93,235460,61831366.0
2021-09-15,272.5,272.5,272.5,272.5,0.0,35000,9537500.0
2020-10-14,180.0,180.0,180.0,180.0,0.0,100000,18000000.0
2020-01-21,180.0,180.0,180.0,180.0,0.0,220000,39600000.0
2020-01-12,180.0,180.0,180.0,180.0,-0.06,80000,14400000.0
2019-05-12,180.1,180.1,180.1,180.1,0.0,913835,164581680.0
2019-05-09,180.1,180.1,180.1,180.1,-0.5,1805000,325080512.0
2019-04-29,181.0,181.0,181.0,181.0,-31.7,700,126700.0
2017-05-28,265.0,265.0,265.0,265.0,0.0,30,7950.0
2017-05-22,265.0,265.0,260.0,265.0,0.0,25956,6803960.0
2017-04-10,270.0,265.0,265.0,265.0,0.0,74170,19655050.0
2016-06-06,450.0,450.0,450.0,450.0,0.0,132996,59848200.0
2016-05-26,458.0,450.0,450.0,450.0,0.0,69679,31355550.0
2014-06-23,164.0,172.0,172.0,172.0,0.0,1560,268320.0
2014-06-12,161.0,164.0,164.0,164.0,0.0,58440,9584160.0
2014-06-09,158.0,161.0,161.0,161.0,0.0,40000,6440000.0
2013-09-24,158.0,158.0,158.0,158.0,0.0,17214,2719812.0
2013-02-25,151.0,158.0,158.0,158.0,0.0,200,31600.0
2013-02-20,149.0,151.0,151.0,151.0,0.0,62800,9482800.0
2012-07-02,140.0,149.0,147.0,149.0,0.0,2000,296000.0
2012-06-27,130.0,140.0,136.0,140.0,0.0,4000,550000.0
2012-06-26,122.0,130.0,124.0,130.0,0.0,6000,758000.0
2012-06-06,115.0,122.0,120.0,122.0,0.0,3000,362000.0
2012-05-31,111.0,115.0,113.0,115.0,0.0,50000,5660000.0
2012-05-24,109.0,111.0,111.0,111.0,0.0,65000,7215000.0
2012-05-10,109.0,109.0,109.0,109.0,0.0,153000,16677000.0
2012-05-09,115.0,113.0,109.0,109.0,0.0,300000,32705000.0
2012-05-07,127.0,121.0,115.0,115.0,0.0,632000,72681200.0
2012-05-03,129.0,127.0,127.0,127.0,0.0,300,38100.0
2012-05-02,135.0,133.0,129.0,129.0,0.0,300,39300.0
2012-04-29,149.0,147.0,135.0,135.0,0.0,700,98700.0
2012-04-26,164.0,161.0,149.0,149.0,0.0,500,77500.0
2012-04-24,275.0,167.0,164.0,164.0,0.0,200,33100.0
