date,open,high,low,ltp,percent_change,qty,turnover
2022-07-21,128.0,128.0,128.0,128.0,0.0,126,16128.0
2022-07-07,128.0,128.0,128.0,128.0,-1.54,200000,25600000.0
2022-06-27,130.0,130.0,130.0,130.0,-1.52,195756,25448280.0
2022-05-08,132.0,132.0,132.0,132.0,0.0,1895,250140.0
2021-12-28,187.0,187.0,187.0,187.0,0.0,9000,1678000.0
2021-09-21,211.0,211.0,211.0,211.0,-1.86,48864,10310304.0
2021-08-16,215.0,215.0,215.0,215.0,0.0,283786,61013990.0
2021-05-06,161.0,161.0,161.0,161.0,0.0,130122,20949642.0
2021-03-03,161.0,161.0,161.0,161.0,-0.62,260000,41860000.0
2019-11-14,162.0,162.0,162.0,162.0,0.0,29316,4749192.0
2019-11-11,162.0,162.0,162.0,162.0,-1.82,17748,2875176.0
2019-08-15,165.0,165.0,165.0,165.0,0.0,292635,48284776.0
2019-05-08,165.0,165.0,165.0,165.0,0.0,19666,3244890.0
2018-12-23,165.0,165.0,165.0,165.0,-9.84,495443,81748096.0
2018-07-04,183.0,183.0,183.0,183.0,2.8,49687,8994286.0
2018-01-22,362.0,365.0,365.0,365.0,0.0,44737,16329005.0
2017-10-31,362.0,362.0,362.0,362.0,0.0,9514,3444068.0
2017-10-29,362.0,362.0,362.0,362.0,0.0,7869,2848578.0
2017-07-31,370.0,364.0,362.0,362.0,0.0,45922,16626208.0
2017-07-24,370.0,370.0,370.0,370.0,0.0,28861,10678570.0
2017-03-05,362.0,369.0,369.0,369.0,0.0,65000,23985000.0
2016-12-22,362.0,362.0,362.0,362.0,0.0,122337,44285992.0
2016-11-30,362.0,362.0,362.0,362.0,0.0,4670,1690540.0
2016-07-05,362.0,362.0,362.0,362.0,0.0,20092,7273304.0
2015-03-31,159.0,156.0,144.0,144.0,0.0,127193,18316412.0
2015-03-30,176.0,173.0,159.0,159.0,0.0,120,19880.0
2015-03-29,100.0,194.0,176.0,176.0,0.0,160,29600.0
2013-12-01,100.0,100.0,100.0,100.0,0.0,150150,15015000.0
2013-10-02,101.0,101.0,101.0,101.0,0.0,9375,946875.0
2013-06-06,101.0,101.0,101.0,101.0,0.0,4030,407030.0
2013-03-21,101.0,101.0,101.0,101.0,0.0,20150,2035150.0
