date,open,high,low,ltp,percent_change,qty,turnover
2020-07-27,338.0,338.0,338.0,338.0,4.97,710,239980.0
2020-07-22,310.0,322.0,310.0,322.0,6.27,120,38340.0
2020-07-21,281.0,303.0,281.0,303.0,9.78,1040,295410.0
2020-07-20,271.0,276.0,271.0,276.0,3.76,1000,273500.0
2020-01-05,251.0,266.0,251.0,266.0,7.69,40,10340.0
2020-01-01,243.0,247.0,243.0,247.0,3.35,80,19600.0
2019-11-17,239.0,239.0,239.0,239.0,1.7,200,47800.0
2019-11-05,235.0,235.0,235.0,235.0,1.73,1001,235235.0
2019-09-25,231.0,231.0,231.0,231.0,1.76,10,2310.0
2019-07-25,227.0,227.0,227.0,227.0,4.61,10,2270.0
2019-04-28,213.0,217.0,213.0,217.0,6.9,60,12980.0
2019-04-16,203.0,203.0,203.0,203.0,4.64,10,2030.0
2019-03-19,194.0,194.0,194.0,194.0,4.86,20,3880.0
2019-03-18,185.0,185.0,185.0,185.0,4.52,100,18500.0
2019-03-17,171.0,177.0,171.0,177.0,8.59,30,5220.0
2019-02-20,156.0,163.0,156.0,163.0,9.4,60,9590.0
2019-01-20,149.0,149.0,149.0,149.0,4.93,40,5960.0
2019-01-16,142.0,142.0,142.0,142.0,4.41,20,2840.0
2019-01-13,134.0,136.0,134.0,136.0,3.03,40,5400.0
2018-09-17,130.0,132.0,130.0,132.0,3.13,20,2620.0
2018-09-09,126.0,128.0,126.0,128.0,3.23,20,2540.0
2018-04-01,124.0,124.0,124.0,124.0,1.64,10,1240.0
2018-02-04,120.0,122.0,122.0,122.0,0.0,10,1220.0
2017-06-21,118.0,120.0,120.0,120.0,0.0,53250,6390000.0
2017-03-23,114.0,118.0,116.0,118.0,0.0,20,2340.0
2017-01-31,104.0,114.0,106.0,114.0,0.0,101000,11063992.0
2017-01-17,102.0,104.0,104.0,104.0,0.0,1001,104104.0
2017-01-10,100.0,104.0,102.0,102.0,0.0,2200,224600.0
2017-01-01,100.0,100.0,100.0,100.0,0.0,2000,200000.0
2016-10-19,100.0,100.0,100.0,100.0,0.0,42500,4250000.0
2016-09-25,100.0,100.0,100.0,100.0,0.0,71250,7125000.0
