date,open,high,low,ltp,percent_change,qty,turnover
2011-12-11,97.0,96.0,96.0,96.0,0.0,479,45984.0
2011-12-08,97.0,97.0,96.0,97.0,0.0,1462,140552.0
2011-12-07,100.0,102.0,97.0,97.0,0.0,1826,182626.0
2011-12-06,99.0,100.0,100.0,100.0,0.0,11,1100.0
2011-12-05,98.0,99.0,98.0,99.0,0.0,186,18314.0
2011-12-04,95.0,98.0,96.0,98.0,0.0,551,52975.0
2011-12-01,94.0,95.0,95.0,95.0,0.0,54,5130.0
2011-11-27,98.0,99.0,97.0,99.0,0.0,2106,206690.0
2011-11-24,101.0,100.0,98.0,98.0,0.0,1769,173820.0
2011-11-23,100.0,101.0,101.0,101.0,0.0,200,20200.0
2011-11-22,102.0,101.0,100.0,100.0,0.0,2876,288000.0
2011-11-21,98.0,102.0,99.0,102.0,0.0,470,46874.0
2011-11-17,100.0,100.0,98.0,98.0,0.0,2850,284000.0
2011-11-16,98.0,100.0,99.0,100.0,0.0,1343,133681.0
2011-11-15,100.0,99.0,98.0,98.0,0.0,1226,120360.0
2011-11-14,101.0,100.0,99.0,100.0,0.0,290,28800.0
2011-11-10,105.0,103.0,101.0,101.0,0.0,216,22008.0
2011-11-03,107.0,109.0,105.0,105.0,0.0,173,18621.0
2011-10-31,110.0,108.0,107.0,107.0,0.0,861,92277.0
2011-10-25,110.0,112.0,110.0,110.0,0.0,150,16600.0
2011-10-24,108.0,110.0,106.0,110.0,0.0,667,72062.0
2011-10-23,102.0,112.0,104.0,108.0,0.0,9350,980246.0
2011-10-20,94.0,102.0,95.0,102.0,0.0,1593,159989.0
2011-10-19,100.0,95.0,94.0,94.0,0.0,520,48890.0
2011-10-16,98.0,102.0,98.0,100.0,0.0,41046,4178735.0
2011-10-13,102.0,100.0,98.0,98.0,0.0,400,39600.0
2011-09-29,93.0,102.0,97.0,102.0,0.0,3810,382802.0
2011-09-27,98.0,94.0,93.0,93.0,0.0,10223,957116.0
2011-09-22,99.0,99.0,98.0,98.0,0.0,500,49100.0
2011-09-21,100.0,99.0,98.0,99.0,0.0,538,52774.0
2011-09-20,98.0,100.0,99.0,100.0,0.0,66,6570.0
2011-09-19,97.0,98.0,97.0,98.0,0.0,510,49480.0
2011-09-15,98.0,98.0,97.0,97.0,0.0,221,21558.0
2011-09-13,99.0,98.0,98.0,98.0,0.0,506,49588.0
2011-09-12,98.0,99.0,99.0,99.0,0.0,300,29700.0
2011-09-08,100.0,98.0,98.0,98.0,0.0,100,9800.0
2011-09-07,100.0,102.0,100.0,100.0,0.0,2424,246448.0
2011-09-06,101.0,100.0,100.0,100.0,0.0,595,59500.0
2011-09-04,100.0,103.0,100.0,101.0,0.0,3878,389118.0
2011-09-01,101.0,100.0,98.0,100.0,0.0,3521,348892.0
2011-08-25,106.0,104.0,101.0,101.0,0.0,3790,388649.0
2011-08-24,107.0,106.0,104.0,106.0,0.0,817,85768.0
2011-08-23,108.0,107.0,106.0,107.0,0.0,788,83626.0
2011-08-18,108.0,108.0,106.0,108.0,0.0,1357,144022.0
2011-08-16,106.0,108.0,107.0,108.0,0.0,221,23801.0
2011-08-11,107.0,106.0,106.0,106.0,0.0,500,53000.0
2011-08-10,105.0,107.0,107.0,107.0,0.0,20,2140.0
2011-08-08,103.0,107.0,105.0,105.0,0.0,3760,394972.0
2011-08-07,103.0,103.0,103.0,103.0,0.0,1991,205073.0
2011-08-04,110.0,109.0,103.0,103.0,0.0,2530,265680.0
2011-08-03,112.0,110.0,110.0,110.0,0.0,300,33000.0
2011-08-02,112.0,112.0,110.0,112.0,0.0,515,57268.0
2011-08-01,116.0,114.0,112.0,112.0,0.0,191,21474.0
2011-07-31,120.0,118.0,116.0,116.0,0.0,708,82284.0
2011-07-28,122.0,120.0,120.0,120.0,0.0,139,16680.0
2011-07-24,120.0,122.0,122.0,122.0,0.0,100,12200.0
2011-07-21,126.0,124.0,120.0,120.0,0.0,1126,138424.0
2011-07-20,128.0,128.0,124.0,126.0,0.0,1369,173152.0
2011-07-19,136.0,134.0,128.0,128.0,0.0,1345,174582.0
2011-07-18,138.0,136.0,135.0,136.0,0.0,500,67900.0
2011-07-17,136.0,138.0,134.0,138.0,0.0,288,39148.0
2011-07-12,132.0,136.0,134.0,136.0,0.0,66,8916.0
2011-06-29,136.0,134.0,132.0,132.0,0.0,40,5300.0
2011-06-27,130.0,136.0,136.0,136.0,0.0,10,1360.0
2011-06-26,132.0,130.0,130.0,130.0,0.0,100,13000.0
2011-06-21,130.0,132.0,132.0,132.0,0.0,117,15444.0
