date,open,high,low,ltp,percent_change,qty,turnover
2016-04-20,343.0,349.0,349.0,349.0,0.0,255,88995.0
2016-04-19,331.0,343.0,335.0,343.0,0.0,704,236368.0
2016-04-18,319.0,331.0,322.0,331.0,0.0,1038,340201.0
2016-04-17,330.0,331.0,319.0,319.0,0.0,2519,815469.0
2016-04-14,325.0,330.0,324.0,330.0,0.0,4690,1544525.0
2016-04-12,319.0,325.0,324.0,325.0,0.0,220,71290.0
2016-04-11,330.0,324.0,318.0,319.0,0.0,518,165982.0
2016-04-10,326.0,332.0,330.0,330.0,0.0,1063,350916.0
2016-04-06,322.0,331.0,322.0,326.0,0.0,313,101142.0
2016-04-05,316.0,322.0,322.0,322.0,0.0,143,46046.0
2016-04-04,320.0,316.0,316.0,316.0,0.0,1000,316000.0
2016-04-03,323.0,328.0,316.0,320.0,0.0,5276,1692272.0
2016-03-31,335.0,329.0,323.0,323.0,0.0,294,95226.0
2016-03-29,329.0,335.0,333.0,335.0,0.0,116,38745.0
2016-03-27,330.0,329.0,324.0,329.0,0.0,1078,352974.0
2016-03-24,336.0,335.0,330.0,330.0,0.0,282,93440.0
2016-03-23,330.0,336.0,326.0,336.0,0.0,641,212659.0
2016-03-21,324.0,330.0,329.0,330.0,0.0,810,266800.0
2016-03-20,333.0,330.0,324.0,324.0,0.0,492,161208.0
2016-03-17,314.0,333.0,320.0,333.0,0.0,2459,797397.0
2016-03-16,332.0,326.0,314.0,314.0,0.0,96,30720.0
2016-03-15,344.0,338.0,332.0,332.0,0.0,85,28664.0
2016-03-14,371.0,365.0,344.0,344.0,0.0,350,124250.0
2016-03-10,357.0,371.0,364.0,371.0,0.0,150,54950.0
2016-03-06,325.0,357.0,328.0,357.0,0.0,7193,2466823.0
2016-03-03,319.0,325.0,325.0,325.0,0.0,10,3250.0
2016-03-02,313.0,319.0,319.0,319.0,0.0,365,116435.0
2016-03-01,313.0,313.0,313.0,313.0,0.0,300,93900.0
2016-02-29,312.0,315.0,306.0,313.0,0.0,668,208568.0
2016-02-28,312.0,315.0,310.0,312.0,0.0,2567,801015.0
2016-02-25,314.0,315.0,310.0,312.0,0.0,1800,562700.0
2016-02-24,308.0,314.0,314.0,314.0,0.0,113,35482.0
2016-02-23,310.0,318.0,302.0,308.0,0.0,4380,1346400.0
2016-02-22,324.0,318.0,306.0,310.0,0.0,3587,1115444.0
2016-02-18,325.0,336.0,324.0,324.0,0.0,787,257582.0
2016-02-17,314.0,325.0,296.0,325.0,0.0,2090,638290.0
2016-02-16,315.0,321.0,297.0,314.0,0.0,7500,2287900.0
2016-02-15,325.0,319.0,315.0,315.0,0.0,583,185645.0
2016-02-11,326.0,325.0,325.0,325.0,0.0,76,24700.0
2016-02-08,328.0,326.0,320.0,326.0,0.0,739,238080.0
2016-02-07,353.0,346.0,328.0,328.0,0.0,900,301800.0
2016-02-04,365.0,360.0,353.0,353.0,0.0,1100,391800.0
2016-02-02,371.0,365.0,365.0,365.0,0.0,500,182500.0
2016-01-31,378.0,371.0,371.0,371.0,0.0,100,37100.0
2016-01-19,344.0,378.0,350.0,378.0,0.0,60,21770.0
2016-01-18,314.0,344.0,320.0,344.0,0.0,76,25544.0
2016-01-14,314.0,315.0,314.0,314.0,0.0,75,23587.0
2016-01-13,308.0,314.0,314.0,314.0,0.0,10,3140.0
2016-01-12,436.0,443.0,419.0,433.0,0.0,14712,6269968.0
2016-01-11,431.0,440.0,424.0,436.0,0.0,7924,3434761.0
2016-01-10,392.0,431.0,399.0,431.0,0.0,7653,3271052.0
2016-01-07,357.0,392.0,350.0,392.0,0.0,6774,2596800.0
2016-01-06,350.0,372.0,357.0,357.0,0.0,3048,1106845.0
2016-01-05,319.0,350.0,325.0,350.0,0.0,2262,768186.0
2016-01-04,310.0,319.0,312.0,319.0,0.0,1130,356240.0
2016-01-03,315.0,311.0,310.0,310.0,0.0,450,139537.0
2015-12-31,310.0,315.0,306.0,315.0,0.0,1614,501769.0
2015-12-29,304.0,310.0,307.0,310.0,0.0,287,88561.0
2015-12-28,310.0,304.0,304.0,304.0,0.0,38,11552.0
2015-12-27,310.0,316.0,310.0,310.0,0.0,1449,455146.0
2015-12-24,305.0,312.0,310.0,310.0,0.0,992,308912.0
2015-12-23,300.0,306.0,305.0,305.0,0.0,85,25973.0
2015-12-22,302.0,308.0,300.0,300.0,0.0,327,99756.0
2015-12-21,297.0,302.0,297.0,302.0,0.0,659,198578.0
2015-12-20,288.0,297.0,292.0,297.0,0.0,1281,374760.0
2015-12-17,278.0,288.0,283.0,288.0,0.0,104,29622.0
2015-12-15,275.0,278.0,275.0,278.0,0.0,709,195689.0
2015-12-14,280.0,275.0,275.0,275.0,0.0,114,31350.0
2015-12-13,275.0,280.0,273.0,280.0,0.0,114,31464.0
2015-12-10,272.0,275.0,273.0,275.0,0.0,70,19184.0
2015-12-09,268.0,272.0,272.0,272.0,0.0,250,68000.0
2015-12-08,280.0,282.0,268.0,268.0,0.0,367,100752.0
2015-12-07,270.0,280.0,270.0,280.0,0.0,200,55520.0
2015-12-06,267.0,270.0,270.0,270.0,0.0,38,10260.0
2015-12-02,267.0,267.0,262.0,267.0,0.0,76,20097.0
2015-11-30,272.0,272.0,267.0,267.0,0.0,111,30017.0
2015-11-29,277.0,272.0,272.0,272.0,0.0,68,18496.0
2015-11-26,282.0,277.0,277.0,277.0,0.0,186,51522.0
2015-11-23,287.0,282.0,282.0,282.0,0.0,113,31866.0
2015-11-22,291.0,291.0,286.0,287.0,0.0,431,123652.0
2015-11-16,281.0,291.0,276.0,291.0,0.0,257,72357.0
2015-11-15,285.0,281.0,281.0,281.0,0.0,11,3091.0
2015-11-09,290.0,290.0,285.0,285.0,0.0,281,80442.0
2015-11-03,294.0,290.0,290.0,290.0,0.0,27,7830.0
2015-11-01,300.0,299.0,294.0,294.0,0.0,562,165773.0
2015-10-29,300.0,300.0,300.0,300.0,0.0,44,13200.0
2015-10-19,295.0,300.0,300.0,300.0,0.0,349,104700.0
2015-10-18,290.0,295.0,295.0,295.0,0.0,70,20650.0
2015-10-15,289.0,294.0,289.0,290.0,0.0,125,36289.0
2015-10-14,306.0,300.0,289.0,289.0,0.0,116,34114.0
2015-10-11,300.0,306.0,300.0,306.0,0.0,320,96096.0
2015-10-08,291.0,300.0,295.0,300.0,0.0,417,124513.0
2015-10-07,298.0,300.0,291.0,291.0,0.0,515,151621.0
2015-10-06,301.0,305.0,293.0,298.0,0.0,988,294231.0
2015-10-05,302.0,301.0,301.0,301.0,0.0,800,240800.0
2015-10-01,304.0,305.0,300.0,302.0,0.0,1115,338262.0
2015-09-30,306.0,305.0,304.0,304.0,0.0,159,48436.0
2015-09-29,300.0,306.0,295.0,306.0,0.0,174,51860.0
2015-09-28,306.0,301.0,300.0,300.0,0.0,1200,360100.0
2015-09-24,300.0,306.0,300.0,306.0,0.0,2634,792999.0
2015-09-22,304.0,303.0,300.0,300.0,0.0,302,91155.0
2015-09-17,303.0,306.0,300.0,304.0,0.0,1077,327446.0
2015-09-16,309.0,305.0,300.0,303.0,0.0,1846,560833.0
2015-09-15,300.0,309.0,300.0,309.0,0.0,934,286338.0
2015-09-14,290.0,300.0,290.0,300.0,0.0,602,177970.0
2015-09-13,290.0,295.0,290.0,290.0,0.0,213,62520.0
2015-09-10,288.0,295.0,285.0,290.0,0.0,2246,651835.0
2015-09-09,289.0,289.0,280.0,288.0,0.0,3924,1113315.0
2015-09-08,285.0,290.0,285.0,289.0,0.0,692,199457.0
2015-09-07,299.0,294.0,284.0,285.0,0.0,1022,295778.0
2015-09-06,299.0,299.0,294.0,299.0,0.0,823,242224.0
2015-09-03,284.0,299.0,284.0,299.0,0.0,1251,360519.0
2015-09-02,285.0,290.0,280.0,284.0,0.0,772,218635.0
2015-09-01,290.0,290.0,282.0,285.0,0.0,604,172997.0
2015-08-31,280.0,290.0,275.0,290.0,0.0,576,165004.0
2015-08-27,275.0,280.0,275.0,280.0,0.0,1382,382452.0
2015-08-26,271.0,286.0,271.0,275.0,0.0,2016,559976.0
2015-08-25,275.0,273.0,271.0,271.0,0.0,563,152857.0
2015-08-24,255.0,275.0,260.0,275.0,0.0,500,136099.0
