date,open,high,low,ltp,percent_change,qty,turnover
2015-11-26,210.0,213.0,205.0,210.0,0.0,25457,5282091.0
2015-11-25,208.0,218.0,206.0,210.0,0.0,27477,5803270.0
2015-11-24,208.0,210.0,206.0,208.0,0.0,4035,841650.0
2015-11-23,203.0,209.0,197.0,208.0,0.0,9335,1908394.0
2015-11-22,215.0,212.0,203.0,203.0,0.0,5650,1160600.0
2015-11-19,218.0,218.0,211.0,215.0,0.0,17768,3831090.0
2015-11-18,210.0,218.0,210.0,218.0,0.0,27561,5950213.0
2015-11-16,210.0,210.0,206.0,210.0,0.0,17546,3656470.0
2015-11-15,204.0,210.0,200.0,210.0,0.0,5847,1191346.0
2015-11-10,202.0,204.0,200.0,204.0,0.0,8055,1631540.0
2015-11-09,196.0,206.0,199.0,202.0,0.0,5260,1059550.0
2015-11-08,199.0,196.0,194.0,196.0,0.0,1748,340566.0
2015-11-05,200.0,200.0,199.0,199.0,0.0,2337,467102.0
2015-11-04,200.0,200.0,200.0,200.0,0.0,2095,419000.0
2015-11-03,201.0,203.0,199.0,200.0,0.0,4265,850676.0
2015-11-02,203.0,206.0,200.0,201.0,0.0,8995,1831165.0
2015-11-01,201.0,203.0,203.0,203.0,0.0,2000,406000.0
2015-10-29,200.0,208.0,200.0,201.0,0.0,2599,527071.0
2015-10-28,201.0,200.0,188.0,200.0,0.0,6122,1185034.0
2015-10-27,211.0,207.0,195.0,201.0,0.0,3452,694152.0
2015-10-25,214.0,211.0,210.0,211.0,0.0,858,180768.0
2015-10-19,216.0,215.0,208.0,214.0,0.0,8641,1832579.0
2015-10-18,209.0,216.0,202.0,216.0,0.0,8513,1766859.0
2015-10-15,215.0,215.0,209.0,209.0,0.0,10628,2248833.0
2015-10-14,210.0,220.0,213.0,215.0,0.0,9411,2027786.0
2015-10-11,216.0,213.0,208.0,210.0,0.0,6446,1354155.0
2015-10-08,212.0,220.0,206.0,216.0,0.0,11232,2377361.0
2015-10-07,218.0,217.0,210.0,212.0,0.0,4817,1030135.0
2015-10-06,219.0,219.0,215.0,218.0,0.0,6632,1436958.0
2015-10-05,223.0,221.0,216.0,219.0,0.0,6496,1415406.0
2015-10-04,228.0,228.0,221.0,223.0,0.0,2317,517941.0
2015-10-01,226.0,230.0,220.0,228.0,0.0,15519,3483975.0
2015-09-30,219.0,226.0,216.0,226.0,0.0,16388,3595436.0
2015-09-29,217.0,221.0,216.0,219.0,0.0,4384,962556.0
2015-09-28,225.0,221.0,215.0,217.0,0.0,12511,2722891.0
2015-09-24,227.0,231.0,220.0,225.0,0.0,14895,3340721.0
2015-09-23,215.0,230.0,219.0,227.0,0.0,9883,2259466.0
2015-09-22,232.0,228.0,214.0,215.0,0.0,13811,3001662.0
2015-09-17,228.0,232.0,220.0,232.0,0.0,29496,6666814.0
2015-09-16,228.0,237.0,224.0,228.0,0.0,29980,6883203.0
2015-09-15,211.0,228.0,211.0,228.0,0.0,51073,11266601.0
2015-09-14,205.0,215.0,202.0,211.0,0.0,51118,10618915.0
2015-09-13,197.0,205.0,198.0,205.0,0.0,16336,3275240.0
