date,open,high,low,ltp,percent_change,qty,turnover
2015-11-26,100.0,100.0,100.0,100.0,0.0,18000,1800000.0
2015-10-15,100.0,100.0,100.0,100.0,0.0,30000,3000000.0
2015-09-16,100.0,100.0,100.0,100.0,0.0,10000,1000000.0
2015-09-15,101.0,100.0,100.0,100.0,0.0,25000,2500000.0
2015-07-22,101.0,101.0,101.0,101.0,0.0,14437,1458137.0
2015-05-28,101.0,101.0,101.0,101.0,0.0,10513,1061813.0
2015-03-18,101.0,101.0,101.0,101.0,0.0,14508,1465308.0
2015-01-05,100.0,101.0,101.0,101.0,0.0,67000,6767000.0
2014-12-29,100.0,100.0,100.0,100.0,0.0,102000,10200000.0
2014-04-27,100.0,100.0,100.0,100.0,0.0,7500,750000.0
2013-09-05,100.0,100.0,100.0,100.0,0.0,1000,100000.0
2013-06-20,0.0,100.0,100.0,100.0,0.0,36000,3600000.0
