date,open,high,low,ltp,percent_change,qty,turnover
2024-08-06,782.0,782.0,782.0,782.0,0.0,16528,4148528.0
2023-11-02,700.0,700.0,700.0,700.0,0.0,936,655200.0
2023-04-19,782.0,782.0,782.0,782.0,0.0,159000,88313300.0
2022-06-28,782.0,782.0,782.0,782.0,0.0,3810,2484620.0
2021-12-27,800.0,800.0,800.0,800.0,2.3,4000,3200000.0
2021-12-20,782.0,782.0,782.0,782.0,0.07,1190,915190.0
2021-12-15,781.45,781.45,781.45,781.45,0.0,60100,42526100.0
2021-12-07,781.45,781.45,781.45,781.45,0.0,297,200475.0
2021-02-24,506.0,930.0,930.0,930.0,0.0,126000,64513370.0
2021-01-19,930.0,930.0,930.0,930.0,0.0,378,351540.0
2019-12-15,440.0,701.0,426.0,430.0,-2.05,88727,38561940.0
2019-12-12,439.0,439.0,439.0,439.0,-39.7,188729,82852032.0
2018-12-24,731.0,731.0,728.0,728.0,-44.0,450,328000.0
2016-08-29,1300.0,1300.0,1300.0,1300.0,0.0,2000,2600000.0
2016-03-17,1165.0,1165.0,1165.0,1165.0,0.0,15000,17475000.0
2015-12-02,883.0,866.0,805.0,805.0,0.0,5940,4783150.0
