date,open,high,low,ltp,percent_change,qty,turnover
2026-04-01,382.0,382.0,382.0,382.0,0.0,7342,2804644.0
2026-03-26,382.0,382.0,382.0,382.0,0.0,7000,2674000.0
2026-01-13,382.0,382.0,382.0,382.0,0.0,34750,13274500.0
2025-12-14,382.0,382.0,382.0,382.0,0.0,3000,1146000.0
2025-12-11,382.0,382.0,382.0,382.0,0.0,14822,5662004.0
2025-11-27,382.0,382.0,382.0,382.0,0.0,10000,3820000.0
2025-11-20,382.0,382.0,382.0,382.0,0.0,10000,3820000.0
2025-08-19,392.0,392.0,392.0,392.0,-1.75,4000,1568000.0
2025-08-14,399.0,399.0,399.0,399.0,0.0,1592,635208.0
2025-06-24,399.0,399.0,399.0,399.0,0.0,9045,3608955.0
2025-04-27,399.0,399.0,399.0,399.0,0.0,17000,6783000.0
2025-01-21,250.0,250.0,250.0,250.0,0.0,7634,1908500.0
2025-01-02,250.0,250.0,250.0,250.0,0.0,1400,140000.0
2024-12-08,250.0,250.0,250.0,250.0,0.0,40728,10182000.0
2024-12-02,250.0,250.0,250.0,250.0,0.0,3174,793500.0
2024-11-24,250.0,250.0,250.0,250.0,-0.44,25000,6250000.0
2024-11-20,251.1,251.1,251.1,251.1,0.0,27188,6826906.8
2024-11-05,251.1,251.1,251.1,251.1,0.0,17100,5262810.0
2024-09-24,251.1,251.1,251.1,251.1,0.0,10000,2511000.0
2024-07-29,251.1,251.1,251.1,251.1,0.0,20000,5022000.0
2024-06-09,247.0,251.1,247.0,251.1,0.0,13500,3363200.0
2024-04-07,342.0,342.0,342.0,342.0,0.0,5000,1710000.0
2024-03-28,342.0,342.0,342.0,342.0,0.0,1398,478116.0
2024-03-27,342.0,342.0,342.0,342.0,0.0,35627,12184434.0
2024-03-21,342.0,342.0,342.0,342.0,0.0,8503,2908026.0
2024-03-17,342.0,342.0,342.0,342.0,0.0,5395,1845090.0
2024-03-07,342.0,342.0,342.0,342.0,0.0,29351,10038042.0
2024-03-05,342.0,342.0,342.0,342.0,0.0,5000,1710000.0
2024-03-03,342.0,342.0,342.0,342.0,0.0,9865,3373830.0
2024-02-08,200.0,200.0,196.0,196.0,0.0,22000,4323500.0
2023-12-18,342.0,342.0,342.0,342.0,0.0,19193,6564006.0
2023-12-17,342.0,342.0,342.0,342.0,0.0,30142,10308564.0
2023-12-12,342.0,342.0,342.0,342.0,0.0,57857,19787094.0
2023-12-06,237.0,262.0,237.0,262.0,0.0,4835,1241770.0
2023-10-08,231.0,231.0,220.0,225.55,-4.83,20960,4678160.0
2023-09-27,237.0,237.0,237.0,237.0,0.0,1100,260700.0
2023-09-18,342.0,342.0,342.0,342.0,0.0,6205,2122110.0
2023-04-25,447.0,447.0,447.0,447.0,-0.16,43000,19221000.0
2023-04-10,447.7,447.7,447.7,447.7,0.0,8381,3752173.7
2023-03-27,447.7,447.7,447.7,447.7,0.0,1342,600813.4
2023-03-16,447.7,447.7,447.7,447.7,0.0,34279,15346708.3
2023-03-09,447.7,447.7,447.7,447.7,0.0,4949,2215667.3
2023-03-02,447.7,447.7,447.7,447.7,0.0,338,151322.6
2023-02-28,447.7,447.7,447.7,447.7,0.0,35552,15916630.4
2023-01-24,447.7,447.7,447.7,447.7,0.0,7050,3156285.0
2023-01-12,447.7,447.7,447.7,447.7,0.0,3000,1343100.0
2023-01-05,447.7,447.7,447.7,447.7,1.98,25947,11616471.9
2023-01-02,402.0,402.0,394.0,394.0,-1.99,5535,2191854.0
2022-08-22,443.0,443.0,443.0,443.0,0.0,8906,3945358.0
