date,open,high,low,ltp,percent_change,qty,turnover
2016-10-27,345.0,352.0,340.0,346.0,0.0,4554,1580661.0
2016-10-26,354.0,360.0,345.0,345.0,0.0,2123,746885.0
2016-10-25,350.0,354.0,340.0,354.0,0.0,2981,1023976.0
2016-10-24,358.0,361.0,350.0,350.0,0.0,881,316177.0
2016-10-23,365.0,365.0,354.0,358.0,0.0,4079,1470612.0
2016-10-20,365.0,379.0,365.0,365.0,0.0,3760,1380223.0
2016-10-19,354.0,365.0,359.0,365.0,0.0,1877,680934.0
2016-10-18,355.0,355.0,347.0,354.0,0.0,2984,1048599.0
2016-10-17,367.0,371.0,355.0,355.0,0.0,2141,776420.0
2016-10-16,509.0,508.0,493.0,501.0,0.0,14316,7175169.0
2016-10-06,490.0,509.0,492.0,509.0,0.0,5357,2660185.0
2016-10-05,500.0,501.0,490.0,490.0,0.0,5247,2600830.0
2016-10-04,494.0,500.0,494.0,500.0,0.0,3297,1639863.0
2016-10-03,487.0,510.0,490.0,494.0,0.0,15241,7571352.0
2016-10-02,495.0,504.0,480.0,487.0,0.0,4049,1982069.0
2016-09-29,500.0,500.0,481.0,495.0,0.0,9473,4645942.0
2016-09-28,510.0,512.0,500.0,500.0,0.0,2084,1057900.0
2016-09-27,510.0,519.0,508.0,510.0,0.0,4938,2523672.0
2016-09-26,495.0,520.0,488.0,510.0,0.0,25280,12931773.0
2016-09-25,516.0,515.0,495.0,495.0,0.0,10733,5395276.0
2016-09-22,510.0,518.0,485.0,516.0,0.0,38643,19516182.0
2016-09-21,524.0,515.0,502.0,510.0,0.0,30503,15592628.0
2016-09-20,540.0,540.0,517.0,524.0,0.0,19885,10305411.0
2016-09-18,548.0,550.0,530.0,540.0,0.0,8533,4589868.0
2016-09-14,545.0,555.0,541.0,548.0,0.0,29540,16278875.0
2016-09-12,551.0,558.0,539.0,545.0,0.0,3954,2150128.0
2016-09-11,555.0,578.0,533.0,551.0,0.0,27374,15134817.0
2016-09-08,523.0,560.0,525.0,555.0,0.0,54739,29996240.0
2016-09-07,535.0,540.0,522.0,523.0,0.0,20359,10768874.0
2016-09-06,535.0,550.0,520.0,535.0,0.0,29158,15647761.0
2016-09-05,524.0,535.0,509.0,535.0,0.0,57281,30338184.0
2016-09-04,530.0,540.0,520.0,524.0,0.0,16861,8900256.0
2016-09-03,530.0,540.0,520.0,524.0,0.0,16861,8900256.0
2016-09-01,488.0,536.0,490.0,530.0,0.0,57349,29763008.0
2016-08-31,481.0,505.0,482.0,488.0,0.0,14260,6988108.0
2016-08-30,470.0,485.0,472.0,481.0,0.0,7837,3765234.0
2016-08-29,478.0,485.0,465.0,470.0,0.0,8543,4052194.0
2016-08-28,459.0,478.0,460.0,478.0,0.0,10140,4667490.0
2016-08-24,460.0,468.0,459.0,459.0,0.0,3946,1816186.0
2016-08-23,462.0,471.0,455.0,460.0,0.0,2152,992609.0
2016-08-22,483.0,474.0,460.0,462.0,0.0,5349,2472343.0
2016-08-21,490.0,492.0,470.0,483.0,0.0,5250,2506210.0
2016-08-17,487.0,491.0,483.0,490.0,0.0,4065,1980344.0
2016-08-16,475.0,488.0,466.0,487.0,0.0,4762,2291323.0
2016-08-15,485.0,486.0,442.0,475.0,0.0,9178,4270380.0
2016-08-14,500.0,497.0,484.0,485.0,0.0,4901,2390160.0
2016-08-11,497.0,520.0,500.0,500.0,0.0,12678,6371334.0
2016-08-10,507.0,517.0,481.0,497.0,0.0,25988,12986387.0
2016-08-09,473.0,507.0,482.0,507.0,0.0,2200,1099900.0
2016-08-08,495.0,490.0,464.0,473.0,0.0,2015,958966.0
2016-08-07,493.0,522.0,495.0,495.0,0.0,13815,7011352.0
2016-08-04,513.0,518.0,493.0,493.0,0.0,18787,9430751.0
2016-08-03,522.0,525.0,500.0,513.0,0.0,16530,8459093.0
2016-08-02,528.0,530.0,506.0,522.0,0.0,18563,9501903.0
2016-08-01,530.0,540.0,505.0,528.0,0.0,9514,4981249.0
2016-07-31,535.0,560.0,525.0,530.0,0.0,24581,13239316.0
2016-07-28,510.0,555.0,500.0,535.0,0.0,49845,26435172.0
2016-07-27,512.0,522.0,502.0,510.0,0.0,38582,19910988.0
2016-07-26,477.0,524.0,486.0,512.0,0.0,44938,22622068.0
2016-07-25,435.0,478.0,440.0,477.0,0.0,33373,15696792.0
2016-07-21,420.0,436.0,414.0,435.0,0.0,33110,14124877.0
2016-07-20,410.0,428.0,406.0,420.0,0.0,25320,10620402.0
2016-07-19,406.0,414.0,400.0,410.0,0.0,11294,4578497.0
2016-07-18,399.0,410.0,397.0,406.0,0.0,12511,5034576.0
2016-07-17,403.0,408.0,392.0,399.0,0.0,6805,2724028.0
2016-07-14,395.0,410.0,396.0,403.0,0.0,5320,2141236.0
2016-07-13,389.0,400.0,385.0,395.0,0.0,5692,2226661.0
2016-07-12,400.0,400.0,381.0,389.0,0.0,6128,2392794.0
2016-07-11,400.0,408.0,399.0,400.0,0.0,17148,6923476.0
2016-07-10,401.0,424.0,384.0,400.0,0.0,58903,23796820.0
2016-07-06,387.0,408.0,380.0,401.0,0.0,44099,17367738.0
2016-07-05,384.0,403.0,380.0,387.0,0.0,34058,13306015.0
2016-07-04,372.0,407.0,379.0,384.0,0.0,45086,17408926.0
2016-07-03,361.0,372.0,360.0,372.0,0.0,29076,10640154.0
2016-06-30,361.0,365.0,357.0,361.0,0.0,6253,2251527.0
2016-06-29,361.0,368.0,360.0,361.0,0.0,3576,1304822.0
2016-06-28,365.0,366.0,361.0,361.0,0.0,642,234450.0
2016-06-27,371.0,373.0,365.0,365.0,0.0,5727,2102587.0
2016-06-26,370.0,377.0,370.0,371.0,0.0,13826,5124620.0
2016-06-23,365.0,372.0,361.0,370.0,0.0,9741,3601657.0
2016-06-22,366.0,370.0,355.0,365.0,0.0,8128,2969708.0
2016-06-21,370.0,372.0,365.0,366.0,0.0,11452,4241576.0
2016-06-20,360.0,370.0,353.0,370.0,0.0,9157,3313329.0
2016-06-19,363.0,370.0,349.0,360.0,0.0,5840,2124787.0
2016-06-16,350.0,365.0,341.0,363.0,0.0,9658,3494833.0
2016-06-15,338.0,350.0,341.0,350.0,0.0,5004,1732943.0
2016-06-14,330.0,346.0,330.0,338.0,0.0,9449,3159762.0
2016-06-13,327.0,334.0,322.0,330.0,0.0,4578,1501032.0
2016-06-12,325.0,327.0,325.0,327.0,0.0,236,76895.0
2016-06-09,325.0,329.0,325.0,325.0,0.0,751,244759.0
2016-06-08,321.0,332.0,320.0,325.0,0.0,993,322933.0
2016-06-07,316.0,325.0,311.0,321.0,0.0,1454,465115.0
2016-06-06,315.0,320.0,309.0,316.0,0.0,1866,591669.0
2016-06-05,326.0,321.0,315.0,315.0,0.0,6362,2023589.0
2016-06-02,331.0,330.0,322.0,326.0,0.0,2335,759050.0
2016-06-01,330.0,342.0,325.0,331.0,0.0,4569,1517400.0
2016-05-31,327.0,336.0,326.0,330.0,0.0,2175,722498.0
2016-05-30,330.0,331.0,325.0,327.0,0.0,3516,1151760.0
2016-05-29,331.0,330.0,328.0,330.0,0.0,1860,612540.0
2016-05-26,325.0,331.0,318.0,331.0,0.0,4267,1363492.0
2016-05-25,333.0,335.0,325.0,325.0,0.0,4587,1511353.0
2016-05-24,320.0,333.0,320.0,333.0,0.0,13040,4263882.0
2016-05-23,325.0,326.0,315.0,320.0,0.0,13724,4400226.0
2016-05-22,325.0,326.0,322.0,325.0,0.0,1200,389600.0
2016-05-19,330.0,325.0,325.0,325.0,0.0,193,62725.0
2016-05-18,324.0,336.0,324.0,330.0,0.0,887,295025.0
2016-05-17,325.0,325.0,320.0,324.0,0.0,2349,761368.0
2016-05-16,326.0,325.0,321.0,325.0,0.0,923,297847.0
2016-05-15,330.0,330.0,325.0,326.0,0.0,2502,819048.0
2016-05-12,325.0,330.0,325.0,330.0,0.0,1158,380650.0
2016-05-11,325.0,326.0,321.0,325.0,0.0,1514,491302.0
2016-05-10,330.0,331.0,324.0,325.0,0.0,4169,1365816.0
2016-05-09,325.0,330.0,325.0,330.0,0.0,229,75232.0
2016-05-08,335.0,330.0,325.0,325.0,0.0,426,140260.0
2016-05-05,335.0,335.0,335.0,335.0,0.0,156,52260.0
2016-05-04,330.0,335.0,327.0,335.0,0.0,1662,549686.0
2016-05-03,321.0,333.0,323.0,330.0,0.0,13503,4450280.0
2016-05-02,327.0,330.0,321.0,321.0,0.0,2582,836486.0
2016-04-28,330.0,333.0,327.0,327.0,0.0,988,325336.0
2016-04-27,326.0,332.0,326.0,330.0,0.0,4049,1332184.0
2016-04-26,325.0,332.0,325.0,326.0,0.0,2906,957371.0
2016-04-25,328.0,325.0,322.0,325.0,0.0,1087,352507.0
2016-04-24,323.0,328.0,320.0,328.0,0.0,1559,508423.0
2016-04-21,321.0,324.0,316.0,323.0,0.0,1747,563929.0
2016-04-20,321.0,321.0,319.0,321.0,0.0,1114,357470.0
2016-04-19,325.0,331.0,320.0,321.0,0.0,4081,1320711.0
2016-04-18,324.0,325.0,320.0,325.0,0.0,1909,619149.0
2016-04-17,319.0,324.0,316.0,324.0,0.0,6312,2023223.0
2016-04-14,314.0,319.0,311.0,319.0,0.0,3497,1109809.0
2016-04-12,310.0,318.0,310.0,314.0,0.0,2228,694282.0
2016-04-11,322.0,319.0,306.0,310.0,0.0,1192,372579.0
2016-04-10,322.0,322.0,318.0,322.0,0.0,318,101713.0
2016-04-06,320.0,322.0,316.0,322.0,0.0,3396,1088248.0
2016-04-05,319.0,320.0,315.0,320.0,0.0,1502,480242.0
2016-04-04,323.0,325.0,319.0,319.0,0.0,1874,599901.0
2016-04-03,320.0,323.0,309.0,323.0,0.0,12670,4037275.0
2016-03-31,314.0,330.0,315.0,320.0,0.0,69027,21898176.0
