date,open,high,low,ltp,percent_change,qty,turnover
2016-09-14,158.0,173.0,161.0,173.0,0.0,19498,3287831.0
2016-08-31,158.0,158.0,158.0,158.0,0.0,130167,20566386.0
2016-07-17,158.0,158.0,158.0,158.0,0.0,6925,1094150.0
2016-07-13,158.0,158.0,158.0,158.0,0.0,6337,1001246.0
2016-07-11,158.0,158.0,158.0,158.0,0.0,51918,8203044.0
2016-07-06,158.0,158.0,158.0,158.0,0.0,12630,1995540.0
2016-07-05,158.0,160.0,158.0,158.0,0.0,6333,1013244.0
2016-07-04,158.0,158.0,158.0,158.0,0.0,110943,17528994.0
2016-06-30,158.0,158.0,158.0,158.0,0.0,28175,4451650.0
2016-06-28,158.0,158.0,158.0,158.0,0.0,44938,7100204.0
2016-06-05,158.0,158.0,158.0,158.0,0.0,47025,7429950.0
2016-04-12,158.0,158.0,151.0,158.0,0.0,17113,2676464.0
2015-12-27,149.0,147.0,147.0,147.0,0.0,22475,3303825.0
2015-12-24,147.0,149.0,149.0,149.0,0.0,17100,2547900.0
2012-12-27,153.0,150.0,147.0,147.0,0.0,58851,8761650.0
2012-12-26,156.0,153.0,153.0,153.0,0.0,19520,2986560.0
2012-12-24,159.0,156.0,156.0,156.0,0.0,7894,1231464.0
2012-12-19,162.0,159.0,159.0,159.0,0.0,6856,1090104.0
2012-12-16,120.0,165.0,162.0,162.0,0.0,7894,1290669.0
2012-04-09,121.0,120.0,120.0,120.0,0.0,1631,195720.0
2012-02-23,123.0,121.0,121.0,121.0,0.0,1500,181500.0
2011-12-07,123.0,123.0,123.0,123.0,0.0,3860,474780.0
2011-10-17,125.0,123.0,123.0,123.0,0.0,80699,9925977.0
