date,open,high,low,ltp,percent_change,qty,turnover
2017-01-19,419.0,430.0,420.0,427.0,0.0,2272,966636.0
2017-01-18,417.0,425.0,417.0,419.0,0.0,230,96356.0
2017-01-17,418.0,420.0,413.0,417.0,0.0,2791,1163923.0
2017-01-16,430.0,428.0,418.0,418.0,0.0,1923,814576.0
2017-01-15,430.0,437.0,426.0,430.0,0.0,1443,620911.0
2017-01-12,425.0,430.0,417.0,430.0,0.0,614,257018.0
2017-01-11,416.0,425.0,418.0,425.0,0.0,2582,1090878.0
2017-01-10,405.0,419.0,410.0,416.0,0.0,5484,2269803.0
2017-01-09,414.0,425.0,404.0,405.0,0.0,5000,2054750.0
2017-01-08,430.0,438.0,414.0,414.0,0.0,2401,1022235.0
2017-01-05,440.0,435.0,430.0,430.0,0.0,1678,726890.0
2017-01-04,435.0,440.0,435.0,440.0,0.0,260,113150.0
2017-01-03,450.0,450.0,435.0,435.0,0.0,3862,1701760.0
2017-01-02,440.0,450.0,443.0,450.0,0.0,2781,1243484.0
2017-01-01,429.0,440.0,435.0,440.0,0.0,322,141170.0
2016-12-29,422.0,430.0,425.0,429.0,0.0,1100,471700.0
2016-12-28,422.0,425.0,422.0,422.0,0.0,410,173050.0
2016-12-27,432.0,428.0,421.0,422.0,0.0,5484,2320058.0
2016-12-26,435.0,435.0,426.0,432.0,0.0,2669,1145440.0
2016-12-22,441.0,440.0,435.0,435.0,0.0,855,372500.0
2016-12-21,453.0,452.0,440.0,441.0,0.0,3125,1392805.0
2016-12-20,466.0,470.0,453.0,453.0,0.0,637,289871.0
2016-12-19,461.0,469.0,457.0,466.0,0.0,3281,1528534.0
2016-12-18,468.0,462.0,455.0,461.0,0.0,1539,709195.0
2016-12-15,459.0,468.0,450.0,468.0,0.0,1111,516879.0
2016-12-14,450.0,459.0,450.0,459.0,0.0,454,206200.0
2016-12-12,452.0,455.0,450.0,450.0,0.0,112,50800.0
2016-12-11,467.0,469.0,452.0,452.0,0.0,1933,888777.0
2016-12-08,475.0,475.0,467.0,467.0,0.0,2595,1218599.0
2016-12-07,468.0,475.0,465.0,475.0,0.0,2198,1027126.0
2016-12-06,475.0,474.0,468.0,468.0,0.0,2983,1405114.0
2016-12-05,471.0,477.0,470.0,475.0,0.0,3656,1726450.0
2016-12-04,486.0,480.0,470.0,471.0,0.0,1977,939652.0
2016-12-01,494.0,502.0,485.0,486.0,0.0,7393,3642563.0
2016-11-30,456.0,499.0,465.0,494.0,0.0,9422,4594415.0
2016-11-29,415.0,456.0,407.0,456.0,0.0,3097,1330638.0
2016-11-28,421.0,415.0,394.0,415.0,0.0,8189,3310147.0
2016-11-27,451.0,442.0,420.0,421.0,0.0,4781,2031640.0
2016-11-24,458.0,458.0,449.0,451.0,0.0,953,433127.0
2016-11-23,465.0,465.0,450.0,458.0,0.0,3019,1382078.0
2016-11-22,462.0,471.0,456.0,465.0,0.0,1925,887738.0
2016-11-21,460.0,462.0,458.0,462.0,0.0,895,411690.0
2016-11-20,500.0,490.0,460.0,460.0,0.0,2755,1294900.0
2016-11-17,515.0,510.0,500.0,500.0,0.0,1620,823030.0
2016-11-16,522.0,517.0,515.0,515.0,0.0,1114,574274.0
2016-11-15,506.0,526.0,516.0,522.0,0.0,790,408900.0
2016-11-14,500.0,510.0,500.0,506.0,0.0,4567,2291031.0
2016-11-13,515.0,510.0,500.0,500.0,0.0,9600,4826130.0
2016-11-10,515.0,516.0,510.0,515.0,0.0,1133,583180.0
2016-11-09,528.0,520.0,512.0,515.0,0.0,5541,2863242.0
2016-11-08,535.0,535.0,517.0,528.0,0.0,3829,2011115.0
2016-11-07,540.0,555.0,535.0,535.0,0.0,1427,772040.0
2016-10-27,540.0,550.0,540.0,540.0,0.0,2421,1319078.0
2016-10-26,530.0,540.0,520.0,540.0,0.0,3500,1846650.0
2016-10-25,549.0,555.0,530.0,530.0,0.0,3420,1827900.0
2016-10-24,547.0,550.0,536.0,549.0,0.0,6940,3779228.0
2016-10-23,548.0,555.0,545.0,547.0,0.0,6913,3784324.0
2016-10-20,539.0,559.0,535.0,548.0,0.0,3600,1975810.0
2016-10-19,540.0,539.0,530.0,539.0,0.0,2028,1084364.0
2016-10-18,550.0,549.0,522.0,540.0,0.0,1884,1002018.0
2016-10-17,560.0,560.0,550.0,550.0,0.0,288,159400.0
2016-10-16,553.0,560.0,542.0,560.0,0.0,1640,899000.0
2016-10-06,550.0,565.0,553.0,553.0,0.0,8122,4551216.0
2016-10-05,539.0,550.0,531.0,550.0,0.0,2789,1501210.0
2016-10-04,550.0,550.0,539.0,539.0,0.0,330,179900.0
2016-10-03,536.0,550.0,530.0,550.0,0.0,1899,1014249.0
2016-10-02,528.0,538.0,536.0,536.0,0.0,998,535902.0
2016-09-29,530.0,540.0,521.0,528.0,0.0,2051,1076977.0
2016-09-28,535.0,534.0,528.0,530.0,0.0,2357,1248298.0
2016-09-27,530.0,535.0,529.0,535.0,0.0,3391,1805006.0
2016-09-26,526.0,536.0,520.0,530.0,0.0,4144,2176172.0
2016-09-25,535.0,545.0,526.0,526.0,0.0,10142,5422371.0
2016-09-22,545.0,545.0,534.0,535.0,0.0,5343,2872788.0
2016-09-21,546.0,550.0,540.0,545.0,0.0,624,340800.0
2016-09-20,560.0,560.0,543.0,546.0,0.0,5540,3050990.0
2016-09-18,560.0,565.0,559.0,560.0,0.0,6437,3612777.0
2016-09-14,552.0,565.0,544.0,560.0,0.0,7858,4387991.0
2016-09-12,555.0,563.0,550.0,552.0,0.0,7359,4076888.0
2016-09-11,557.0,568.0,555.0,555.0,0.0,5446,3059444.0
2016-09-08,564.0,568.0,557.0,557.0,0.0,9815,5510183.0
2016-09-07,560.0,572.0,550.0,564.0,0.0,6881,3901168.0
2016-09-06,560.0,580.0,550.0,560.0,0.0,18445,10385377.0
2016-09-05,575.0,580.0,560.0,560.0,0.0,6154,3497569.0
2016-09-04,576.0,585.0,565.0,575.0,0.0,12730,7306510.0
2016-09-03,576.0,585.0,565.0,575.0,0.0,12730,7306510.0
2016-09-01,562.0,595.0,570.0,576.0,0.0,29309,16940816.0
2016-08-31,545.0,570.0,550.0,562.0,0.0,5839,3284138.0
2016-08-30,540.0,553.0,538.0,545.0,0.0,9364,5091324.0
2016-08-29,540.0,546.0,530.0,540.0,0.0,3180,1719273.0
2016-08-28,532.0,542.0,534.0,540.0,0.0,12142,6541180.0
2016-08-24,535.0,555.0,526.0,532.0,0.0,10274,5477693.0
2016-08-23,544.0,544.0,532.0,535.0,0.0,3797,2042897.0
2016-08-22,551.0,545.0,532.0,544.0,0.0,10707,5759312.0
2016-08-21,569.0,575.0,551.0,551.0,0.0,5086,2855662.0
2016-08-17,573.0,578.0,564.0,569.0,0.0,28139,16086178.0
2016-08-16,566.0,591.0,561.0,573.0,0.0,30304,17323320.0
2016-08-15,576.0,587.0,555.0,566.0,0.0,34897,19796926.0
2016-08-14,573.0,595.0,549.0,576.0,0.0,63260,36262524.0
2016-08-11,543.0,597.0,525.0,573.0,0.0,95320,54462268.0
