date,open,high,low,ltp,percent_change,qty,turnover
2020-10-15,202.0,206.0,196.0,197.0,-1.01,16666,3336294.0
2020-10-14,202.0,206.0,199.0,199.0,-2.93,19068,3848507.0
2020-10-13,214.0,215.0,204.0,205.0,-2.38,36856,7643169.0
2020-10-12,211.0,215.0,197.0,210.0,4.48,41490,8703199.0
2020-10-11,205.0,208.0,200.0,201.0,-3.83,22691,4605707.0
2020-10-08,215.0,226.0,206.0,209.0,-0.95,49727,10529282.0
2020-10-07,193.0,211.0,190.0,211.0,9.9,82824,16835265.0
2020-10-06,191.0,193.0,190.0,192.0,2.13,30498,5823956.0
2020-10-05,191.0,193.0,187.0,188.0,-1.05,34163,6508275.0
2020-10-04,193.0,196.0,187.0,190.0,0.0,37423,7116802.0
2020-10-01,183.0,192.0,183.0,190.0,4.97,35608,6680992.0
2020-09-30,170.0,188.0,170.0,181.0,1.69,30165,5524039.0
2020-09-29,177.0,180.0,177.0,178.0,-1.11,5575,999579.0
2020-09-28,171.0,184.0,171.0,180.0,0.0,9440,1698021.0
2020-09-27,177.0,182.0,176.0,180.0,2.27,18494,3323821.0
2020-09-24,178.0,180.0,175.0,176.0,-1.12,11826,2091157.0
2020-09-23,173.0,178.0,172.0,178.0,1.14,6029,1061927.0
2020-09-22,187.0,187.0,173.0,176.0,-1.68,7620,1338668.0
2020-09-21,178.0,181.0,175.0,179.0,-1.1,8887,1594185.0
2020-09-20,186.0,187.0,180.0,181.0,-1.09,12749,2337755.0
2020-09-17,175.0,191.0,175.0,183.0,2.81,41804,7610702.0
2020-09-16,178.0,178.0,176.0,178.0,1.14,4419,783793.0
2020-09-15,176.0,181.0,175.0,176.0,-0.56,3590,635730.0
2020-09-14,176.0,184.0,173.0,177.0,2.31,29483,5254616.0
2020-09-13,168.0,177.0,167.0,173.0,1.17,22694,3943661.0
2020-09-10,166.0,171.0,165.0,171.0,2.4,6581,1100860.0
2020-09-09,168.0,168.0,167.0,167.0,-0.6,499,83815.0
2020-09-08,168.0,171.0,168.0,168.0,-1.18,3640,617925.0
2020-09-07,169.0,170.0,169.0,170.0,0.0,1091,184464.0
