date,open,high,low,ltp,percent_change,qty,turnover
2019-03-17,176.0,176.0,161.0,166.0,-6.74,21328,3587079.0
2019-03-14,162.0,178.0,159.0,178.0,9.88,14872,2549193.0
2019-03-13,162.0,162.0,162.0,162.0,-1.22,77,12474.0
2019-03-12,158.0,164.0,158.0,164.0,5.81,552,88932.0
2019-03-10,161.0,161.0,155.0,155.0,-5.49,99,15735.0
2019-03-07,161.0,164.0,161.0,164.0,3.8,410,66271.0
2019-03-06,158.0,161.0,158.0,158.0,1.94,1911,303327.0
2019-03-05,155.0,155.0,154.0,155.0,-1.27,580,89826.0
2019-03-03,158.0,158.0,157.0,157.0,0.64,205,32265.0
2019-02-27,150.0,156.0,150.0,156.0,5.41,1947,303342.0
2019-02-25,148.0,148.0,148.0,148.0,-1.33,11,1628.0
2019-02-24,153.0,153.0,150.0,150.0,0.0,410,61955.0
2019-02-21,150.0,150.0,150.0,150.0,1.35,11,1650.0
2019-02-19,148.0,148.0,148.0,148.0,-1.99,49,7252.0
2019-02-18,154.0,157.0,151.0,151.0,-1.95,1295,198045.0
2019-02-17,155.0,155.0,154.0,154.0,-1.28,91,14038.0
2019-02-14,159.0,159.0,156.0,156.0,-0.64,423,66644.0
2019-02-13,159.0,160.0,157.0,157.0,0.64,2422,383690.0
2019-02-12,156.0,156.0,156.0,156.0,0.0,197,30732.0
2019-02-11,156.0,156.0,156.0,156.0,0.65,1559,243204.0
2019-02-07,155.0,155.0,155.0,155.0,0.0,800,124000.0
2019-02-06,158.0,158.0,155.0,155.0,-3.13,41,6439.0
2019-02-05,158.0,160.0,155.0,160.0,3.23,5878,939485.0
2019-02-04,155.0,155.0,155.0,155.0,-1.27,11,1705.0
2019-02-03,157.0,157.0,157.0,157.0,1.95,69,10825.0
2019-01-31,159.0,159.0,154.0,154.0,-1.28,1000,154350.0
2019-01-30,167.0,167.0,156.0,156.0,-4.88,1041,166266.0
2019-01-28,159.0,164.0,159.0,164.0,3.8,332,53028.0
2019-01-27,157.0,159.0,157.0,158.0,-1.25,180,28510.0
2019-01-24,156.0,160.0,156.0,160.0,3.23,251,39978.0
2019-01-23,157.0,158.0,155.0,155.0,-3.13,1750,271850.0
2019-01-21,160.0,160.0,160.0,160.0,0.0,350,56000.0
2019-01-20,160.0,160.0,160.0,160.0,-1.23,10,1600.0
2019-01-16,159.0,162.0,159.0,162.0,3.85,343,54625.0
2019-01-15,156.0,156.0,156.0,156.0,1.96,550,85800.0
2019-01-14,155.0,155.0,153.0,153.0,-1.29,172,26632.0
2019-01-13,150.0,155.0,150.0,155.0,2.65,2481,377626.0
2019-01-10,150.0,152.0,150.0,151.0,0.67,220,33300.0
2019-01-08,148.0,150.0,148.0,150.0,2.74,41,6126.0
2019-01-07,147.0,147.0,146.0,146.0,-0.68,425,62350.0
2019-01-06,147.0,148.0,147.0,147.0,-0.68,1289,190683.0
2019-01-03,148.0,148.0,148.0,148.0,-0.67,49,7252.0
2019-01-02,150.0,150.0,149.0,149.0,-1.32,1635,244620.0
2019-01-01,151.0,151.0,151.0,151.0,-1.31,90,13590.0
2018-12-31,156.0,156.0,153.0,153.0,-3.77,598,92994.0
2018-12-27,156.0,162.0,156.0,159.0,2.58,605,96966.0
2018-12-26,155.0,155.0,155.0,155.0,1.97,252,39060.0
2018-12-25,152.0,152.0,152.0,152.0,-1.3,200,30400.0
2018-12-24,153.0,154.0,152.0,154.0,1.32,677,103604.0
2018-12-23,154.0,154.0,152.0,152.0,0.0,896,137792.0
2018-12-20,152.0,152.0,152.0,152.0,1.33,50,7600.0
2018-12-18,150.0,151.0,150.0,150.0,-0.66,1144,172114.0
2018-12-17,154.0,155.0,151.0,151.0,-0.66,360,55080.0
2018-12-16,153.0,153.0,152.0,152.0,0.0,450,68650.0
2018-12-12,152.0,152.0,152.0,152.0,-1.94,1000,152000.0
2018-12-10,155.0,155.0,155.0,155.0,-11.93,100,15500.0
2018-12-09,174.0,178.0,174.0,176.0,0.57,350,61655.0
2018-12-06,173.0,175.0,172.0,175.0,0.57,570,99010.0
2018-12-05,173.0,174.0,170.0,174.0,2.35,1461,252170.0
2018-12-04,168.0,170.0,167.0,170.0,1.8,110,18410.0
2018-12-03,172.0,172.0,167.0,167.0,-1.76,1538,259676.0
2018-12-02,168.0,171.0,167.0,170.0,3.03,437,74001.0
2018-11-29,165.0,167.0,164.0,165.0,-0.6,871,144121.0
2018-11-28,166.0,166.0,166.0,166.0,1.84,15,2490.0
2018-11-27,168.0,168.0,163.0,163.0,-2.98,506,83437.0
2018-11-26,167.0,170.0,167.0,168.0,-1.18,1580,267925.0
2018-11-25,172.0,173.0,170.0,170.0,-2.86,321,54655.0
2018-11-22,175.0,175.0,175.0,175.0,1.74,190,33250.0
2018-11-21,175.0,175.0,172.0,172.0,-2.82,2165,372425.0
2018-11-20,175.0,178.0,175.0,177.0,-0.56,657,115357.0
2018-11-19,178.0,180.0,178.0,178.0,-1.11,160,28480.0
2018-11-18,180.0,180.0,180.0,180.0,-1.1,300,54000.0
2018-11-15,176.0,182.0,176.0,182.0,3.41,3347,599668.0
2018-11-13,176.0,177.0,176.0,176.0,-0.56,1351,237776.0
2018-11-12,178.0,178.0,177.0,177.0,0.0,180,31960.0
2018-11-11,176.0,177.0,176.0,177.0,0.57,50,8850.0
2018-11-05,176.0,176.0,176.0,176.0,-1.68,500,88000.0
2018-11-01,179.0,179.0,179.0,179.0,-1.65,10,1790.0
2018-10-31,185.0,185.0,182.0,182.0,-0.55,166,30410.0
2018-10-30,182.0,183.0,180.0,183.0,-1.08,482,87160.0
2018-10-29,185.0,185.0,185.0,185.0,-1.6,273,50505.0
2018-10-24,188.0,188.0,188.0,188.0,0.0,101,18988.0
2018-10-23,187.0,190.0,187.0,188.0,-0.53,590,110888.0
2018-10-15,189.0,189.0,189.0,189.0,0.0,30,5670.0
2018-10-11,189.0,189.0,189.0,189.0,-1.56,77,14553.0
2018-10-10,192.0,192.0,192.0,192.0,-0.52,371,71232.0
2018-10-08,193.0,193.0,193.0,193.0,0.0,100,19300.0
2018-10-07,193.0,193.0,192.0,193.0,-1.53,1073,207056.0
2018-10-03,193.0,196.0,193.0,196.0,1.55,85,16465.0
2018-10-02,196.0,196.0,193.0,193.0,-3.5,1565,303632.0
2018-09-30,200.0,200.0,200.0,200.0,0.0,100,19970.0
2018-09-27,208.0,208.0,200.0,200.0,-1.96,208,41920.0
2018-09-26,204.0,204.0,204.0,204.0,0.99,10,2040.0
2018-09-25,201.0,202.0,201.0,202.0,1.51,685,138341.0
2018-09-23,204.0,204.0,196.0,199.0,-0.5,1403,281932.0
2018-09-18,200.0,204.0,197.0,200.0,-0.5,1933,385638.0
2018-09-17,195.0,209.0,195.0,201.0,4.69,11856,2356091.0
2018-09-16,189.0,192.0,184.0,192.0,3.23,2930,556916.0
2018-09-13,177.0,186.0,177.0,186.0,6.9,4446,809552.0
2018-09-12,174.0,174.0,174.0,174.0,-1.69,60,10449.0
2018-09-11,174.0,174.0,174.0,174.0,-1.69,4,696.0
2018-09-09,0.0,0.0,0.0,0.0,0.0,2,350.0
2018-09-06,180.0,182.0,177.0,177.0,0.0,3086,552480.0
2018-09-05,179.0,184.0,177.0,177.0,0.57,4221,755122.0
2018-09-04,174.0,176.0,174.0,176.0,2.92,549,95566.0
2018-09-03,171.0,177.0,171.0,171.0,-1.72,854,148152.0
2018-09-02,168.0,174.0,168.0,174.0,5.45,33,5634.0
2018-08-30,165.0,165.0,165.0,165.0,1.85,1000,165000.0
2018-08-29,165.0,168.0,162.0,162.0,-1.82,1797,294114.0
2018-08-28,165.0,165.0,165.0,165.0,-1.2,229,37779.0
2018-08-22,167.0,167.0,167.0,167.0,-1.18,24,4008.0
2018-08-20,168.0,169.0,168.0,169.0,-0.59,287,48261.0
2018-08-19,170.0,170.0,170.0,170.0,-1.16,100,17000.0
