date,open,high,low,ltp,percent_change,qty,turnover
2012-04-12,86.0,85.0,85.0,85.0,0.0,20,1700.0
2012-04-11,85.0,86.0,86.0,86.0,0.0,120,10320.0
2012-04-09,84.0,85.0,85.0,85.0,0.0,132,11220.0
2012-04-08,83.0,84.0,84.0,84.0,0.0,100,8400.0
2012-04-05,84.0,84.0,83.0,83.0,0.0,330,27410.0
2012-04-04,84.0,85.0,84.0,84.0,0.0,80,6750.0
2012-04-03,83.0,84.0,84.0,84.0,0.0,600,50400.0
2012-04-02,82.0,83.0,83.0,83.0,0.0,10,830.0
2012-04-01,81.0,82.0,81.0,82.0,0.0,50,4060.0
2012-03-29,82.0,81.0,81.0,81.0,0.0,20,1620.0
2012-03-28,81.0,82.0,82.0,82.0,0.0,10,820.0
2012-03-27,80.0,81.0,81.0,81.0,0.0,10,810.0
2012-03-26,81.0,80.0,80.0,80.0,0.0,10,800.0
2012-03-25,82.0,81.0,81.0,81.0,0.0,52,4212.0
2012-03-21,82.0,82.0,82.0,82.0,0.0,180,14760.0
2012-03-20,84.0,84.0,82.0,82.0,0.0,190,15790.0
2012-03-19,85.0,84.0,84.0,84.0,0.0,30,2520.0
2012-03-18,84.0,85.0,85.0,85.0,0.0,20,1700.0
2012-03-14,83.0,84.0,84.0,84.0,0.0,80,6720.0
2012-03-13,84.0,83.0,83.0,83.0,0.0,20,1660.0
2012-03-12,85.0,85.0,84.0,84.0,0.0,40,3380.0
2012-03-05,87.0,86.0,85.0,85.0,0.0,20,1710.0
2012-03-04,88.0,87.0,87.0,87.0,0.0,100,8700.0
2012-03-01,89.0,88.0,87.0,88.0,0.0,1110,97220.0
2012-02-29,94.0,93.0,89.0,89.0,0.0,600,54470.0
2012-02-28,92.0,94.0,93.0,94.0,0.0,160,15010.0
2012-02-27,90.0,92.0,91.0,92.0,0.0,90,8210.0
2012-02-26,88.0,90.0,88.0,90.0,0.0,90,8000.0
2012-02-23,87.0,88.0,88.0,88.0,0.0,50,4400.0
2012-02-16,88.0,87.0,87.0,87.0,0.0,80,6960.0
2012-02-14,86.0,88.0,86.0,88.0,0.0,260,22660.0
2012-02-13,81.0,87.0,82.0,86.0,0.0,280,23750.0
2012-02-12,79.0,81.0,80.0,81.0,0.0,260,21040.0
2012-02-09,78.0,79.0,79.0,79.0,0.0,100,7900.0
2012-02-08,74.0,78.0,75.0,78.0,0.0,570,44040.0
2012-02-07,73.0,74.0,73.0,74.0,0.0,180,13300.0
2012-02-06,74.0,73.0,73.0,73.0,0.0,30,2190.0
2012-02-02,73.0,75.0,73.0,74.0,0.0,240,17780.0
2012-02-01,71.0,73.0,72.0,73.0,0.0,50,3630.0
2012-01-29,69.0,71.0,70.0,71.0,0.0,150,10630.0
2012-01-26,68.0,69.0,67.0,69.0,0.0,140,9500.0
2012-01-23,68.0,68.0,68.0,68.0,0.0,20,1360.0
2012-01-22,70.0,70.0,68.0,68.0,0.0,120,8290.0
2012-01-18,69.0,70.0,70.0,70.0,0.0,60,4200.0
2012-01-12,69.0,69.0,68.0,69.0,0.0,30,2050.0
2012-01-11,66.0,69.0,67.0,69.0,0.0,410,27960.0
2012-01-10,67.0,67.0,66.0,66.0,0.0,50,3330.0
2012-01-09,67.0,68.0,68.0,68.0,0.0,50,3400.0
2012-01-05,68.0,67.0,67.0,67.0,0.0,10,670.0
2012-01-04,68.0,68.0,68.0,68.0,0.0,50,3400.0
2012-01-03,68.0,68.0,67.0,68.0,0.0,70,4730.0
2012-01-02,68.0,68.0,68.0,68.0,0.0,20,1360.0
2012-01-01,68.0,69.0,68.0,68.0,0.0,150,10220.0
2011-12-28,69.0,68.0,68.0,68.0,0.0,10,680.0
2011-12-27,70.0,69.0,69.0,69.0,0.0,20,1380.0
2011-12-22,70.0,70.0,69.0,70.0,0.0,40,2790.0
2011-12-21,71.0,70.0,70.0,70.0,0.0,10,700.0
2011-12-20,71.0,71.0,70.0,71.0,0.0,380,26870.0
2011-12-19,70.0,72.0,70.0,71.0,0.0,140,9940.0
2011-12-18,73.0,72.0,70.0,70.0,0.0,70,4960.0
2011-12-15,76.0,75.0,73.0,73.0,0.0,190,14060.0
2011-12-14,78.0,77.0,76.0,76.0,0.0,20,1530.0
2011-12-11,78.0,78.0,78.0,78.0,0.0,80,6240.0
2011-12-07,78.0,78.0,78.0,78.0,0.0,10,780.0
2011-11-28,77.0,77.0,76.0,77.0,0.0,170,13030.0
2011-11-27,78.0,77.0,77.0,77.0,0.0,10,770.0
2011-11-23,80.0,81.0,78.0,78.0,0.0,200,15930.0
2011-11-22,79.0,80.0,80.0,80.0,0.0,60,4800.0
2011-11-21,80.0,79.0,79.0,79.0,0.0,10,790.0
2011-11-16,81.0,80.0,80.0,80.0,0.0,20,1600.0
2011-11-15,79.0,81.0,80.0,81.0,0.0,40,3220.0
2011-11-14,78.0,79.0,79.0,79.0,0.0,70,5530.0
2011-11-13,80.0,80.0,78.0,78.0,0.0,160,12700.0
2011-11-09,80.0,80.0,80.0,80.0,0.0,10,800.0
2011-10-30,79.0,80.0,79.0,80.0,0.0,430,34280.0
2011-10-23,80.0,80.0,79.0,79.0,0.0,50,3970.0
2011-10-17,80.0,81.0,80.0,80.0,0.0,80,6440.0
2011-10-13,80.0,81.0,80.0,80.0,0.0,40,3230.0
2011-10-10,80.0,80.0,80.0,80.0,0.0,30,2400.0
2011-10-09,83.0,82.0,80.0,80.0,0.0,530,42750.0
2011-10-02,84.0,84.0,83.0,83.0,0.0,210,17440.0
2011-09-29,85.0,84.0,84.0,84.0,0.0,20,1680.0
2011-09-25,85.0,85.0,85.0,85.0,0.0,30,2550.0
2011-09-22,84.0,85.0,85.0,85.0,0.0,30,2550.0
2011-09-21,84.0,84.0,84.0,84.0,0.0,70,5880.0
2011-09-19,83.0,84.0,84.0,84.0,0.0,40,3360.0
2011-09-18,84.0,83.0,83.0,83.0,0.0,20,1660.0
2011-09-15,85.0,84.0,84.0,84.0,0.0,50,4200.0
2011-09-14,86.0,86.0,85.0,85.0,0.0,110,9450.0
2011-09-12,89.0,90.0,86.0,86.0,0.0,260,23060.0
2011-09-08,93.0,92.0,89.0,89.0,0.0,90,8180.0
2011-09-07,95.0,95.0,93.0,93.0,0.0,40,3750.0
2011-09-06,96.0,95.0,95.0,95.0,0.0,20,1900.0
2011-09-05,95.0,96.0,95.0,96.0,0.0,170,16240.0
2011-09-04,95.0,95.0,95.0,95.0,0.0,20,1900.0
2011-09-01,95.0,95.0,95.0,95.0,0.0,10,950.0
2011-08-28,95.0,95.0,94.0,95.0,0.0,30,2830.0
2011-08-24,96.0,96.0,95.0,95.0,0.0,150,14310.0
2011-08-23,96.0,96.0,96.0,96.0,0.0,90,8640.0
2011-08-22,98.0,97.0,96.0,96.0,0.0,40,3860.0
2011-08-18,98.0,98.0,98.0,98.0,0.0,10,980.0
2011-08-16,97.0,98.0,98.0,98.0,0.0,30,2940.0
2011-08-15,98.0,97.0,97.0,97.0,0.0,10,970.0
2011-08-08,100.0,98.0,98.0,98.0,0.0,10,980.0
2011-08-07,100.0,100.0,100.0,100.0,0.0,40,4000.0
2011-08-04,100.0,102.0,100.0,100.0,0.0,520,52300.0
2011-08-03,100.0,102.0,100.0,100.0,0.0,790,79770.0
2011-08-02,93.0,100.0,94.0,100.0,0.0,140,13630.0
2011-07-31,88.0,93.0,89.0,93.0,0.0,110,10070.0
2011-07-28,87.0,88.0,88.0,88.0,0.0,10,880.0
2011-07-27,86.0,87.0,87.0,87.0,0.0,100,8700.0
2011-07-25,86.0,86.0,85.0,86.0,0.0,90,7710.0
2011-07-24,84.0,86.0,84.0,86.0,0.0,140,11800.0
2011-07-21,82.0,84.0,82.0,84.0,0.0,350,28750.0
2011-07-20,81.0,82.0,81.0,82.0,0.0,80,6500.0
2011-07-19,82.0,81.0,81.0,81.0,0.0,10,810.0
2011-07-14,81.0,82.0,80.0,82.0,0.0,410,32880.0
2011-07-13,82.0,81.0,81.0,81.0,0.0,130,10530.0
2011-07-07,81.0,82.0,81.0,82.0,0.0,970,78660.0
2011-07-06,81.0,82.0,81.0,81.0,0.0,70,5720.0
2011-07-05,82.0,81.0,81.0,81.0,0.0,60,4860.0
2011-07-04,84.0,84.0,82.0,82.0,0.0,100,8240.0
2011-07-03,85.0,84.0,83.0,84.0,0.0,400,33580.0
2011-06-29,86.0,85.0,85.0,85.0,0.0,10,850.0
2011-06-27,90.0,86.0,86.0,86.0,0.0,10,860.0
2011-06-20,88.0,88.0,88.0,88.0,0.0,70,6160.0
2011-06-19,88.0,88.0,88.0,88.0,0.0,70,6160.0
2011-06-16,88.0,88.0,88.0,88.0,0.0,20,1760.0
2011-06-15,89.0,89.0,87.0,88.0,0.0,230,20160.0
2011-06-14,93.0,92.0,89.0,89.0,0.0,320,28780.0
2011-06-13,97.0,96.0,93.0,93.0,0.0,200,18900.0
2011-06-12,98.0,98.0,97.0,97.0,0.0,70,6800.0
2011-06-09,99.0,98.0,98.0,98.0,0.0,20,1960.0
2011-06-08,98.0,99.0,99.0,99.0,0.0,10,990.0
2011-06-06,100.0,99.0,98.0,98.0,0.0,20,1970.0
2011-06-05,98.0,100.0,98.0,100.0,0.0,330,32660.0
2011-06-02,96.0,98.0,95.0,98.0,0.0,140,13560.0
2011-06-01,97.0,96.0,96.0,96.0,0.0,10,960.0
2011-05-31,96.0,98.0,96.0,97.0,0.0,60,5810.0
2011-05-24,96.0,96.0,94.0,96.0,0.0,90,8510.0
2011-05-23,97.0,96.0,96.0,96.0,0.0,60,5760.0
2011-05-18,100.0,100.0,97.0,97.0,0.0,340,33400.0
2011-05-16,100.0,100.0,100.0,100.0,0.0,20,2000.0
2011-05-15,104.0,104.0,100.0,100.0,0.0,370,37340.0
2011-05-12,100.0,104.0,99.0,104.0,0.0,130,13140.0
2011-05-10,100.0,100.0,98.0,100.0,0.0,300,29770.0
2011-05-09,99.0,100.0,100.0,100.0,0.0,20,2000.0
2011-05-08,100.0,101.0,99.0,99.0,0.0,200,20070.0
2011-05-05,100.0,100.0,98.0,100.0,0.0,40,3950.0
2011-05-03,101.0,100.0,100.0,100.0,0.0,100,10000.0
2011-05-02,104.0,104.0,100.0,101.0,0.0,350,35700.0
2011-04-28,101.0,104.0,100.0,104.0,0.0,260,26460.0
2011-04-27,104.0,105.0,101.0,101.0,0.0,100,10180.0
2011-04-25,107.0,108.0,104.0,104.0,0.0,250,26590.0
