date,open,high,low,ltp,percent_change,qty,turnover
2017-03-21,173.0,176.0,176.0,176.0,0.0,100,17600.0
2017-03-19,175.0,173.0,173.0,173.0,0.0,200,34600.0
2017-03-16,176.0,175.0,175.0,175.0,0.0,59,10325.0
2017-03-05,173.0,176.0,176.0,176.0,0.0,30,5280.0
2017-03-01,173.0,173.0,173.0,173.0,0.0,3572,617956.0
2017-02-14,173.0,173.0,173.0,173.0,0.0,79,13667.0
2017-02-13,176.0,173.0,173.0,173.0,0.0,223,38579.0
2017-02-09,175.0,181.0,176.0,176.0,0.0,659,117974.0
2017-02-07,179.0,179.0,175.0,175.0,0.0,466,82076.0
2017-01-31,176.0,179.0,176.0,179.0,0.0,5219,932434.0
2017-01-30,179.0,176.0,176.0,176.0,0.0,900,158400.0
2017-01-26,173.0,179.0,173.0,179.0,0.0,1110,195390.0
2017-01-24,170.0,173.0,173.0,173.0,0.0,100,17300.0
2017-01-22,170.0,170.0,170.0,170.0,0.0,177,30090.0
2017-01-17,172.0,170.0,170.0,170.0,0.0,555,94350.0
2017-01-16,175.0,172.0,172.0,172.0,0.0,59,10148.0
2017-01-15,174.0,175.0,175.0,175.0,0.0,30,5250.0
2017-01-11,175.0,177.0,174.0,174.0,0.0,348,60696.0
2017-01-08,174.0,175.0,174.0,175.0,0.0,114,19926.0
2017-01-03,177.0,174.0,174.0,174.0,0.0,230,40020.0
2017-01-02,180.0,177.0,177.0,177.0,0.0,149,26373.0
2017-01-01,177.0,180.0,180.0,180.0,0.0,207,37260.0
2016-12-28,186.0,183.0,177.0,177.0,0.0,405,72735.0
2016-12-20,189.0,186.0,186.0,186.0,0.0,50,9300.0
2016-12-19,186.0,189.0,188.0,189.0,0.0,1100,206900.0
2016-12-18,183.0,189.0,180.0,186.0,0.0,1256,230553.0
2016-12-15,180.0,183.0,183.0,183.0,0.0,100,18300.0
2016-12-14,186.0,183.0,177.0,180.0,0.0,1568,282843.0
2016-12-11,185.0,186.0,186.0,186.0,0.0,88,16368.0
2016-12-08,185.0,188.0,185.0,185.0,0.0,209,38845.0
2016-12-07,180.0,189.0,183.0,185.0,0.0,2146,400096.0
2016-12-06,179.0,180.0,178.0,180.0,0.0,120,21480.0
2016-12-05,176.0,179.0,179.0,179.0,0.0,59,10561.0
2016-12-04,173.0,176.0,173.0,176.0,0.0,889,155933.0
2016-12-01,167.0,173.0,170.0,173.0,0.0,600,102900.0
2016-11-30,160.0,167.0,162.0,167.0,0.0,849,139138.0
2016-11-29,161.0,160.0,158.0,160.0,0.0,1960,311600.0
2016-11-28,155.0,161.0,158.0,161.0,0.0,700,111200.0
2016-11-27,161.0,158.0,155.0,155.0,0.0,91,14282.0
2016-11-24,167.0,164.0,161.0,161.0,0.0,2779,453356.0
2016-11-23,179.0,176.0,167.0,167.0,0.0,220,37340.0
2016-11-22,172.0,179.0,170.0,179.0,0.0,6594,1149864.0
2016-11-21,175.0,173.0,172.0,172.0,0.0,801,138003.0
2016-11-20,181.0,178.0,175.0,175.0,0.0,1080,189240.0
2016-11-17,184.0,181.0,181.0,181.0,0.0,26,4706.0
2016-11-16,187.0,185.0,182.0,184.0,0.0,652,119693.0
2016-11-15,190.0,190.0,187.0,187.0,0.0,148,27940.0
2016-11-10,196.0,193.0,190.0,190.0,0.0,1677,319161.0
2016-11-08,200.0,200.0,196.0,196.0,0.0,334,66264.0
2016-11-07,192.0,200.0,195.0,200.0,0.0,648,128356.0
2016-10-27,195.0,192.0,192.0,192.0,0.0,900,172800.0
2016-10-25,198.0,195.0,195.0,195.0,0.0,744,145080.0
2016-10-23,192.0,198.0,190.0,198.0,0.0,2041,394336.0
2016-10-20,192.0,192.0,190.0,192.0,0.0,1182,226744.0
2016-10-19,194.0,192.0,192.0,192.0,0.0,26,4992.0
2016-10-18,197.0,200.0,194.0,194.0,0.0,718,142646.0
2016-10-16,197.0,197.0,194.0,197.0,0.0,296,58081.0
2016-09-29,198.0,201.0,197.0,197.0,0.0,103,20527.0
2016-09-28,193.0,198.0,194.0,198.0,0.0,353,69564.0
2016-09-27,190.0,193.0,193.0,193.0,0.0,141,27213.0
2016-09-26,192.0,192.0,190.0,190.0,0.0,198,37738.0
2016-09-25,192.0,192.0,192.0,192.0,0.0,2500,480000.0
