date,open,high,low,ltp,percent_change,qty,turnover
2023-05-24,478.3,518.9,476.0,518.9,6.33,42167,20324368.3
2023-05-23,470.0,488.0,470.0,488.0,4.3,29122,13863186.4
2023-05-22,461.0,473.8,457.0,467.9,1.28,15600,7268656.5
2023-05-21,460.0,465.0,455.0,462.0,0.63,8466,3903924.7
2023-05-18,448.0,465.0,447.0,459.1,1.91,16375,7530364.9
2023-05-17,431.0,450.5,431.0,450.5,2.62,13254,5920500.1
2023-05-16,423.1,440.0,421.4,439.0,2.09,6006,2594716.0
2023-05-15,430.0,434.0,418.9,430.0,-0.85,2372,1013259.4
2023-05-14,425.0,434.0,425.0,433.7,0.05,464,199378.0
2023-05-11,429.0,435.0,426.4,433.5,0.86,2009,863569.8
2023-05-10,425.0,430.0,420.2,429.8,0.89,3281,1391012.0
2023-05-09,420.0,441.0,416.0,426.0,1.67,6759,2843886.8
2023-05-08,428.3,428.3,416.2,419.0,-4.12,13143,5532772.2
2023-05-07,430.2,439.6,430.0,437.0,-0.23,1975,850512.8
2023-05-04,430.0,438.0,426.7,438.0,1.86,1145,495081.4
2023-05-03,434.3,437.0,427.6,430.0,-2.93,8658,3725158.7
2023-05-02,445.0,445.0,436.1,443.0,-0.43,1394,609184.4
2023-04-30,445.0,445.0,437.0,444.9,-0.47,1293,565896.2
2023-04-27,440.1,447.0,433.4,447.0,-0.45,1498,660327.0
2023-04-26,454.9,454.9,441.0,449.0,0.67,3382,1513265.0
2023-04-25,450.9,451.0,441.0,446.0,0.02,14581,6518841.5
2023-04-24,438.5,448.0,438.4,445.9,-0.02,1555,683913.8
2023-04-23,442.9,446.0,440.0,446.0,-1.31,2982,1318552.0
2023-04-20,450.0,455.0,445.0,451.9,0.42,3214,1441856.4
2023-04-19,450.0,458.0,445.1,450.0,0.02,3760,1694823.5
2023-04-18,449.0,455.0,441.7,449.9,1.81,7172,3219238.1
2023-04-17,441.0,449.0,432.6,441.9,-1.8,4526,1974811.9
2023-04-16,440.0,455.0,431.3,450.0,0.76,5713,2536992.1
2023-04-13,453.8,459.0,445.0,446.6,-3.54,5142,2318515.0
2023-04-12,434.0,463.0,431.5,463.0,7.67,13374,5917220.1
2023-04-11,420.0,430.0,420.0,430.0,1.9,7217,3074833.9
2023-04-10,415.2,424.5,415.0,422.0,-0.24,3270,1368935.2
2023-04-09,427.3,428.0,415.0,423.0,-2.98,5359,2238466.2
2023-04-06,428.0,439.0,425.5,436.0,0.44,6464,2790526.0
2023-04-05,430.1,438.0,430.0,434.1,-0.89,3256,1412344.8
2023-04-04,435.0,442.0,427.0,438.0,-0.9,2535,1101113.6
2023-04-03,435.1,448.9,435.1,442.0,-0.41,8789,3860578.7
2023-04-02,446.0,454.9,432.0,443.8,1.32,11320,4995130.9
2023-03-30,440.0,447.0,435.2,438.0,-0.45,3169,1394233.0
2023-03-29,430.0,440.0,429.3,440.0,0.46,6298,2737760.4
2023-03-28,425.0,440.0,424.0,438.0,3.06,3153,1360534.6
2023-03-27,420.1,425.0,416.6,425.0,1.19,1868,786155.0
2023-03-26,426.0,426.0,417.5,420.0,-1.34,753,315293.5
2023-03-23,433.1,433.1,420.1,425.7,-1.69,3287,1393504.5
2023-03-22,446.5,446.5,427.6,433.0,-1.12,4800,2071353.0
2023-03-20,431.0,439.0,423.0,437.9,1.62,4150,1791956.5
2023-03-19,434.9,434.9,425.0,430.9,0.91,4514,1924178.0
2023-03-16,430.0,430.0,413.6,427.0,-2.51,2253,949825.0
2023-03-15,414.2,438.0,406.1,438.0,3.82,11615,4794756.4
2023-03-14,420.0,425.0,415.0,421.9,0.57,3015,1268622.5
2023-03-13,425.0,425.0,413.0,419.5,-3.23,2906,1207760.5
2023-03-12,432.0,440.0,417.1,433.5,0.35,6819,2927607.5
2023-03-09,425.3,432.0,417.0,432.0,3.6,8919,3763484.9
2023-03-07,405.1,429.1,405.1,417.0,1.09,210,87165.0
2023-03-05,417.5,420.0,401.8,412.5,-2.94,6607,2716173.2
2023-03-02,430.0,430.0,418.0,425.0,-0.93,1550,651866.0
2023-03-01,428.3,429.0,421.0,429.0,-1.83,2627,1112386.5
2023-02-28,435.0,437.0,431.0,437.0,0.69,2431,1057461.0
2023-02-27,430.1,442.9,422.8,434.0,-0.91,9893,4237680.5
2023-02-26,429.5,438.0,416.0,438.0,2.34,9378,3982635.9
2023-02-23,433.3,438.0,428.0,428.0,-3.17,10618,4590200.8
2023-02-22,436.5,444.0,430.0,442.0,3.27,3464,1519746.2
2023-02-20,434.0,443.0,426.0,428.0,-1.34,7102,3084392.0
2023-02-16,438.1,440.0,431.5,433.8,-1.86,10370,4501526.5
2023-02-15,445.0,450.0,436.2,442.0,0.16,3517,1559149.7
2023-02-14,464.0,464.0,441.3,441.3,-3.01,8733,3907446.1
2023-02-12,461.0,462.0,444.0,455.0,-3.19,10205,4592969.8
2023-02-09,454.0,470.0,449.0,470.0,1.97,5972,2742622.0
2023-02-08,474.2,474.2,455.0,460.9,-0.88,12353,5713127.8
2023-02-07,451.0,469.0,445.0,465.0,4.49,20130,9210735.9
2023-02-06,447.2,453.0,436.3,445.0,1.48,5270,2332982.0
2023-02-05,445.0,450.8,434.4,438.5,-0.11,9203,4044787.0
2023-02-02,460.0,460.0,434.2,439.0,-2.88,14518,6344674.0
2023-02-01,458.0,458.0,448.9,452.0,0.22,5557,2504724.0
2023-01-31,464.0,465.0,451.0,451.0,-1.18,10515,4790850.3
2023-01-30,479.0,479.0,455.2,456.4,-2.91,15346,7093818.0
2023-01-29,465.0,480.0,462.0,470.1,-0.19,17855,8438601.8
2023-01-26,479.4,479.4,465.0,471.0,0.21,24537,11617386.9
2023-01-25,457.0,482.0,457.0,470.0,4.89,19452,9076520.9
2023-01-24,460.7,460.7,436.1,448.1,-0.86,10091,4497656.5
2023-01-23,469.2,475.0,450.9,452.0,-1.74,11249,5189601.1
2023-01-19,460.0,487.0,460.0,460.0,-1.29,15895,7394058.4
2023-01-18,467.0,481.0,465.0,466.0,-1.69,19702,9270196.8
2023-01-17,464.6,480.0,457.0,474.0,0.0,18634,8782487.2
2023-01-12,484.0,510.0,456.0,474.0,-0.21,51819,24923301.6
2023-01-10,490.0,504.0,475.0,475.0,-2.06,47574,23298624.0
2023-01-09,465.0,488.5,465.0,485.0,4.98,42705,20422008.0
2023-01-08,450.0,480.0,441.0,462.0,2.67,44069,20301117.1
2023-01-05,442.0,455.0,437.0,450.0,1.81,29492,13194355.6
2023-01-04,426.0,443.0,426.0,442.0,2.08,23115,10151386.4
2023-01-03,432.4,440.0,414.0,433.0,2.12,41998,17911445.6
2023-01-02,400.8,425.0,385.2,424.0,7.89,54284,22339265.4
2023-01-01,390.5,410.0,386.0,393.0,2.65,52289,20858599.9
2022-12-29,372.3,405.0,368.1,402.0,6.07,33991,13309772.0
2022-12-28,369.9,382.0,364.0,379.0,2.43,21092,7878745.9
2022-12-27,360.0,373.9,347.0,370.0,4.52,20741,7588290.3
2022-12-26,341.7,354.0,336.0,354.0,5.67,6173,2137765.5
2022-12-22,333.0,335.0,333.0,335.0,0.15,714,238033.0
2022-12-21,340.0,340.0,333.3,334.5,-1.33,2745,921464.5
2022-12-20,339.0,340.0,336.5,339.0,0.0,7724,2622266.0
2022-12-19,335.5,339.0,332.0,339.0,1.04,3250,1091000.0
2022-12-18,333.0,335.5,330.0,335.5,0.75,4384,1464230.0
2022-12-15,338.0,338.0,333.0,333.0,-1.48,1817,608373.1
2022-12-14,335.1,341.0,335.0,338.0,-0.38,3430,1160266.0
2022-12-13,340.0,342.9,338.5,339.3,0.59,1519,517488.0
2022-12-12,341.0,345.0,337.0,337.3,-0.5,3907,1324538.9
2022-12-11,339.0,342.0,339.0,339.0,-1.77,2089,710420.2
2022-12-07,343.2,349.8,343.0,345.1,-1.4,1875,647517.0
2022-12-06,349.0,350.0,344.9,350.0,0.29,3645,1261712.8
2022-12-05,361.0,366.0,349.0,349.0,-5.14,3694,1316957.7
2022-12-04,350.0,367.9,345.6,367.9,5.72,13321,4741085.8
2022-12-01,348.0,356.0,348.0,348.0,0.23,3911,1377991.0
2022-11-30,351.0,351.0,347.0,347.2,-2.94,1640,572299.5
2022-11-29,345.0,358.0,345.0,357.7,2.76,938,327085.1
2022-11-28,358.5,362.0,348.1,348.1,-3.01,4017,1416346.0
2022-11-27,354.0,358.9,350.1,358.9,2.98,8376,2972142.6
2022-11-24,342.0,348.8,342.0,348.5,1.9,1133,391183.4
2022-11-23,342.0,345.0,340.3,342.0,-1.44,3300,1129483.0
2022-11-22,357.7,357.7,347.0,347.0,-2.99,1320,462217.0
2022-11-17,355.0,357.7,352.1,357.7,2.2,1959,695319.9
2022-11-16,350.9,350.9,346.0,350.0,1.71,1580,548953.5
2022-11-15,352.9,357.0,344.1,344.1,-0.55,891,310810.0
2022-11-14,350.0,350.9,345.0,346.0,0.29,1819,632712.0
2022-11-13,350.0,355.0,341.9,345.0,-1.09,8063,2799615.0
2022-11-10,348.0,350.0,341.1,348.8,-1.47,3813,1310639.3
2022-11-09,368.5,368.5,345.5,354.0,-3.28,12658,4443752.2
2022-11-08,354.0,366.0,354.0,366.0,1.67,5035,1811522.5
2022-11-07,367.9,369.0,355.0,360.0,-0.28,10232,3720631.3
2022-11-06,341.4,363.0,341.4,361.0,3.74,6367,2286385.7
2022-11-03,352.0,362.0,346.3,348.0,-2.52,4220,1471276.2
2022-11-02,360.8,363.0,345.0,357.0,0.85,6380,2264494.5
2022-11-01,335.3,356.9,335.2,354.0,3.51,7440,2602332.3
2022-10-31,339.0,348.9,338.0,342.0,2.7,2990,1028795.0
2022-10-23,330.0,334.0,326.0,333.0,1.4,4265,1401153.0
2022-10-20,330.1,335.0,328.4,328.4,-1.97,8825,2907297.0
2022-10-19,340.0,340.0,333.0,335.0,-3.32,2858,955199.0
2022-10-17,336.0,346.5,333.1,346.5,1.32,1305,439903.0
2022-10-16,349.0,352.0,338.1,342.0,-3.66,3585,1228453.0
2022-10-13,355.0,355.0,350.0,355.0,0.28,1680,594090.0
2022-10-12,355.0,359.0,350.0,354.0,-0.28,2689,953542.0
2022-10-11,343.0,355.0,336.5,355.0,1.46,2969,1025485.0
2022-10-10,350.0,350.0,340.0,349.9,-1.99,4240,1474167.0
2022-10-09,346.0,357.0,345.1,357.0,3.81,1518,529113.0
2022-09-29,338.0,343.9,335.0,343.9,1.15,1380,466588.5
2022-09-28,347.0,353.8,335.0,340.0,-0.29,5218,1762313.5
2022-09-27,342.6,349.0,340.0,341.0,1.43,2579,883736.0
2022-09-25,337.0,339.0,329.3,336.2,-1.41,5757,1923899.2
2022-09-22,340.0,349.0,336.0,341.0,0.29,3524,1208587.0
2022-09-21,345.0,353.7,334.0,340.0,0.0,4065,1387190.2
2022-09-20,353.0,353.0,337.0,340.0,-3.68,4394,1511060.5
2022-09-18,360.0,363.0,351.0,353.0,-3.42,6152,2190150.5
2022-09-16,374.0,374.0,365.0,365.5,-2.77,1310,480764.0
2022-09-15,388.0,388.0,367.5,375.9,-3.49,12678,4731362.5
2022-09-14,377.0,391.5,375.0,389.5,4.31,7122,2731232.7
2022-09-13,372.8,385.0,372.8,373.4,2.16,745,283055.0
2022-09-12,370.0,370.0,365.0,365.5,-1.75,1056,386467.6
2022-09-11,375.0,377.0,372.0,372.0,-2.11,3989,1492277.9
2022-09-08,367.7,390.0,367.5,380.0,1.33,2531,957858.1
2022-09-07,383.0,383.0,369.0,375.0,-0.27,9499,3575662.0
2022-09-06,382.7,383.0,376.0,376.0,-3.69,5424,2059426.0
2022-09-05,396.5,398.9,386.1,390.4,-1.46,8942,3499127.9
2022-09-04,379.0,399.4,372.0,396.2,6.33,6758,2611774.8
2022-09-02,388.0,388.0,365.3,372.6,-2.2,4333,1610971.8
2022-09-01,366.0,391.6,365.0,381.0,2.97,10202,3850327.2
2022-08-31,369.0,375.0,366.6,370.0,-1.07,3848,1424585.7
2022-08-30,377.0,377.0,368.0,374.0,1.08,5687,2113802.0
2022-08-29,382.8,382.8,370.0,370.0,-1.6,4685,1746738.1
2022-08-28,381.0,383.0,371.5,376.0,-2.59,9697,3649167.6
2022-08-26,380.3,388.0,380.0,386.0,-0.52,6844,2615795.4
2022-08-25,395.0,397.0,385.0,388.0,-1.02,5719,2220513.4
