date,open,high,low,ltp,percent_change,qty,turnover
2023-05-08,363.6,370.0,355.0,358.0,-3.5,7451,2672153.3
2023-05-07,363.2,371.0,363.0,371.0,0.27,3168,1161573.0
2023-05-04,365.0,371.2,363.1,370.0,0.27,2234,819339.0
2023-05-03,372.0,372.0,365.1,369.0,-0.81,3642,1336687.8
2023-05-02,365.0,372.0,365.0,372.0,0.27,2186,807492.6
2023-04-30,367.0,371.0,367.0,371.0,-0.62,2040,752925.9
2023-04-27,370.1,377.5,370.1,373.3,-0.45,2573,961681.0
2023-04-26,370.0,380.0,370.0,375.0,-0.27,5500,2062311.0
2023-04-25,367.1,376.9,367.1,376.0,0.8,3640,1358805.0
2023-04-24,366.0,379.5,365.0,373.0,0.24,3643,1346130.5
2023-04-23,371.0,376.0,370.0,372.1,-1.56,4805,1784860.4
2023-04-20,383.0,383.0,378.0,378.0,-1.31,2558,972225.0
2023-04-19,380.0,390.1,380.0,383.0,-0.47,2730,1049661.0
2023-04-18,380.0,386.0,380.0,384.8,-0.05,3265,1243201.5
2023-04-17,383.0,395.0,381.2,385.0,-1.28,1897,731003.0
2023-04-16,387.1,397.0,385.0,390.0,-1.27,3572,1394910.0
2023-04-13,410.0,410.0,392.5,395.0,-1.74,6674,2673936.6
2023-04-12,370.0,408.0,370.0,402.0,6.8,9114,3625167.0
2023-04-11,370.0,382.0,370.0,376.4,0.37,5088,1922636.0
2023-04-10,370.0,379.5,370.0,375.0,0.0,4097,1531342.6
2023-04-09,377.6,380.0,374.0,375.0,-2.6,10751,4038564.5
2023-04-06,385.0,393.0,381.0,385.0,-0.08,4441,1710748.0
2023-04-05,385.0,390.0,380.0,385.3,0.08,4594,1768968.6
2023-04-04,381.2,390.0,381.0,385.0,-0.77,4451,1711533.0
2023-04-03,384.0,392.0,384.0,388.0,-0.89,8398,3251736.2
2023-04-02,393.0,397.0,391.0,391.5,-0.13,9992,3918287.0
2023-03-30,391.1,399.3,391.1,392.0,-1.01,8049,3176200.6
2023-03-29,390.0,404.9,390.0,396.0,0.0,5405,2146880.2
2023-03-28,402.0,411.0,395.0,396.0,-1.61,9465,3822950.5
2023-03-27,385.0,402.5,385.0,402.5,3.05,4463,1763622.9
2023-03-26,394.0,400.0,390.1,390.6,-1.09,4819,1895440.4
2023-03-23,399.0,401.0,389.4,394.9,-1.77,17036,6679740.8
2023-03-22,415.0,415.0,399.9,402.0,-2.66,11325,4575869.2
2023-03-20,402.3,413.0,402.2,413.0,1.18,7137,2928128.0
2023-03-19,400.0,408.2,400.0,408.2,1.24,6480,2616939.0
2023-03-16,397.1,408.0,397.1,403.2,-0.44,9401,3796331.7
2023-03-15,401.1,408.0,400.5,405.0,-0.49,11363,4581408.0
2023-03-14,401.0,410.0,400.0,407.0,0.49,6645,2682909.0
2023-03-13,405.2,409.0,402.2,405.0,-1.94,5220,2114486.3
2023-03-12,411.0,419.0,410.0,413.0,-1.2,8923,3692193.1
2023-03-09,406.0,418.9,406.0,418.0,2.7,5815,2403898.7
2023-03-07,402.0,415.1,402.0,407.0,-0.07,7785,3173744.0
2023-03-05,410.0,411.0,406.1,407.3,-1.81,7670,3134871.3
2023-03-02,413.0,417.0,410.0,414.8,-1.21,9973,4121164.1
2023-03-01,430.0,432.0,416.0,419.9,-0.97,7194,3008524.0
2023-02-28,418.0,427.0,411.6,424.0,0.98,10845,4571738.8
2023-02-27,414.0,420.0,408.0,419.9,1.43,16179,6694883.0
2023-02-26,421.0,422.0,406.0,414.0,-1.66,19999,8266414.0
2023-02-23,430.0,430.0,417.0,421.0,-2.32,16413,6905380.7
2023-02-22,413.0,433.5,413.0,431.0,3.11,9808,4199167.2
2023-02-20,432.0,432.0,417.2,418.0,-3.24,14411,6095006.5
2023-02-16,441.0,445.0,429.1,432.0,-2.04,19177,8322113.4
2023-02-15,437.1,453.9,437.1,441.0,-0.94,13727,6072902.5
2023-02-14,447.0,455.4,443.1,445.2,-2.15,10273,4605520.6
2023-02-12,469.0,469.0,451.0,455.0,-2.99,17981,8219566.7
2023-02-09,461.0,472.9,458.0,469.0,0.43,16567,7682186.6
2023-02-08,485.0,485.0,465.2,467.0,-1.89,24808,11708778.4
2023-02-07,437.1,480.0,437.1,476.0,7.21,19967,9184523.6
2023-02-06,437.0,452.5,436.0,444.0,0.0,11196,4966926.8
2023-02-05,442.0,460.0,435.1,444.0,0.23,18729,8322444.6
2023-02-02,453.0,471.0,441.0,443.0,-4.11,25226,11371268.9
2023-02-01,465.0,492.0,460.0,462.0,-2.33,15478,7220419.0
2023-01-31,487.6,525.9,473.0,473.0,-1.07,98181,48485953.1
2022-05-12,561.0,570.9,516.0,521.0,-6.96,69504,36948899.6
2022-05-11,545.0,560.0,525.0,560.0,4.67,13165,7097893.9
