date,open,high,low,ltp,percent_change,qty,turnover
2018-07-10,251.0,251.0,231.0,231.0,-9.77,427,103412.0
2018-07-09,251.0,251.0,251.0,251.0,-1.95,2,502.0
2017-04-06,343.0,337.0,318.0,318.0,0.0,3602,1162168.0
2017-04-04,350.0,343.0,331.0,343.0,0.0,510,172230.0
2017-04-03,353.0,371.0,350.0,350.0,0.0,927,329758.0
2017-04-02,335.0,353.0,341.0,353.0,0.0,30,10410.0
2017-03-30,340.0,338.0,325.0,335.0,0.0,4758,1578231.0
2017-03-29,324.0,335.0,315.0,340.0,0.0,9922,3194561.0
2017-03-28,312.0,324.0,318.0,324.0,0.0,713,229162.0
2017-03-26,296.0,312.0,300.0,312.0,0.0,3990,1213134.0
2017-03-23,291.0,296.0,290.0,296.0,0.0,920,270676.0
2017-03-22,280.0,306.0,280.0,291.0,0.0,2591,764886.0
2017-03-21,265.0,280.0,265.0,280.0,0.0,2780,756910.0
2017-03-20,255.0,275.0,260.0,265.0,0.0,1998,539432.0
2017-03-19,250.0,255.0,250.0,255.0,0.0,471,117890.0
2017-03-16,267.0,262.0,250.0,250.0,0.0,2368,601968.0
2017-03-13,272.0,267.0,267.0,267.0,0.0,31,8277.0
2017-03-09,277.0,277.0,272.0,272.0,0.0,40,10980.0
2017-03-07,277.0,272.0,272.0,272.0,0.0,3,816.0
2017-03-06,272.0,277.0,277.0,277.0,0.0,50,13850.0
2017-03-05,263.0,272.0,268.0,272.0,0.0,785,210720.0
2017-03-02,258.0,263.0,253.0,263.0,0.0,764,197762.0
2017-03-01,245.0,258.0,249.0,258.0,0.0,990,252720.0
2017-02-28,250.0,245.0,245.0,245.0,0.0,11,2695.0
2017-02-26,260.0,255.0,250.0,250.0,0.0,670,167900.0
2017-02-23,265.0,265.0,260.0,260.0,0.0,900,236500.0
2017-02-22,270.0,265.0,260.0,265.0,0.0,875,231125.0
2017-02-21,285.0,280.0,270.0,270.0,0.0,300,82500.0
2017-02-20,280.0,289.0,285.0,285.0,0.0,550,157450.0
2017-02-19,281.0,280.0,280.0,280.0,0.0,500,140000.0
2017-02-16,271.0,286.0,276.0,281.0,0.0,143,40158.0
2017-02-15,248.0,271.0,248.0,271.0,0.0,966,253706.0
2017-02-14,237.0,253.0,241.0,248.0,0.0,100,24690.0
2017-02-13,245.0,241.0,229.0,237.0,0.0,728,170692.0
2017-02-12,260.0,255.0,245.0,245.0,0.0,170,42000.0
2017-02-09,265.0,260.0,260.0,260.0,0.0,315,81900.0
2017-02-08,272.0,275.0,265.0,265.0,0.0,560,149960.0
2017-02-07,270.0,272.0,265.0,272.0,0.0,700,189906.0
2017-02-06,280.0,275.0,270.0,270.0,0.0,300,82000.0
2017-02-05,285.0,280.0,280.0,280.0,0.0,300,84000.0
2017-02-02,290.0,290.0,280.0,285.0,0.0,2120,605560.0
2017-02-01,289.0,291.0,286.0,290.0,0.0,421,121711.0
2017-01-31,294.0,289.0,289.0,289.0,0.0,220,63580.0
2017-01-26,279.0,294.0,284.0,294.0,0.0,50,14400.0
2017-01-25,290.0,295.0,279.0,279.0,0.0,521,147259.0
2017-01-24,295.0,290.0,290.0,290.0,0.0,501,145290.0
2017-01-23,287.0,297.0,292.0,295.0,0.0,550,162350.0
2017-01-22,284.0,287.0,281.0,287.0,0.0,1745,493145.0
2017-01-19,273.0,286.0,273.0,284.0,0.0,717,199936.0
2017-01-18,275.0,278.0,272.0,273.0,0.0,208,56827.0
2017-01-17,275.0,277.0,270.0,275.0,0.0,936,255897.0
2017-01-16,285.0,281.0,275.0,275.0,0.0,758,209750.0
2017-01-15,290.0,285.0,285.0,285.0,0.0,100,28500.0
2017-01-11,285.0,290.0,285.0,290.0,0.0,166,47810.0
2017-01-10,280.0,290.0,280.0,285.0,0.0,665,189478.0
2017-01-09,280.0,280.0,280.0,280.0,0.0,193,54040.0
