date,open,high,low,ltp,percent_change,qty,turnover
2021-08-31,1630.0,1650.0,1600.0,1609.0,-1.89,6296,10167370.1
2021-08-29,1670.0,1670.0,1636.0,1640.0,-1.2,3565,5880398.4
2021-08-26,1671.0,1706.0,1660.0,1660.0,-1.48,4964,8347391.7
2021-08-25,1690.0,1700.0,1660.0,1684.9,-0.65,5422,9098455.5
2021-08-24,1695.0,1725.0,1695.0,1696.0,-1.11,5439,9286310.6
2021-08-19,1700.0,1740.0,1700.0,1715.0,-0.12,6073,10490238.9
2021-08-18,1700.0,1750.0,1695.0,1717.0,-0.46,8426,14461865.8
2021-08-17,1760.0,1760.0,1711.0,1725.0,-1.43,6043,10425153.8
2021-08-16,1780.0,1812.0,1750.0,1750.0,-1.49,5524,9722997.3
2021-08-15,1740.0,1803.0,1721.0,1776.5,2.39,10252,18001076.7
2021-08-12,1765.0,1765.0,1730.0,1735.0,-0.57,6421,11164688.7
2021-08-11,1769.0,1771.0,1730.0,1745.0,-1.31,6153,10748059.0
2021-08-10,1720.0,1795.0,1705.2,1768.2,1.62,7752,13632730.0
2021-08-09,1743.0,1749.0,1730.0,1740.0,-0.85,4181,7273491.1
2021-08-08,1800.0,1800.0,1740.0,1755.0,-2.5,11546,20283874.6
2021-08-05,1890.0,1890.0,1795.0,1800.0,-3.07,17225,31223070.9
2021-08-04,1887.0,2000.0,1855.0,1857.0,0.38,41925,79475144.4
2021-08-03,1759.5,1850.0,1745.1,1850.0,7.25,45066,81480506.7
2021-08-02,1708.5,1776.8,1702.0,1725.0,2.99,30198,52203186.4
2021-08-01,1707.0,1710.0,1672.0,1675.0,0.06,4118,6955321.0
2021-07-29,1681.0,1690.0,1665.1,1674.0,0.06,3774,6315592.4
2021-07-28,1665.0,1680.0,1665.0,1673.0,0.45,3229,5405587.5
2021-07-27,1670.9,1699.5,1635.0,1665.5,-2.32,9285,15472537.6
2021-07-26,1685.0,1720.0,1685.0,1705.0,1.85,16483,28086259.4
2021-07-25,1695.0,1701.0,1668.1,1674.0,0.36,7743,13041135.5
2021-07-22,1690.0,1695.0,1668.0,1668.0,-1.13,4306,7254887.0
2021-07-20,1675.0,1700.0,1667.0,1687.0,-0.24,2516,4235112.0
2021-07-19,1680.0,1728.0,1680.0,1691.0,0.96,11396,19465842.0
2021-07-18,1630.0,1675.0,1630.0,1674.9,3.39,8473,14090915.0
2021-07-15,1610.0,1621.0,1598.0,1620.0,0.62,3515,5679966.0
2021-07-14,1600.0,1640.0,1600.0,1610.0,-0.74,3075,4964006.0
2021-07-13,1610.0,1640.0,1610.0,1622.0,0.75,2716,4414126.0
2021-07-12,1641.0,1672.0,1597.0,1610.0,-1.83,7438,12127315.0
2021-07-11,1610.0,1641.0,1610.0,1640.0,3.34,8651,14100336.0
2021-07-08,1540.0,1588.0,1540.0,1587.0,1.73,4295,6767233.0
2021-07-07,1550.0,1570.0,1532.0,1560.0,-0.64,4198,6481067.0
2021-07-06,1536.0,1570.0,1536.0,1570.0,1.95,2783,4346539.0
2021-07-05,1552.0,1560.0,1533.0,1540.0,-0.77,2747,4253700.0
2021-07-04,1584.0,1590.0,1551.0,1552.0,-1.65,3833,6006606.0
2021-07-01,1586.0,1591.0,1576.0,1578.0,-0.32,3217,5093466.0
2021-06-30,1582.0,1608.0,1561.0,1583.0,-0.44,4472,7023166.0
2021-06-29,1608.0,1640.0,1590.0,1590.0,0.82,7526,12125463.0
2021-06-28,1596.0,1620.0,1550.0,1577.0,0.77,7420,11769241.0
2021-06-27,1541.0,1649.0,1540.0,1565.0,0.97,4191,6531537.0
2021-06-24,1565.0,1568.0,1540.0,1550.0,-1.34,5900,9162381.0
2021-06-23,1625.0,1625.0,1569.0,1571.0,-2.12,4832,7656421.0
2021-06-22,1620.0,1620.0,1590.0,1605.0,0.94,5130,8204005.0
2021-06-21,1627.0,1657.0,1586.0,1590.0,-2.21,8495,13639523.0
2021-06-20,1685.0,1685.0,1620.0,1626.0,-1.69,13334,22048805.0
2021-06-17,1693.0,1693.0,1640.0,1654.0,-0.36,5842,9639092.0
2021-06-16,1610.0,1730.0,1610.0,1660.0,3.3,19457,32267624.0
2021-06-15,1611.0,1628.0,1607.0,1607.0,-0.74,8404,13565161.0
2021-06-14,1700.0,1700.0,1605.0,1619.0,-0.06,6725,10865716.0
2021-06-13,1640.0,1700.0,1616.0,1620.0,-0.06,7840,12768098.0
2021-06-10,1622.0,1630.0,1610.0,1621.0,-0.06,9325,15082254.0
2021-06-09,1649.0,1655.0,1619.0,1622.0,-0.18,7443,12123695.0
2021-06-08,1650.0,1650.0,1610.0,1625.0,-0.18,7618,12319718.0
2021-06-07,1643.0,1650.0,1628.0,1628.0,-0.91,4196,6862331.0
2021-06-06,1670.0,1677.0,1630.0,1643.0,-0.12,6025,9921576.0
2021-06-03,1630.0,1660.0,1630.0,1645.0,0.8,6745,11116180.0
2021-06-02,1658.0,1658.0,1612.0,1632.0,0.37,6053,9842213.0
2021-06-01,1600.0,1645.0,1600.0,1626.0,0.56,6634,10775490.0
2021-05-31,1615.0,1652.0,1610.0,1617.0,-1.1,10670,17386739.0
2021-05-30,1651.0,1680.0,1625.0,1635.0,0.06,13302,21779830.0
2021-05-27,1622.0,1700.0,1580.0,1634.0,-4.28,29205,47911121.0
2021-05-25,1710.0,1720.0,1706.0,1707.0,-0.18,4317,7387586.0
2021-05-24,1744.0,1744.0,1699.0,1710.0,0.0,7657,13106355.0
2021-05-23,1690.0,1720.0,1690.0,1710.0,-0.06,7117,12202722.0
2021-05-20,1730.0,1735.0,1705.0,1711.0,-1.04,6425,11022241.0
2021-05-19,1760.0,1764.0,1715.0,1729.0,-1.31,8898,15478291.0
2021-05-18,1715.0,1752.0,1711.0,1752.0,2.22,16655,28892629.0
2021-05-17,1721.0,1748.0,1710.0,1714.0,-0.17,4873,8376716.0
2021-05-16,1724.0,1750.0,1700.0,1717.0,1.36,5440,9315140.0
2021-05-13,1700.0,1719.0,1690.0,1694.0,0.0,4781,8128786.0
2021-05-12,1712.0,1739.0,1690.0,1694.0,-0.94,4376,7441225.0
2021-05-11,1616.0,1729.0,1616.0,1710.0,0.65,5670,9700933.0
2021-05-10,1661.0,1709.0,1661.0,1699.0,0.77,5411,9163603.0
2021-05-09,1680.0,1700.0,1680.0,1686.0,-1.58,3575,6039434.0
2021-05-06,1736.0,1736.0,1706.0,1713.0,-1.32,8660,14854792.0
2021-05-05,1740.0,1786.0,1706.0,1736.0,0.99,22108,38690637.0
2021-05-04,1680.0,1732.0,1670.0,1719.0,1.72,16000,27367668.0
2021-05-03,1700.0,1732.0,1681.0,1690.0,-0.53,8481,14448449.0
2021-05-02,1680.0,1712.0,1670.0,1699.0,1.49,14678,24782871.0
2021-04-29,1657.0,1680.0,1638.0,1674.0,1.76,8861,14762090.0
2021-04-28,1774.0,1774.0,1644.0,1645.0,-2.66,10550,17512325.0
