date,sn,contract_no,stock_symbol,buyer,seller,quantity,rate,amount
2026-06-01,1,2026060105019856,BBC,44,54,10,"4,515.00","45,150.00"
2026-06-01,2,2026060105019733,BBC,62,34,10,"4,560.00","45,600.00"
2026-06-01,3,2026060105019670,BBC,44,59,10,"4,515.00","45,150.00"
2026-06-01,4,2026060105019669,BBC,35,59,10,"4,515.10","45,151.00"
2026-06-01,5,2026060105019793,BEDC,34,1,20,368.90,"7,378.00"
2026-06-01,6,2026060105019777,BHDC,48,34,10,463.90,"4,639.00"
2026-06-01,7,2026060105019719,BHDC,57,48,100,460.00,"46,000.00"
2026-06-01,8,2026060105019675,BHDC,57,45,70,460.00,"32,200.00"
2026-06-01,9,2026060105019602,BHDC,39,45,10,460.00,"4,600.00"
2026-06-01,10,2026060105019415,BHDC,34,34,431,463.90,"199,940.90"
2026-06-01,11,2026060105019805,BHL,57,17,215,222.00,"47,730.00"
2026-06-01,12,2026060105019758,BHL,48,34,225,221.60,"49,860.00"
2026-06-01,13,2026060105019757,BHL,48,17,300,221.60,"66,480.00"
2026-06-01,14,2026060105019736,BHL,17,33,343,221.50,"75,974.50"
2026-06-01,15,2026060105019666,BHL,49,33,22,221.60,"4,875.20"
2026-06-01,16,2026060105019643,BHL,58,33,100,221.60,"22,160.00"
2026-06-01,17,2026060105019371,BHL,45,42,35,221.90,"7,766.50"
2026-06-01,18,2026060105019559,BHL,8,38,"2,050",222.00,"455,100.00"
2026-06-01,19,2026060105019558,BHL,8,52,223,222.00,"49,506.00"
2026-06-01,20,2026060105019557,BHL,8,59,150,221.90,"33,285.00"
2026-06-01,21,2026060105019374,BHL,35,42,65,221.60,"14,404.00"
2026-06-01,22,2026060105019373,BHL,16,42,300,221.60,"66,480.00"
2026-06-01,23,2026060105019372,BHL,49,42,600,221.70,"133,020.00"
2026-06-01,24,2026060105019627,BHL,17,33,35,221.60,"7,756.00"
2026-06-01,25,2026060105019625,BHL,17,14,50,221.60,"11,080.00"
2026-06-01,26,2026060105019623,BHL,17,87,"1,415",221.60,"313,564.00"
2026-06-01,27,2026060105019622,BHL,35,87,35,221.60,"7,756.00"
2026-06-01,28,2026060105019562,BHL,13,17,440,222.00,"97,680.00"
2026-06-01,29,2026060105019560,BHL,8,17,"1,118",222.00,"248,196.00"
2026-06-01,30,2026060105019760,BHPL,57,16,65,523.30,"34,014.50"
2026-06-01,31,2026060105019759,BHPL,59,16,35,523.50,"18,322.50"
2026-06-01,32,2026060105019651,BHPL,59,49,115,523.50,"60,202.50"
2026-06-01,33,2026060105019650,BHPL,56,49,100,523.50,"52,350.00"
2026-06-01,34,2026060105019649,BHPL,57,49,185,523.60,"96,866.00"
2026-06-01,35,2026060105019826,CHDC,28,6,20,"2,285.00","45,700.00"
2026-06-01,36,2026060105019825,CHDC,28,25,50,"2,285.00","114,250.00"
2026-06-01,37,2026060105019824,CHDC,28,34,10,"2,284.90","22,849.00"
2026-06-01,38,2026060105019823,CHDC,28,39,10,"2,284.00","22,840.00"
2026-06-01,39,2026060105019822,CHDC,28,26,10,"2,279.90","22,799.00"
2026-06-01,40,2026060105019755,CHDC,69,26,90,"2,280.00","205,200.00"
2026-06-01,41,2026060105019709,CHDC,69,58,10,"2,280.00","22,800.00"
2026-06-01,42,2026060105019459,CHDC,5,6,30,"2,280.00","68,400.00"
2026-06-01,43,2026060105019748,CIT,26,36,10,"1,778.70","17,787.00"
2026-06-01,44,2026060105019682,CIT,43,45,7,"1,772.00","12,404.00"
2026-06-01,45,2026060105019457,CIT,58,19,25,"1,777.00","44,425.00"
2026-06-01,46,2026060105019456,CIT,45,19,10,"1,777.00","17,770.00"
2026-06-01,47,2026060105019659,CKHL,29,49,10,675.00,"6,750.00"
2026-06-01,48,2026060105019847,CLI,1,8,484,455.00,"220,220.00"
2026-06-01,49,2026060105019744,CLI,29,8,16,455.00,"7,280.00"
2026-06-01,50,2026060105019743,CLI,29,58,14,454.90,"6,368.60"
2026-06-01,51,2026060105019596,CMF2,54,22,200,9.91,"1,982.00"
2026-06-01,52,2026060105019852,DOLTI,49,18,10,349.90,"3,499.00"
2026-06-01,53,2026060105019840,DOLTI,86,18,10,349.90,"3,499.00"
2026-06-01,54,2026060105019812,DOLTI,85,18,10,349.90,"3,499.00"
2026-06-01,55,2026060105019774,DOLTI,50,8,15,347.70,"5,215.50"
2026-06-01,56,2026060105019773,DOLTI,34,8,90,347.80,"31,302.00"
2026-06-01,57,2026060105019772,DOLTI,48,8,100,348.00,"34,800.00"
