open,high,low,close,percent_change,turnover,date
6105.59,6214.0,6083.01,6102.94,0.44,29232500.0,2018-01-01
6199.45,6243.03,6120.55,6125.34,-1.2,17945200.0,2018-07-17
6125.34,6152.67,6044.83,6057.69,-1.1,22292000.0,2018-07-18
6057.69,6080.65,6007.91,6014.14,-0.72,10738100.0,2018-07-19
6014.14,6014.14,5928.55,5943.86,-1.17,11557500.0,2018-07-22
5943.86,6004.85,5932.42,5998.72,0.92,9386720.0,2018-07-23
5998.72,6113.7,5998.72,6019.33,0.34,12392500.0,2018-07-24
5998.72,6027.27,5977.18,5991.26,-0.47,8889700.0,2018-07-25
5991.26,5991.26,5931.97,5942.18,-0.82,16015900.0,2018-07-26
5942.18,6003.94,5942.18,5994.85,0.89,13861800.0,2018-07-29
5994.85,5995.22,5957.79,5974.34,-0.34,9139680.0,2018-07-30
5974.34,5988.08,5925.94,5946.73,-0.46,11022800.0,2018-07-31
5946.73,5978.35,5938.69,5975.57,0.48,18292400.0,2018-08-01
5975.57,5979.98,5944.31,5949.51,-0.44,21869700.0,2018-08-02
5949.51,5980.02,5938.07,5953.15,0.06,6305470.0,2018-08-05
5953.15,5999.06,5920.53,5936.42,-0.28,11295500.0,2018-08-06
5936.42,5952.45,5892.71,5896.59,-0.67,13504300.0,2018-08-07
5896.59,5911.67,5867.24,5874.23,-0.38,10895400.0,2018-08-08
5874.23,5880.49,5761.36,5771.4,-1.75,32264700.0,2018-08-09
5771.4,5806.14,5559.18,5578.03,-3.35,56106200.0,2018-08-12
5578.03,5699.83,5495.62,5688.88,1.99,19875400.0,2018-08-13
5688.88,5714.6,5644.97,5701.89,0.23,17908600.0,2018-08-14
5701.89,5834.25,5686.8,5831.71,2.28,21230900.0,2018-08-15
5831.71,5882.06,5779.91,5801.84,-0.51,23963400.0,2018-08-16
5801.84,5823.85,5716.26,5736.98,-1.12,15601600.0,2018-08-19
5736.98,5725.54,5646.71,5661.78,-1.31,17331900.0,2018-08-20
5736.98,5681.04,5633.97,5661.27,-0.01,8623810.0,2018-08-21
5661.27,5661.27,5593.19,5604.67,-1.0,10402800.0,2018-08-22
5604.67,5604.83,5566.03,5566.03,-0.69,20766500.0,2018-08-23
5566.03,5586.68,5533.98,5564.15,-0.03,9449080.0,2018-08-26
5564.15,5579.95,5522.23,5533.12,-0.56,23195700.0,2018-08-28
5533.12,5542.27,5493.61,5494.94,-0.69,19386700.0,2018-08-29
5494.94,5527.7,5476.63,5521.15,0.48,21388400.0,2018-08-30
5521.15,5539.19,5494.8,5520.07,-0.02,36113800.0,2018-09-02
5520.07,5682.87,5508.33,5592.55,1.31,123288000.0,2018-09-03
5592.55,5629.26,5553.21,5592.01,-0.01,38702500.0,2018-09-04
5592.01,5734.22,5598.88,5687.2,1.7,42622700.0,2018-09-05
5592.01,5725.61,5607.65,5648.38,-0.68,36593600.0,2018-09-06
5648.38,5648.38,5566.39,5580.96,-1.19,16396400.0,2018-09-09
5580.96,5598.59,5558.0,5560.78,-0.36,11813700.0,2018-09-10
5560.78,5611.85,5560.78,5579.41,0.34,17048800.0,2018-09-11
5579.41,5613.7,5561.63,5583.39,0.07,8160810.0,2018-09-12
5583.39,5619.35,5568.77,5572.21,-0.2,22476800.0,2018-09-13
5572.21,5694.84,5572.21,5620.71,0.87,25784900.0,2018-09-16
5572.21,5807.0,5612.69,5740.44,2.13,30367900.0,2018-09-17
5740.44,5802.22,5713.99,5760.05,0.34,42091500.0,2018-09-18
5760.05,5765.13,5680.24,5680.24,-1.39,16899700.0,2018-09-20
5760.05,5680.24,5630.58,5656.77,-0.41,19198600.0,2018-09-23
5656.77,5706.77,5662.85,5694.13,0.66,25449200.0,2018-09-25
5694.13,5748.59,5697.85,5724.61,0.54,40761000.0,2018-09-26
5724.61,5740.63,5684.38,5695.54,-0.51,26429300.0,2018-09-27
5695.54,5734.39,5668.15,5676.53,-0.33,19893300.0,2018-09-30
5676.53,5691.95,5597.97,5597.97,-1.38,21224800.0,2018-10-01
5597.97,5644.78,5594.83,5612.59,0.26,25625400.0,2018-10-02
5612.59,5612.59,5568.45,5575.14,-0.67,26595400.0,2018-10-03
5575.14,5600.6,5545.74,5575.69,0.01,27647500.0,2018-10-04
5575.69,5587.14,5514.91,5521.4,-0.97,28480400.0,2018-10-07
5521.4,5556.82,5492.87,5516.69,-0.09,20615000.0,2018-10-08
5516.69,5547.72,5498.06,5498.06,-0.34,18413800.0,2018-10-09
5498.06,5501.82,5475.17,5496.88,-0.02,9722790.0,2018-10-10
5496.88,5522.77,5460.57,5504.65,0.14,18015300.0,2018-10-11
5504.65,5567.83,5508.98,5562.14,1.04,5752780.0,2018-10-14
5562.14,5583.1,5532.46,5564.78,0.05,6743700.0,2018-10-15
5564.78,5599.48,5564.78,5599.48,0.62,1591960.0,2018-10-21
5599.48,5602.25,5559.87,5580.72,-0.34,7393980.0,2018-10-22
5580.72,5581.19,5544.22,5549.09,-0.57,10411300.0,2018-10-23
5549.09,5590.91,5544.69,5575.46,0.48,11630900.0,2018-10-24
5575.46,5575.7,5553.17,5563.07,-0.22,10893600.0,2018-10-25
5563.07,5563.07,5503.78,5521.47,-0.75,13668500.0,2018-10-28
5521.47,5525.71,5493.27,5509.5,-0.22,17183100.0,2018-10-29
5509.5,5551.24,5503.28,5533.17,0.43,31016100.0,2018-10-30
5533.17,5548.29,5495.05,5532.93,0.0,14786200.0,2018-10-31
5532.93,5555.44,5507.33,5546.25,0.24,28494600.0,2018-11-01
5546.25,5539.3,5447.28,5458.73,-1.58,55830800.0,2018-11-04
5458.73,5528.07,5439.28,5508.35,0.91,13672500.0,2018-11-05
5468.33,5468.33,5468.33,5468.33,0.73,717531.0,2018-11-06
5483.5,5489.08,5423.32,5439.22,-0.53,2513590.0,2018-11-11
5436.43,5436.43,5345.22,5348.69,-1.66,7552020.0,2018-11-12
5350.98,5435.92,5334.16,5432.82,1.57,11711900.0,2018-11-13
5433.52,5433.93,5376.96,5432.82,1.57,8055210.0,2018-11-14
5427.13,5463.58,5415.35,5421.83,-0.2,8727530.0,2018-11-15
5422.42,5422.42,5371.32,5372.84,-0.9,12050100.0,2018-11-18
5361.39,5386.12,5340.07,5342.38,-0.57,10363200.0,2018-11-19
5342.97,5354.1,5303.84,5318.52,-0.45,7804790.0,2018-11-20
5311.65,5350.78,5296.94,5350.69,0.6,15150400.0,2018-11-21
5343.83,5355.27,5316.24,5315.27,-0.66,8012190.0,2018-11-22
5314.04,5315.15,5270.87,5272.95,-0.8,11067700.0,2018-11-25
5273.32,5273.32,5203.61,5204.92,-1.29,24981400.0,2018-11-26
5205.08,5243.93,5191.96,5202.57,-0.05,17839100.0,2018-11-27
5202.58,5210.64,5179.82,5189.12,-0.26,19844500.0,2018-11-28
5188.93,5189.29,5128.71,5141.36,-0.92,33202800.0,2018-11-29
5112.75,5119.04,5014.84,5029.96,-2.17,49605700.0,2018-12-02
5013.94,5102.86,4997.51,5043.54,0.27,25356700.0,2018-12-03
5036.64,5080.26,5033.71,5063.54,0.4,22795800.0,2018-12-04
5062.62,5062.62,4967.53,4967.53,-1.9,29128400.0,2018-12-05
4928.62,5015.82,4923.9,5011.6,0.89,17595200.0,2018-12-06
5025.34,5025.34,4992.23,5018.24,0.13,16414000.0,2018-12-09
5004.51,5119.66,5004.51,5116.94,1.97,25123300.0,2018-12-10
5084.89,5124.98,5084.89,5091.21,-0.5,23554800.0,2018-12-11
5086.63,5114.85,5077.13,5114.85,0.46,17917700.0,2018-12-12
5107.42,5161.17,5091.3,5145.13,0.59,14835600.0,2018-12-13
5141.2,5287.22,5141.2,5278.5,2.59,20695400.0,2018-12-16
5281.28,5484.34,5281.28,5474.46,3.71,25810800.0,2018-12-17
5476.31,5540.74,5391.4,5424.52,-0.91,38687400.0,2018-12-18
5417.98,5445.92,5325.13,5387.97,-0.67,49107000.0,2018-12-19
5401.06,5434.85,5379.79,5407.48,0.36,26530700.0,2018-12-20
5450.97,5676.21,5450.97,5654.81,4.57,60441500.0,2018-12-23
5667.19,5818.65,5586.59,5723.09,1.21,112870000.0,2018-12-24
