open,high,low,close,percent_change,turnover,date
9.92,9.92,9.92,9.92,0.81,1169600.0,2019-05-12
9.92,10.02,9.91,10.02,1.01,326230.0,2019-05-13
10.11,10.13,10.1,10.12,1.0,933407.0,2019-05-14
10.13,10.15,10.07,10.08,-0.4,2025380.0,2019-05-15
10.08,10.11,10.08,10.09,0.1,1322850.0,2019-05-16
10.09,10.12,10.07,10.12,0.0,1921820.0,2019-05-19
10.11,10.11,9.87,9.93,-1.88,1664870.0,2019-05-20
9.92,10.01,9.9,9.98,0.5,2614620.0,2019-05-21
9.98,9.98,9.76,9.78,-2.0,1125890.0,2019-05-22
9.77,9.82,9.77,9.8,0.2,824864.0,2019-05-23
9.8,9.82,9.77,9.78,-0.2,991917.0,2019-05-26
9.27,9.69,9.27,9.69,-0.92,1780660.0,2019-05-27
9.7,9.86,9.67,9.86,1.75,1071340.0,2019-05-28
9.85,9.9,9.82,9.9,-0.41,1462880.0,2019-05-29
9.9,10.05,9.9,9.97,0.71,3407150.0,2019-05-30
9.97,9.97,9.96,9.97,0.0,379114.0,2019-06-02
9.96,9.96,9.82,9.83,-1.4,1160210.0,2019-06-03
9.82,9.82,9.73,9.8,-0.31,1330830.0,2019-06-04
9.79,9.81,9.79,9.81,0.1,682552.0,2019-06-06
9.79,9.9,9.78,9.88,0.71,1239490.0,2019-06-10
9.88,9.92,9.88,9.88,0.0,371856.0,2019-06-11
9.9,9.9,9.73,9.73,-1.52,1083220.0,2019-06-12
9.73,9.74,9.73,9.73,0.0,206943.0,2019-06-13
9.71,9.71,9.69,9.69,-0.41,728894.0,2019-06-16
9.7,9.7,9.66,9.7,0.1,1252100.0,2019-06-17
9.69,9.71,9.61,9.62,-0.82,1489610.0,2019-06-18
9.63,9.63,9.59,9.59,-0.31,525326.0,2019-06-19
9.59,9.62,9.59,9.61,0.21,1083820.0,2019-06-20
9.62,9.69,9.62,9.64,0.31,479847.0,2019-06-23
9.64,9.64,9.6,9.61,-0.31,1133740.0,2019-06-24
9.61,9.61,9.59,9.6,-0.1,490906.0,2019-06-25
9.59,9.62,9.58,9.62,0.21,405248.0,2019-06-26
9.64,9.64,9.54,9.61,-0.1,776254.0,2019-06-27
9.6,9.61,9.55,9.58,-0.31,1033330.0,2019-06-30
9.58,9.58,9.51,9.51,-0.73,846900.0,2019-07-01
9.5,9.6,9.45,9.59,0.84,432264.0,2019-07-02
9.59,9.65,9.59,9.65,0.63,801122.0,2019-07-03
9.65,9.65,9.62,9.62,-0.31,72932800.0,2019-07-04
9.62,9.64,9.57,9.63,0.1,1248100.0,2019-07-07
9.63,9.68,9.61,9.68,0.52,4636810.0,2019-07-08
9.69,9.78,9.67,9.67,-0.1,476321.0,2019-07-09
9.67,9.67,9.56,9.56,-1.14,920010.0,2019-07-10
9.55,9.55,9.47,9.49,-0.73,1692250.0,2019-07-11
9.54,9.54,9.51,9.52,0.32,631768.0,2019-07-14
9.53,9.65,9.53,9.65,1.37,18716000.0,2019-07-15
9.68,10.13,9.68,10.13,4.97,9707520.0,2019-07-16
10.12,10.13,10.1,10.13,0.0,684038.0,2019-07-17
10.13,10.14,10.11,10.12,-0.1,756216.0,2019-07-18
10.12,10.12,10.09,10.09,-0.3,1980370.0,2019-07-21
9.99,10.0,9.9,9.9,-1.88,1571350.0,2019-07-22
9.91,9.97,9.88,9.91,0.1,3350360.0,2019-07-23
9.91,10.0,9.89,10.0,0.91,698411.0,2019-07-24
10.0,10.01,9.88,9.89,-1.1,4625990.0,2019-07-25
9.9,10.13,9.9,10.05,1.62,4876290.0,2019-07-28
10.05,10.09,10.0,10.05,0.0,2158620.0,2019-07-29
10.04,10.05,9.97,10.03,-0.2,1060680.0,2019-07-30
10.02,10.14,10.01,10.11,0.8,2573440.0,2019-07-31
10.12,10.14,10.07,10.08,-0.3,5332140.0,2019-08-01
10.08,10.1,9.98,9.98,-0.99,747116.0,2019-08-04
10.07,10.09,9.99,10.09,1.1,2558100.0,2019-08-05
10.09,10.1,10.0,10.0,-0.89,1754730.0,2019-08-06
10.0,10.01,9.96,9.96,-0.4,871677.0,2019-08-07
9.96,9.97,9.93,9.94,-0.2,1408860.0,2019-08-08
9.94,9.97,9.92,9.96,0.2,1171650.0,2019-08-11
9.96,10.02,9.93,10.0,0.4,7026490.0,2019-08-12
10.02,10.02,10.0,10.0,0.0,447346.0,2019-08-13
10.01,10.01,9.94,9.96,-0.4,1333160.0,2019-08-14
9.96,9.96,9.95,9.96,0.0,474706.0,2019-08-15
9.95,9.97,9.9,9.9,-0.6,309419.0,2019-08-18
9.89,9.92,9.81,9.91,0.1,804267.0,2019-08-19
9.92,9.95,9.92,9.95,0.4,1484720.0,2019-08-20
9.94,9.94,9.92,9.92,-0.3,2189730.0,2019-08-21
9.92,9.94,9.89,9.9,-0.2,1059020.0,2019-08-22
9.89,9.89,9.84,9.88,-0.2,2025470.0,2019-08-25
9.89,9.89,9.82,9.82,-0.61,709882.0,2019-08-26
9.81,9.88,9.81,9.82,0.0,721622.0,2019-08-27
9.83,9.83,9.78,9.79,-0.31,509975.0,2019-08-28
9.79,9.79,9.74,9.78,-0.1,692167.0,2019-08-29
9.78,9.78,9.68,9.7,-0.82,1380700.0,2019-09-01
9.69,9.69,9.63,9.63,-0.72,405162.0,2019-09-02
9.63,9.63,9.6,9.63,0.0,907410.0,2019-09-03
9.63,9.72,9.6,9.72,0.93,400645.0,2019-09-04
9.72,9.74,9.69,9.73,0.1,231477.0,2019-09-05
9.71,9.73,9.68,9.68,-0.51,486636.0,2019-09-08
9.67,9.67,9.54,9.56,-1.24,862033.0,2019-09-09
9.55,9.6,9.55,9.6,0.42,1625340.0,2019-09-10
9.6,9.67,9.58,9.62,0.21,1915930.0,2019-09-11
9.62,9.62,9.52,9.55,-0.73,507815.0,2019-09-12
9.54,9.54,9.43,9.46,-0.94,860253.0,2019-09-15
9.39,9.39,9.34,9.39,-0.74,646040.0,2019-09-16
9.38,9.4,9.36,9.39,0.0,574089.0,2019-09-17
9.38,9.4,9.38,9.38,-0.11,992709.0,2019-09-18
9.4,9.42,9.4,9.42,0.43,42605.3,2019-09-19
9.42,9.42,9.39,9.39,-0.32,429775.0,2019-09-22
9.38,9.38,9.33,9.33,-0.64,800029.0,2019-09-23
9.33,9.38,9.31,9.37,0.43,585434.0,2019-09-24
9.28,9.28,9.27,9.27,-1.07,1114610.0,2019-09-25
9.26,9.36,9.25,9.36,0.97,439691.0,2019-09-26
9.34,9.35,9.34,9.34,-0.21,109214.0,2019-09-29
9.34,9.35,9.34,9.34,0.0,50373.0,2019-09-30
9.34,9.34,9.33,9.33,-0.11,920432.0,2019-10-01
9.29,9.38,9.28,9.38,0.54,143269.0,2019-10-02
9.38,9.39,9.38,9.39,0.11,61998.4,2019-10-03
9.39,9.39,9.39,9.39,0.0,14042.0,2019-10-10
9.39,9.4,9.38,9.4,0.11,124080.0,2019-10-14
9.4,9.41,9.4,9.4,0.0,148334.0,2019-10-15
9.39,9.42,9.36,9.41,0.11,707624.0,2019-10-16
9.41,9.51,9.41,9.51,1.06,2508190.0,2019-10-17
9.11,9.22,9.11,9.2,-3.26,247253.0,2019-10-20
9.21,9.23,9.2,9.23,0.33,88238.0,2019-10-21
9.24,9.26,9.21,9.21,-0.22,583791.0,2019-10-22
9.21,9.31,9.2,9.31,1.09,301805.0,2019-10-23
9.33,9.34,9.33,9.34,0.32,280756.0,2019-10-24
9.35,9.36,9.09,9.1,-2.57,581932.0,2019-10-31
9.11,9.12,9.08,9.11,0.11,685444.0,2019-11-03
9.12,9.24,9.11,9.17,0.66,970499.0,2019-11-04
9.18,9.34,9.18,9.34,1.85,904625.0,2019-11-05
9.34,9.37,9.34,9.36,0.21,327714.0,2019-11-06
9.37,9.4,9.35,9.4,0.43,270348.0,2019-11-07
