date,current,point_change,percent_change,turnover
2011-03-25,314.79,-0.10,-0.03,0.00
2011-03-28,315.13,0.07,0.02,0.00
2011-03-29,313.82,-1.31,-0.41,0.00
2011-03-30,313.02,-0.81,-0.26,0.00
2011-03-31,313.33,0.27,0.09,0.00
2011-04-04,313.74,0.23,0.07,0.00
2011-04-05,313.74,0.00,0.00,0.00
2011-04-06,314.85,1.11,0.35,0.00
2011-04-07,314.52,-0.33,-0.11,0.00
2011-04-11,311.33,-1.77,-0.57,0.00
2011-04-13,309.46,-1.88,-0.60,0.00
2011-04-18,309.91,0.08,0.03,0.00
2011-04-19,310.95,1.04,0.34,0.00
2011-04-20,310.29,-0.62,-0.20,0.00
2011-04-21,309.62,-0.67,-0.22,0.00
2011-04-25,308.19,-1.01,-0.33,0.00
2011-04-26,308.55,0.14,0.04,0.00
2011-04-27,308.00,-0.55,-0.18,0.00
2011-04-28,307.40,-0.63,-0.20,0.00
2011-05-02,307.63,0.23,0.07,0.00
2011-05-03,307.05,-0.56,-0.18,0.00
2011-05-04,306.01,-1.04,-0.34,0.00
2011-05-05,305.68,-0.41,-0.13,0.00
2011-05-09,305.07,0.08,0.03,0.00
2011-05-10,304.53,-0.54,-0.18,0.00
2011-05-11,302.84,-1.69,-0.56,0.00
2011-05-12,301.90,-0.94,-0.31,0.00
2011-05-16,302.27,0.43,0.14,0.00
2011-05-18,302.90,0.63,0.21,0.00
2011-05-19,302.36,-0.54,-0.18,0.00
2011-05-23,301.74,-0.49,-0.16,0.00
2011-05-24,301.72,-0.04,-0.01,0.00
2011-05-25,301.65,-0.07,-0.02,0.00
2011-05-26,301.25,-0.40,-0.13,0.00
2011-05-30,302.20,0.95,0.32,0.00
2011-05-31,301.69,-0.51,-0.17,0.00
2011-06-01,302.14,0.45,0.15,0.00
2011-06-02,302.71,0.57,0.19,0.00
2011-06-06,299.87,-0.90,-0.30,0.00
2011-06-07,298.82,-1.05,-0.35,0.00
2011-06-08,297.27,-1.55,-0.52,0.00
2011-06-09,297.10,-0.17,-0.06,0.00
2011-06-13,295.85,-0.87,-0.29,0.00
2011-06-14,294.41,-1.44,-0.49,0.00
2011-06-15,293.81,-0.60,-0.21,0.00
2011-06-16,293.58,-0.23,-0.08,0.00
2011-06-20,296.15,2.15,0.73,0.00
2011-06-21,298.99,2.84,0.96,0.00
2011-06-23,300.90,2.11,0.71,0.00
2011-06-27,302.19,-0.11,-0.04,0.00
2011-06-29,300.51,-1.68,-0.55,0.00
2011-06-30,299.86,-0.65,-0.21,0.00
2011-07-04,299.50,-0.49,-0.16,0.00
2011-07-05,298.44,-0.76,-0.25,0.00
2011-07-06,298.27,-0.10,-0.03,0.00
2011-07-07,297.52,-0.75,-0.25,0.00
2011-07-11,298.69,1.38,0.46,0.00
2011-07-12,300.28,1.61,0.54,0.00
2011-07-13,301.13,0.85,0.28,0.00
2011-07-14,302.29,1.16,0.39,0.00
2011-07-18,304.08,-0.06,-0.02,0.00
2011-07-19,302.07,-2.01,-0.66,0.00
2011-07-20,301.73,-0.34,-0.11,0.00
2011-07-21,301.06,-0.67,-0.22,0.00
2011-07-25,300.88,0.05,0.02,0.00
2011-07-26,299.83,-1.05,-0.35,0.00
2011-07-27,297.72,-2.11,-0.70,0.00
2011-07-28,298.12,0.40,0.13,0.00
2011-08-01,295.41,-1.58,-0.53,0.00
2011-08-02,295.34,-0.06,-0.02,0.00
2011-08-03,294.56,-0.78,-0.26,0.00
2011-08-04,293.84,-0.75,-0.25,0.00
2011-08-08,292.76,-0.38,-0.13,0.00
2011-08-09,291.64,-0.77,-0.26,0.00
2011-08-10,291.83,0.19,0.06,0.00
2011-08-11,291.40,-0.43,-0.15,0.00
2011-08-15,291.64,0.24,0.08,0.00
2011-08-16,292.03,0.39,0.13,0.00
2011-08-17,291.24,-0.79,-0.27,0.00
2011-08-18,291.08,-0.16,-0.06,0.00
2011-08-22,290.54,-0.54,-0.19,0.00
2011-08-23,289.39,-1.15,-0.40,0.00
2011-08-24,288.19,-1.20,-0.41,0.00
2011-08-25,287.11,-1.08,-0.37,0.00
2011-08-29,285.52,-0.22,-0.08,0.00
2011-08-30,285.11,-0.13,-0.04,0.00
2011-09-01,284.19,-0.92,-0.32,0.00
2011-09-05,283.51,-0.05,-0.02,0.00
2011-09-06,282.97,-0.52,-0.18,0.00
2011-09-07,282.43,-0.54,-0.19,0.00
2011-09-08,280.77,-1.66,-0.59,0.00
2011-09-12,279.92,-0.85,-0.30,0.00
2011-09-13,278.78,-1.14,-0.41,0.00
2011-09-14,277.62,-1.16,-0.42,0.00
2011-09-15,277.30,-0.32,-0.12,0.00
2011-09-19,275.77,-0.72,-0.26,0.00
2011-09-20,276.24,0.47,0.17,0.00
2011-09-21,276.05,-0.19,-0.07,0.00
2011-09-22,275.82,-0.23,-0.08,0.00
2011-09-26,275.34,-0.52,-0.19,0.00
2011-09-27,275.13,-0.21,-0.08,0.00
2011-09-29,275.87,0.74,0.27,0.00
2011-10-10,276.78,0.38,0.14,0.00
2011-10-12,276.49,-0.29,-0.11,0.00
2011-10-13,274.62,-1.87,-0.68,0.00
2011-10-17,273.09,-0.48,-0.18,0.00
2011-10-18,272.93,-0.16,-0.06,0.00
2011-10-19,272.24,-0.69,-0.25,0.00
2011-10-20,272.70,0.46,0.17,0.00
2011-10-24,273.25,0.08,0.03,0.00
2011-10-25,272.88,-0.37,-0.14,0.00
2011-10-31,273.29,0.37,0.13,0.00
2011-11-02,275.34,2.05,0.75,0.00
2011-11-03,274.26,-1.20,-0.44,0.00
2011-11-08,273.48,-0.49,-0.18,0.00
2011-11-09,273.52,0.04,0.01,0.00
2011-11-10,272.79,-0.55,-0.20,0.00
2011-11-14,271.33,-0.89,-0.33,0.00
2011-11-15,271.28,-0.05,-0.02,0.00
2011-11-16,270.77,-0.52,-0.19,0.00
2011-11-17,270.81,0.04,0.02,0.00
2011-11-21,270.69,0.45,0.17,0.00
2011-11-22,270.67,-0.02,-0.01,0.00
2011-11-23,270.40,-0.27,-0.10,0.00
2011-11-24,270.57,0.17,0.06,0.00
2011-11-28,270.68,0.11,0.04,0.00
2011-12-01,269.51,-0.34,-0.13,0.00
2011-12-05,270.60,0.92,0.34,0.00
2011-12-06,270.09,-0.51,-0.19,0.00
2011-12-07,269.09,-1.00,-0.37,0.00
2011-12-08,267.85,-1.24,-0.46,0.00
2011-12-12,266.86,-0.28,-0.11,0.00
2011-12-13,267.01,0.15,0.06,0.00
2011-12-14,267.73,0.72,0.27,0.00
2011-12-15,267.39,-0.34,-0.13,0.00
2011-12-19,266.96,-0.27,-0.10,0.00
2011-12-20,266.05,-0.91,-0.34,0.00
2011-12-21,265.35,-0.70,-0.26,0.00
2011-12-22,264.79,-0.56,-0.21,0.00
2011-12-26,265.52,0.76,0.29,0.00
2011-12-27,266.71,1.20,0.45,0.00
2011-12-28,266.95,0.20,0.08,0.00
