date,current,point_change,percent_change,turnover
2011-03-25,655.25,0.00,0.00,0.00
2011-03-28,668.62,7.99,1.21,0.00
2011-03-29,670.35,1.73,0.26,0.00
2011-03-30,668.36,-1.99,-0.30,0.00
2011-03-31,673.19,3.54,0.53,0.00
2011-04-04,672.93,-1.10,-0.16,0.00
2011-04-05,676.91,3.98,0.59,0.00
2011-04-06,676.51,-0.40,-0.06,0.00
2011-04-07,676.63,0.12,0.02,0.00
2011-04-11,714.02,15.75,2.26,0.00
2011-04-13,731.71,17.69,2.48,0.00
2011-04-18,725.04,-4.42,-0.61,0.00
2011-04-19,724.08,-0.96,-0.13,0.00
2011-04-20,726.36,-0.61,-0.08,0.00
2011-04-21,726.36,0.00,0.00,0.00
2011-04-25,726.64,0.77,0.11,0.00
2011-04-26,727.22,0.58,0.08,0.00
2011-04-27,723.23,-3.99,-0.55,0.00
2011-04-28,717.33,-5.53,-0.77,0.00
2011-05-02,716.97,-0.35,-0.05,0.00
2011-05-03,716.53,-1.15,-0.16,0.00
2011-05-04,719.16,2.63,0.37,0.00
2011-05-05,716.86,-0.36,-0.05,0.00
2011-05-09,716.88,-0.83,-0.11,0.00
2011-05-10,715.01,-1.87,-0.26,0.00
2011-05-11,718.76,3.75,0.52,0.00
2011-05-12,720.03,1.27,0.18,0.00
2011-05-16,696.87,3.26,0.47,0.00
2011-05-18,664.11,-32.76,-4.70,0.00
2011-05-19,626.14,-37.97,-5.72,0.00
2011-05-23,582.92,-22.43,-3.71,0.00
2011-05-24,576.20,-6.72,-1.15,0.00
2011-05-25,561.76,-14.44,-2.51,0.00
2011-05-26,552.54,-9.22,-1.64,0.00
2011-05-30,540.97,-11.57,-2.09,0.00
2011-05-31,528.89,-12.08,-2.23,0.00
2011-06-01,530.77,1.88,0.35,0.00
2011-06-02,530.43,-0.34,-0.06,0.00
2011-06-06,525.47,-0.26,-0.05,0.00
2011-06-07,519.77,-5.70,-1.08,0.00
2011-06-08,520.08,0.31,0.06,0.00
2011-06-09,505.90,-14.18,-2.73,0.00
2011-06-13,486.19,-14.79,-2.95,0.00
2011-06-14,472.97,-13.22,-2.72,0.00
2011-06-15,477.46,4.49,0.95,0.00
2011-06-16,485.20,7.74,1.62,0.00
2011-06-20,543.39,33.24,6.52,0.00
2011-06-21,574.64,31.25,5.75,0.00
2011-06-23,625.55,50.91,8.86,0.00
2011-06-27,560.44,-28.35,-4.82,0.00
2011-06-29,574.68,13.95,2.49,0.00
2011-06-30,564.80,-9.88,-1.72,0.00
2011-07-04,569.71,7.52,1.34,0.00
2011-07-05,569.12,-0.59,-0.10,0.00
2011-07-06,602.60,29.47,5.14,0.00
2011-07-07,608.33,5.73,0.95,0.00
2011-07-11,615.77,15.76,2.63,0.00
2011-07-12,642.11,26.34,4.28,0.00
2011-07-13,651.66,7.62,1.18,0.00
2011-07-14,660.38,8.72,1.34,0.00
2011-07-18,701.53,13.88,2.02,0.00
2011-07-19,700.31,-1.22,-0.17,0.00
2011-07-20,684.27,-16.04,-2.29,0.00
2011-07-21,642.68,-41.59,-6.08,0.00
2011-07-25,569.45,-38.91,-6.40,0.00
2011-07-26,575.09,5.64,0.99,0.00
2011-07-27,570.79,-4.30,-0.75,0.00
2011-07-28,573.19,2.40,0.42,0.00
2011-08-01,568.95,1.72,0.30,0.00
2011-08-02,576.92,7.97,1.40,0.00
2011-08-03,570.93,-5.99,-1.04,0.00
2011-08-04,562.78,-5.77,-1.01,0.00
2011-08-08,564.48,5.04,0.90,0.00
2011-08-09,553.97,-10.84,-1.92,0.00
2011-08-10,559.47,5.50,0.99,0.00
2011-08-11,557.40,-2.07,-0.37,0.00
2011-08-15,556.40,-1.00,-0.18,0.00
2011-08-16,566.17,9.77,1.76,0.00
2011-08-17,568.04,1.87,0.33,0.00
2011-08-18,568.31,0.27,0.05,0.00
2011-08-22,567.37,-0.94,-0.17,0.00
2011-08-23,569.59,2.22,0.39,0.00
2011-08-24,563.88,-5.94,-1.04,0.00
2011-08-25,574.58,10.70,1.90,0.00
2011-08-29,563.82,-4.09,-0.72,0.00
2011-08-30,567.88,4.06,0.72,0.00
2011-09-01,569.34,1.46,0.26,0.00
2011-09-05,572.36,-3.54,-0.61,0.00
2011-09-06,562.90,-9.46,-1.65,0.00
2011-09-07,566.30,3.40,0.60,0.00
2011-09-08,568.29,1.99,0.35,0.00
2011-09-12,567.42,-0.87,-0.15,0.00
2011-09-13,564.47,-2.95,-0.52,0.00
2011-09-14,557.31,-7.32,-1.30,0.00
2011-09-15,556.79,-1.16,-0.21,0.00
2011-09-19,545.31,-8.45,-1.53,0.00
2011-09-20,549.23,3.92,0.72,0.00
2011-09-21,556.48,7.25,1.32,0.00
2011-09-22,561.38,4.90,0.88,0.00
2011-09-26,566.38,1.71,0.30,0.00
2011-09-27,565.39,0.30,0.05,0.00
2011-09-29,563.46,-2.25,-0.40,0.00
2011-10-10,572.42,4.05,0.71,0.00
2011-10-12,573.75,1.33,0.23,0.00
2011-10-13,573.50,-0.25,-0.04,0.00
2011-10-17,588.84,4.69,0.80,0.00
2011-10-18,597.88,9.04,1.54,0.00
2011-10-19,628.41,30.53,5.11,0.00
