date,current,point_change,percent_change,turnover
2021-03-01,97.66,1.86,1.94,543932000.00
2021-03-02,95.74,-1.91,-1.96,416886000.00
2021-03-03,93.48,-2.26,-2.36,388350000.00
2021-03-04,98.39,4.91,5.26,655824000.00
2021-03-09,95.31,-1.34,-1.38,418678000.00
2021-03-10,95.33,0.02,0.03,362810000.00
2021-03-15,93.30,0.53,0.57,529269000.00
2021-03-16,93.51,0.20,0.22,343123000.00
2021-03-17,94.77,1.26,1.35,410911000.00
2021-03-18,96.72,1.95,2.06,385485000.00
2021-03-22,96.57,-1.40,-1.42,323771000.00
2021-03-23,97.60,1.03,1.06,646698000.00
2021-03-24,102.53,4.93,5.05,1009230000.00
2021-03-25,103.72,1.19,1.16,1105400000.00
2021-03-29,103.66,-0.06,-0.06,625596000.00
2021-03-30,104.03,0.37,0.36,802538000.00
2021-03-31,105.82,1.79,1.72,724774000.00
2021-04-01,104.73,-1.09,-1.03,388903000.00
2021-04-05,101.41,-0.86,-0.84,479117000.00
2021-04-06,104.12,2.72,2.68,537533000.00
2021-04-07,102.40,-1.73,-1.66,388926000.00
2021-04-08,101.97,-0.43,-0.42,433373000.00
2021-04-12,101.64,-0.33,-0.32,415618000.00
2021-04-13,101.18,-0.46,-0.45,382799000.00
2021-04-15,102.77,1.59,1.57,699432000.00
2021-04-19,101.74,-0.58,-0.57,835909000.00
2021-04-20,100.69,-1.05,-1.03,561944000.00
2021-04-21,99.26,-1.43,-1.42,600769000.00
2021-04-22,99.43,0.17,0.17,640007000.00
2021-04-26,93.32,-2.75,-2.86,596334000.00
2021-04-27,97.66,4.34,4.65,457430000.00
2021-04-28,97.57,-0.10,-0.10,353847000.00
2021-04-29,97.45,-0.11,-0.12,358526000.00
2021-05-03,98.66,0.49,0.50,622595000.00
2021-05-04,98.88,0.23,0.23,388465000.00
2021-05-05,98.37,-0.51,-0.51,287685000.00
2021-05-06,98.52,0.15,0.15,729701000.00
2021-05-10,98.66,1.00,1.02,393978000.00
2021-05-11,100.15,1.49,1.51,509970000.00
2021-05-12,100.91,0.76,0.76,536657000.00
2021-05-13,100.51,-0.40,-0.39,437457000.00
2021-05-17,102.80,0.14,0.14,515712000.00
2021-05-18,105.66,2.85,2.78,731182000.00
2021-05-19,103.80,-1.86,-1.76,554480000.00
2021-05-20,103.06,-0.75,-0.72,410147000.00
2021-05-24,104.56,1.41,1.37,1560740000.00
2021-05-25,103.38,-1.17,-1.12,546796000.00
2021-05-27,102.71,-0.67,-0.65,561602000.00
2021-05-31,101.46,-0.98,-0.95,604317000.00
2021-06-01,100.79,-0.67,-0.66,372215000.00
2021-06-02,101.52,0.92,0.92,438176000.00
2021-06-03,101.59,0.07,0.07,619933000.00
2021-06-07,105.53,-0.09,-0.10,730271000.00
2021-06-08,104.63,-0.93,-0.88,573974000.00
2021-06-09,103.61,-1.02,-0.98,587586000.00
2021-06-10,104.72,1.12,1.08,1352650000.00
2021-06-14,110.79,3.59,3.34,473830000.00
2021-06-15,113.21,2.29,2.07,917360000.00
2021-06-16,110.33,-2.88,-2.54,664518000.00
2021-06-17,110.12,-0.21,-0.19,560132000.00
2021-06-21,107.40,-0.52,-0.48,868419000.00
2021-06-22,111.93,4.58,4.26,679017000.00
2021-06-23,111.54,-0.39,-0.35,430355000.00
2021-06-24,109.18,-1.73,-1.56,457549000.00
2021-06-28,112.10,2.35,2.14,420973000.00
2021-06-29,108.26,-3.84,-3.43,495139000.00
2021-06-30,105.86,-2.39,-2.21,302369000.00
2021-07-01,107.08,1.22,1.15,258680000.00
2021-07-05,107.22,0.59,0.55,308677000.00
2021-07-06,104.93,-2.28,-2.13,297311000.00
2021-07-07,104.08,-0.85,-0.81,228220000.00
2021-07-08,105.21,1.13,1.08,281886000.00
2021-07-12,105.17,-2.86,-2.65,348578000.00
2021-07-13,105.57,0.40,0.38,241766000.00
2021-07-14,106.27,0.75,0.72,196086000.00
2021-07-15,106.26,-0.01,-0.01,213027000.00
2021-07-19,109.55,1.59,1.47,397539000.00
2021-07-20,108.71,-1.11,-1.02,309607000.00
2021-07-22,108.48,-0.30,-0.28,363113000.00
2021-07-26,108.32,-0.15,-0.13,374726000.00
2021-07-27,111.37,3.05,2.81,534520000.00
2021-07-28,114.59,3.22,2.89,504239000.00
2021-07-29,113.22,-1.37,-1.19,391972000.00
2021-08-02,117.08,1.96,1.70,610203000.00
2021-08-03,117.28,0.21,0.18,511554726.00
2021-08-04,117.62,0.34,0.29,943924000.00
2021-08-05,115.91,-1.68,-1.43,612937000.00
2021-08-09,114.95,-0.64,-0.56,526134000.00
2021-08-10,117.40,2.15,1.86,570909000.00
2021-08-11,116.38,-1.03,-0.87,855757000.00
2021-08-12,118.05,1.71,1.47,842483000.00
2021-08-16,121.44,2.68,2.25,924024000.00
2021-08-17,121.52,0.07,0.06,1017460000.00
2021-08-18,123.24,1.72,1.42,1053140000.00
2021-08-19,118.36,-4.92,-3.99,1019470000.00
2021-08-24,113.10,-5.25,-4.43,650830000.00
2021-08-25,110.88,-2.22,-1.96,492545000.00
2021-08-26,110.79,-0.09,-0.08,495979000.00
2021-08-31,105.99,-2.80,-2.58,396976000.00
2021-09-01,106.03,0.01,0.01,320625000.00
2021-09-02,102.60,-3.51,-3.31,404038000.00
2021-09-06,104.38,6.67,6.83,408390000.00
2021-09-07,103.94,-0.44,-0.42,331112000.00
2021-09-08,101.41,-2.53,-2.43,198107000.00
2021-09-09,101.53,0.17,0.17,159504000.00
2021-09-13,103.23,-0.64,-0.62,318610000.00
2021-09-14,102.45,-0.78,-0.76,204290000.00
2021-09-15,100.57,-1.88,-1.84,186841000.00
2021-09-16,98.17,-2.39,-2.38,297496000.00
2021-09-20,92.92,-5.29,-5.39,325065000.00
2021-09-21,94.19,1.27,1.37,409713000.00
2021-09-22,97.94,3.89,4.14,243579000.00
2021-09-23,95.78,-2.16,-2.20,202557000.00
2021-09-27,89.59,-2.86,-3.10,187039000.00
2021-09-28,86.07,-3.52,-3.93,208985000.00
2021-09-29,88.04,2.00,2.32,180779000.00
2021-09-30,86.95,-1.09,-1.24,110454000.00
2021-10-04,82.98,-0.64,-0.77,107497000.00
2021-10-05,83.87,0.89,1.07,98352300.00
2021-10-06,86.06,2.20,2.62,114177000.00
2021-10-11,86.35,0.91,1.07,171356000.00
2021-10-18,84.34,-2.18,-2.52,107371000.00
2021-10-19,81.94,-2.40,-2.85,105312000.00
2021-10-20,83.43,1.49,1.81,130033000.00
2021-10-21,83.06,-0.37,-0.44,72235300.00
2021-10-25,87.00,3.67,4.40,156436000.00
2021-10-26,90.91,3.91,4.50,207905000.00
2021-10-27,90.92,0.00,0.00,185110779.40
2021-10-28,91.28,0.36,0.40,130452432.00
2021-11-01,94.56,0.35,0.37,229315507.30
2021-11-02,94.41,-0.15,-0.16,125404110.90
2021-11-03,94.22,-0.19,-0.20,176323982.60
2021-11-08,94.86,0.63,0.67,167866481.60
2021-11-09,92.31,-2.54,-2.68,233768167.10
2021-11-11,89.50,-2.81,-3.05,139732731.20
2021-11-15,88.00,1.69,1.96,376394568.90
2021-11-16,89.60,1.59,1.81,236820782.70
2021-11-17,89.07,-0.52,-0.58,215330147.10
2021-11-18,87.57,-1.50,-1.69,190577803.10
2021-11-22,87.55,0.72,0.83,160695548.80
2021-11-23,86.21,-1.34,-1.53,140927328.90
2021-11-24,86.76,0.55,0.64,184281886.00
2021-11-25,86.28,-0.49,-0.56,152817099.50
2021-11-29,82.61,-0.77,-0.64,154864837.40
2021-11-30,82.18,-0.43,-0.52,120881950.30
2021-12-01,82.33,0.16,0.19,124100095.80
2021-12-02,80.87,-1.46,-1.78,125165921.00
2021-12-06,78.84,0.68,0.86,217936206.20
2021-12-07,78.10,-0.75,-0.94,176023205.10
2021-12-08,76.15,-1.94,-2.48,115418575.50
2021-12-09,76.08,-0.07,-0.10,105905064.10
2021-12-13,69.50,-3.55,-4.85,188621178.60
2021-12-14,75.06,5.56,8.00,92847166.00
2021-12-15,75.52,0.46,0.62,235040494.80
2021-12-16,74.00,-1.53,-2.02,115862288.00
2021-12-20,73.63,-0.37,-0.50,103866165.50
2021-12-21,75.05,1.42,1.93,97342799.70
2021-12-22,78.94,3.89,5.19,198184126.10
2021-12-23,79.01,0.06,0.08,151905495.20
2021-12-27,78.35,-3.03,-3.73,179827005.90
2021-12-28,77.98,-0.37,-0.47,96471527.00
2021-12-29,77.73,-0.25,-0.32,73528303.80
2022-01-03,80.90,1.48,1.86,163752369.10
2022-01-04,83.43,2.54,3.14,148591038.30
2022-01-05,82.14,-1.29,-1.54,224956824.60
2022-01-06,83.74,1.61,1.96,196545843.40
2022-01-10,88.15,0.94,1.08,362066242.50
2022-01-11,90.08,1.93,2.19,286356945.50
2022-01-12,92.90,2.82,3.13,566039924.80
2022-01-13,95.95,3.05,3.29,514377406.20
2022-01-17,97.60,-0.26,-0.27,462036582.60
2022-01-18,95.28,-2.33,-2.38,373599351.00
2022-01-19,93.77,-1.51,-1.58,343442484.20
2022-01-20,95.73,1.96,2.09,289736474.90
2022-01-24,91.41,-3.23,-3.41,416335099.60
2022-01-25,91.04,-0.37,-0.40,269094082.80
2022-01-26,89.07,-1.98,-2.17,248932421.50
2022-01-27,89.54,0.47,0.53,288429349.50
2022-01-31,97.30,2.08,2.18,937978988.00
2022-02-01,97.41,0.11,0.11,559072100.00
2022-02-03,96.84,-0.57,-0.59,630187732.30
2022-02-07,98.49,2.92,3.06,840667771.60
2022-02-08,96.98,-1.52,-1.54,725853146.90
2022-02-09,96.09,-0.96,-0.99,378715171.20
2022-02-10,95.53,-0.56,-0.58,320987732.60
2022-02-14,90.73,0.00,0.00,295270761.60
2022-02-15,92.99,2.26,2.49,217447127.40
2022-02-16,91.43,-1.56,-1.68,192821491.20
2022-02-17,91.24,-0.34,-0.37,140395024.30
2022-02-21,90.60,1.10,1.23,155693606.20
2022-02-22,90.45,-0.15,-0.17,169758749.70
2022-02-23,90.30,-0.15,-0.16,254764846.40
2022-02-24,88.23,-2.07,-2.29,350009824.70
2022-02-28,86.15,-1.91,-2.17,221872073.80
2022-03-02,83.42,-2.73,-3.17,258420617.50
2022-03-07,82.69,-0.57,-0.68,108914286.70
2022-03-09,81.33,-1.41,-1.71,129581452.70
2022-03-10,84.69,3.41,4.20,182749035.20
2022-03-14,87.82,-0.68,-0.76,82886944.00
2022-03-15,87.10,-0.72,-0.82,165939232.10
2022-03-16,86.59,-0.51,-0.58,149591410.10
2022-03-21,88.94,0.92,1.04,157415117.50
2022-03-22,89.46,0.52,0.58,125732548.50
2022-03-23,88.65,-0.81,-0.91,119841236.40
2022-03-24,86.92,-1.73,-1.95,117576241.60
2022-03-28,84.56,-0.99,-1.16,133712917.00
2022-03-29,84.48,-0.09,-0.09,93083587.80
2022-03-30,86.80,2.33,2.76,127416854.80
2022-03-31,86.15,-0.66,-0.76,231571640.00
2022-04-04,84.51,-0.41,-0.49,141629888.50
2022-04-05,82.98,-1.53,-1.81,152272986.70
2022-04-06,81.68,-1.30,-1.57,120826321.70
2022-04-07,82.60,0.92,1.12,163264860.60
2022-04-11,80.66,-1.94,-2.35,170586177.40
2022-04-12,79.04,-1.62,-2.01,96776223.90
2022-04-13,79.61,0.57,0.72,107383049.20
2022-04-18,76.54,-1.57,-2.01,116235765.72
2022-04-19,76.95,0.40,0.53,92716596.70
2022-04-20,75.79,-1.16,-1.51,72599375.70
2022-04-21,76.12,0.34,0.44,81645040.40
2022-04-25,78.88,-1.58,-1.96,134405855.60
2022-04-26,77.78,-1.10,-1.39,61968799.60
2022-04-27,78.08,0.30,0.38,70233915.60
2022-04-28,77.13,-0.95,-1.21,85639807.30
2022-05-02,75.41,-1.72,-2.23,89483768.70
2022-05-04,74.34,-1.07,-1.42,72710651.90
2022-05-05,72.72,-1.62,-2.18,92776108.10
2022-05-09,74.14,-0.07,-0.09,71706175.60
2022-05-10,75.83,1.70,2.29,66811266.40
2022-05-11,78.11,2.27,3.00,93162562.40
2022-05-12,76.73,-1.37,-1.76,94015407.70
2022-05-17,74.15,-2.59,-3.37,75906322.90
2022-05-18,74.64,0.49,0.66,54913108.10
2022-05-19,73.59,-1.05,-1.41,60750693.80
2022-05-20,73.16,-0.43,-0.58,60257924.60
2022-05-23,71.69,-1.47,-2.01,79381722.70
2022-05-24,72.04,0.35,0.49,54582289.80
2022-05-25,72.16,0.11,0.16,56866023.60
2022-05-26,72.29,0.13,0.18,41977951.20
2022-05-27,71.87,-0.42,-0.58,49847191.00
2022-05-30,70.27,-1.60,-2.22,72672811.20
2022-05-31,69.45,-0.82,-1.17,85021145.30
