date,current,point_change,percent_change,turnover
2010-01-04,543.20,0.00,0.00,0.00
2010-01-05,536.18,,,
2010-01-06,536.63,,,
2010-01-07,535.81,,,
2010-01-11,534.34,,,
2010-01-12,532.26,,,
2010-01-13,530.81,,,
2010-01-14,530.96,,,
2010-01-18,524.61,,,
2010-01-19,522.05,,,
2010-01-20,520.19,,,
2010-01-21,518.11,,,
2010-01-25,516.79,,,
2010-01-26,513.71,,,
2010-01-27,511.70,,,
2010-01-28,515.24,,,
2010-02-01,510.10,,,
2010-02-02,507.02,,,
2010-02-03,503.56,,,
2010-02-04,501.18,,,
2010-02-08,489.40,,,
2010-02-09,477.67,,,
2010-02-10,492.88,,,
2010-02-11,497.24,,,
2010-02-15,492.62,,,
2010-02-16,486.82,,,
2010-02-17,485.82,,,
2010-02-18,485.14,,,
2010-03-01,497.96,,,
2010-03-02,502.81,,,
2010-03-03,517.00,,,
2010-03-04,508.26,,,
2010-03-09,500.71,,,
2010-03-10,489.42,,,
2010-03-11,486.14,,,
2010-03-16,480.49,,,
2010-03-17,478.17,,,
2010-03-18,475.61,,,
2010-03-22,472.82,,,
2010-03-23,468.86,,,
2010-03-25,466.09,,,
2010-03-29,454.54,,,
2010-03-30,443.97,,,
2010-03-31,443.17,,,
2010-04-01,452.46,,,
2010-04-05,455.08,,,
2010-04-06,449.27,,,
2010-04-07,443.89,,,
2010-04-08,446.03,,,
2010-04-12,443.66,,,
2010-04-13,443.54,,,
2010-04-15,449.38,,,
2010-04-19,441.98,,,
2010-04-20,438.64,,,
2010-04-21,426.42,,,
2010-04-22,426.57,,,
2010-04-26,415.47,,,
2010-04-27,408.19,,,
2010-04-28,405.45,,,
2010-04-29,419.03,,,
2010-05-10,418.77,,,
2010-05-11,429.59,,,
2010-05-12,448.98,,,
2010-05-13,456.04,,,
2010-05-17,440.34,,,
2010-05-18,448.29,,,
2010-05-19,453.84,,,
2010-05-20,461.94,,,
2010-05-24,462.63,,,
2010-05-25,482.44,,,
2010-05-26,478.97,,,
2010-05-31,490.08,,,
2010-06-01,479.98,,,
2010-06-02,480.48,,,
2010-06-03,481.69,,,
2010-06-07,478.49,,,
2010-06-08,482.76,,,
2010-06-09,486.60,,,
2010-06-10,484.78,,,
2010-06-14,476.69,,,
2010-06-15,476.00,,,
2010-06-16,475.15,,,
2010-06-17,474.63,,,
2010-06-21,468.61,,,
2010-06-22,470.72,,,
2010-06-23,467.60,,,
2010-06-24,463.51,,,
2010-06-28,459.79,,,
2010-06-29,455.69,,,
2010-06-30,455.75,,,
2010-07-01,470.10,,,
2010-07-05,460.70,,,
2010-07-06,463.24,,,
2010-07-07,461.87,,,
2010-07-08,459.52,,,
2010-07-12,461.62,,,
2010-07-13,464.54,,,
2010-07-14,467.10,,,
2010-07-15,477.73,,,
2010-07-19,466.30,,,
2010-07-20,468.86,,,
2010-07-21,471.14,,,
2010-07-22,469.34,,,
2010-07-26,461.65,,,
2010-07-27,460.55,,,
2010-07-28,459.79,,,
2010-07-29,461.63,,,
2010-08-02,460.20,,,
2010-08-03,460.02,,,
2010-08-04,460.89,,,
2010-08-05,458.86,,,
2010-08-09,457.36,,,
2010-08-10,455.71,,,
2010-08-11,456.17,,,
2010-08-12,454.68,,,
2010-08-16,453.40,,,
2010-08-17,447.17,,,
2010-08-18,442.74,,,
2010-08-19,442.05,,,
2010-08-23,432.39,,,
2010-08-26,432.74,,,
2010-08-30,426.74,,,
2010-08-31,421.16,,,
2010-09-02,420.41,,,
2010-09-06,412.32,,,
2010-09-07,416.26,,,
2010-09-08,420.25,,,
2010-09-09,414.36,,,
2010-09-13,410.65,,,
2010-09-14,410.29,,,
2010-09-15,407.20,,,
2010-09-16,404.08,,,
2010-09-20,400.38,,,
2010-09-21,403.95,,,
2010-09-23,404.41,,,
2010-09-27,405.45,,,
2010-09-28,403.54,,,
2010-09-29,402.77,,,
2010-09-30,402.54,,,
2010-10-04,403.70,,,
2010-10-05,404.49,,,
2010-10-06,406.49,,,
2010-10-07,411.82,,,
2010-10-11,418.16,,,
