date,rate,metric,source
2013-07-15,8.10,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2014-07-15,6.67,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2015-07-15,6.45,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2016-07-15,5.57,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2016-08-15,5.61,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2016-09-15,5.65,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2016-10-15,5.67,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2016-11-15,5.92,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2016-12-15,6.37,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2017-01-15,6.72,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2017-02-15,7.37,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2017-03-15,7.94,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2017-04-15,8.54,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2017-05-15,8.92,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2017-06-15,9.61,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2017-07-15,10.08,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2017-08-15,10.22,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2017-09-15,10.32,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2017-10-15,10.31,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2017-11-15,10.20,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2017-12-15,10.27,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2018-01-15,10.20,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2018-02-15,10.19,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2018-03-15,10.17,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2018-04-15,10.38,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2018-05-15,10.33,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2018-06-15,10.31,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2018-07-15,10.24,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2018-08-15,9.84,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2018-09-15,9.98,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2018-10-15,10.25,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
2018-11-15,10.27,fixed_deposit,"NRB monthly statistics (xlsx, C15 Fixed deposit Wt.avg) [Jestha_2083_Publish.xlsx]"
