symbol,listing_date,first_trade_date,delta_days,status
ACEDBL,1996-11-20,2011-03-24,5237,SUSPICIOUS_LARGE_GAP
ACEDPO,2008-05-06,2011-06-06,1126,SUSPICIOUS_LARGE_GAP
ACLBSL,2019-01-01,2020-07-29,575,SUSPICIOUS_LARGE_GAP
ACLBSLP,2019-01-01,2023-02-16,1507,SUSPICIOUS_LARGE_GAP
ADBL,2010-08-16,2010-09-02,17,OK
ADBLD83,2020-07-12,2021-04-28,290,SUSPICIOUS_LARGE_GAP
ADLB,2022-07-18,2022-07-22,4,OK
AEFL,2007-07-30,2011-03-24,1333,SUSPICIOUS_LARGE_GAP
AEFLPO,2008-03-31,2011-03-30,1094,SUSPICIOUS_LARGE_GAP
AFL,2009-10-11,2011-03-24,529,SUSPICIOUS_LARGE_GAP
AHL,2023-03-22,2023-03-23,1,OK
AHPC,2009-11-17,2009-11-25,8,OK
AIL,2020-07-27,2020-08-02,6,OK
AKBSL,2019-08-25,2019-08-26,1,OK
AKJCL,2018-12-17,2018-12-20,3,OK
AKPL,2017-04-16,2017-04-16,0,OK
ALBSL,2019-03-10,2019-03-11,1,OK
ALBSLP,2019-03-10,2022-05-04,1151,SUSPICIOUS_LARGE_GAP
ALDBL,2010-10-04,2011-03-20,167,SUSPICIOUS_LARGE_GAP
ALICL,2010-04-16,2010-05-12,26,OK
ALICLP,2014-03-09,2014-03-09,0,OK
AMFI,2018-03-29,2018-04-08,10,OK
AMFIPO,2018-03-29,,,NO_PRICE_HISTORY
ANLB,2023-04-30,2023-05-02,2,OK
ANLBP,2023-04-30,,,NO_PRICE_HISTORY
APEX,2007-07-30,2013-12-23,2338,SUSPICIOUS_LARGE_GAP
API,2015-11-18,2015-11-18,0,OK
APPOLO,-,,,INVALID_LISTING_DATE
ARDBL,2011-03-01,2011-03-20,19,OK
ARDBLP,2014-10-22,2014-10-22,0,OK
AVU,1991-12-16,,,NO_PRICE_HISTORY
AVYAN,2022-09-23,2022-09-25,2,OK
AXIS,2009-04-07,2013-05-02,1486,SUSPICIOUS_LARGE_GAP
BANDIPUR,2025-11-10,2025-11-11,1,OK
BARUN,2015-10-14,2015-10-15,1,OK
BBBL,2006-09-21,2011-03-20,1641,SUSPICIOUS_LARGE_GAP
BBBLN,2007-05-14,2011-05-10,1457,SUSPICIOUS_LARGE_GAP
BBBLNP,2012-03-18,2012-03-26,8,OK
BBBLPO,2010-04-27,2011-07-24,453,SUSPICIOUS_LARGE_GAP
BBC,1984-11-08,1995-07-20,3906,SUSPICIOUS_LARGE_GAP
BEDC,2023-06-07,2023-06-08,1,OK
BFC,2007-07-29,2011-05-05,1376,SUSPICIOUS_LARGE_GAP
BFCL,2015-07-06,2015-07-15,9,OK
BFCPO,2009-03-12,2017-11-23,3178,SUSPICIOUS_LARGE_GAP
BFIL,2007-07-30,2011-05-11,1381,SUSPICIOUS_LARGE_GAP
BGDBL,2012-06-03,2012-06-05,2,OK
BGDBLP,2015-07-27,,,NO_PRICE_HISTORY
BGWT,2023-10-11,2023-10-12,1,OK
BHBL,2012-03-25,2012-04-02,8,OK
BHBLPO,2015-01-04,2015-01-04,0,OK
BHCL,2025-08-19,2025-08-20,1,OK
BHDC,2022-07-27,2022-07-28,1,OK
BHL,2022-05-24,2022-05-25,1,OK
BHPL,2023-01-02,2023-01-04,2,OK
BJFL,2007-07-30,,,NO_PRICE_HISTORY
BJHL,-,2026-03-22,,INVALID_LISTING_DATE
BLDBL,2008-01-07,2011-03-20,1168,SUSPICIOUS_LARGE_GAP
BLDBLP,2011-11-17,2011-11-17,0,OK
BNHC,2022-01-16,2022-01-18,2,OK
BNL,1986-11-05,2011-04-19,8931,SUSPICIOUS_LARGE_GAP
BNT,1986-11-05,2011-03-25,8906,SUSPICIOUS_LARGE_GAP
BOAN,2009-06-11,2011-03-20,647,SUSPICIOUS_LARGE_GAP
BOKD86,2021-08-14,2022-02-06,176,SUSPICIOUS_LARGE_GAP
BOKD86KA,2023-02-26,2024-06-24,484,SUSPICIOUS_LARGE_GAP
BOKL,2016-09-28,2016-09-28,0,OK
BOKLPO,2008-04-27,2011-09-07,1228,SUSPICIOUS_LARGE_GAP
BPCL,2004-12-28,2005-01-20,23,OK
BPW,2023-04-30,2023-05-04,4,OK
BRTBL,2013-03-11,2013-03-13,2,OK
BSBLPO,2014-12-18,2014-12-18,0,OK
BSL,1994-10-25,,,NO_PRICE_HISTORY
BSM,1988-11-14,,,NO_PRICE_HISTORY
BUDBL,2006-09-14,2012-07-04,2120,SUSPICIOUS_LARGE_GAP
BUDBLP,2015-03-25,2015-05-26,62,OK
BUNGAL,2025-11-09,2025-11-10,1,OK
C30MF,2023-08-08,2023-08-14,6,OK
CBBL,2004-12-28,2005-02-09,43,OK
CBBLPO,2015-11-24,2018-09-04,1015,SUSPICIOUS_LARGE_GAP
CBL,2013-03-03,2013-03-03,0,OK
CBLPO,2015-04-20,2016-11-27,587,SUSPICIOUS_LARGE_GAP
CCBD88,2022-06-30,2022-07-27,27,OK
CCBL,2014-06-08,2014-06-08,0,OK
CCBLPO,2015-04-20,2017-07-23,825,SUSPICIOUS_LARGE_GAP
CEDBL,2009-03-01,2011-03-20,749,SUSPICIOUS_LARGE_GAP
CEDBLP,2012-01-03,2012-01-04,1,OK
CEFL,2008-05-25,2011-03-24,1033,SUSPICIOUS_LARGE_GAP
CEFLPO,2017-03-29,2017-05-21,53,OK
CFCL,2003-04-04,2003-04-04,0,OK
CFCLPO,2015-06-21,2018-02-20,975,SUSPICIOUS_LARGE_GAP
CFL,2009-11-17,2011-03-20,488,SUSPICIOUS_LARGE_GAP
CGH,2021-02-05,2021-02-07,2,OK
CHCL,2005-05-30,2006-06-13,379,SUSPICIOUS_LARGE_GAP
CHDC,2021-06-08,2021-06-09,1,OK
CHL,2017-08-03,2017-08-03,0,OK
CIT,1995-12-26,2011-04-06,5580,SUSPICIOUS_LARGE_GAP
CITPO,2023-12-04,2023-12-05,1,OK
CITY,2023-06-08,2023-06-11,3,OK
CIVIC,2013-03-05,2013-03-05,0,OK
CIZBD86,2020-07-12,2023-07-10,1093,SUSPICIOUS_LARGE_GAP
CIZBD90,2024-01-08,2024-04-30,113,SUSPICIOUS_LARGE_GAP
CKHL,2023-12-20,2023-12-21,1,OK
CLI,2023-09-27,2023-10-01,4,OK
CMB,2007-07-30,2011-03-20,1329,SUSPICIOUS_LARGE_GAP
CMBF,2007-07-30,2011-09-08,1501,SUSPICIOUS_LARGE_GAP
CMBFLP,2008-04-21,,,NO_PRICE_HISTORY
CMBFPO,2008-08-03,2011-07-14,1075,SUSPICIOUS_LARGE_GAP
CMBSL,2007-09-30,2011-04-27,1305,SUSPICIOUS_LARGE_GAP
CMF2,2019-10-20,2020-11-22,399,SUSPICIOUS_LARGE_GAP
CNDBL,2011-05-01,2011-09-05,127,SUSPICIOUS_LARGE_GAP
CNDBLP,2015-02-27,,,NO_PRICE_HISTORY
CORBL,2011-07-03,2011-08-17,45,OK
CORBLP,2017-06-15,,,NO_PRICE_HISTORY
CREST,2025-04-09,2025-04-10,1,OK
CSDBL,2014-02-13,2014-03-18,33,OK
CSY,2026-02-09,2026-02-17,8,OK
CTBNL,2013-05-16,2013-05-16,0,OK
CYCL,2022-06-12,2022-06-13,1,OK
CYCLP,2022-06-12,2025-01-23,956,SUSPICIOUS_LARGE_GAP
CZBIL,2007-12-27,2007-12-27,0,OK
CZBILP,2012-06-01,2012-06-13,12,OK
DBBL,2015-10-08,2015-10-08,0,OK
DBBLPO,2013-10-07,2016-07-27,1024,SUSPICIOUS_LARGE_GAP
DDBL,2005-05-29,2005-06-14,16,OK
DDBLPO,2014-06-18,2014-06-18,0,OK
DHEL,2025-11-05,2025-11-06,1,OK
DHPL,2017-02-13,2017-02-13,0,OK
DLBS,2022-10-21,2022-10-23,2,OK
DOLTI,2023-06-07,2023-06-08,1,OK
DORDI,2022-07-13,2022-07-14,1,OK
EBL,1995-04-03,2011-03-20,5830,SUSPICIOUS_LARGE_GAP
EBLCP,2007-12-23,2011-04-10,1204,SUSPICIOUS_LARGE_GAP
EBLD91,2025-04-21,2025-05-21,30,OK
EBLPO,2014-02-17,2014-02-17,0,OK
EDBL,2007-11-26,2007-12-04,8,OK
EDBLPO,2014-07-08,2014-07-13,5,OK
EFL,2007-07-30,2011-04-25,1365,SUSPICIOUS_LARGE_GAP
EFLPO,2009-01-26,2011-03-28,791,SUSPICIOUS_LARGE_GAP
EHPL,2022-12-13,2022-12-14,1,OK
EIC,1995-04-03,2011-06-08,5910,SUSPICIOUS_LARGE_GAP
EICPO,2015-11-25,2020-11-26,1828,SUSPICIOUS_LARGE_GAP
EKBL,2014-09-18,2014-09-18,0,OK
ENL,2022-03-05,2022-03-06,1,OK
FBBLPO,2008-12-08,2016-05-05,2705,SUSPICIOUS_LARGE_GAP
FFCL,2007-07-30,2011-03-20,1329,SUSPICIOUS_LARGE_GAP
FHL,1997-09-03,,,NO_PRICE_HISTORY
FMDBL,2012-06-10,2012-06-10,0,OK
FMDBLP,2016-01-12,2016-11-17,310,SUSPICIOUS_LARGE_GAP
FOWAD,2017-05-16,2017-05-21,5,OK
FOWADP,2017-05-16,2021-02-16,1372,SUSPICIOUS_LARGE_GAP
GABL,2013-10-07,2014-11-06,395,SUSPICIOUS_LARGE_GAP
GABLPO,2015-04-20,,,NO_PRICE_HISTORY
GBBD85,2022-03-05,2022-07-22,139,SUSPICIOUS_LARGE_GAP
GBBL,2011-03-20,2011-03-20,0,OK
GBBLPO,2014-11-02,2014-11-02,0,OK
GBIME,2012-09-09,2012-09-09,0,OK
GBIMEP,2012-09-09,2012-09-16,7,OK
GBIMESY2,2025-08-24,2025-08-28,4,OK
GBLBS,2015-11-23,2015-11-25,2,OK
GBLBSP,2015-12-31,2019-12-08,1438,SUSPICIOUS_LARGE_GAP
GCIL,2023-08-10,2023-08-13,3,OK
GDBL,2011-03-30,2011-03-30,0,OK
GDBLPO,2015-04-20,2017-11-09,934,SUSPICIOUS_LARGE_GAP
GDBNL,2007-06-06,2015-01-06,2771,SUSPICIOUS_LARGE_GAP
GFCL,1998-12-22,2011-07-07,4580,SUSPICIOUS_LARGE_GAP
GFCLPO,2009-09-13,2013-06-27,1383,SUSPICIOUS_LARGE_GAP
GFLK,1997-02-19,2011-03-20,5142,SUSPICIOUS_LARGE_GAP
GFLKPO,2009-07-19,,,NO_PRICE_HISTORY
GGBSL,2019-09-03,2019-09-05,2,OK
GHL,2019-02-15,2019-02-17,2,OK
GIBF1,2022-08-30,2022-09-28,29,OK
GIC,2020-10-12,2020-10-14,2,OK
GILB,2015-12-01,2015-12-22,21,OK
GILBPO,2016-01-20,2022-07-04,2357,SUSPICIOUS_LARGE_GAP
GLBSL,2019-05-27,2019-06-02,6,OK
GLH,2021-03-15,2021-03-16,1,OK
GLICL,2011-04-10,2011-04-27,17,OK
GLICLP,2014-10-20,2014-10-27,7,OK
GMFBS,2019-05-13,2019-06-06,24,OK
GMFIL,2007-07-30,2011-07-10,1441,SUSPICIOUS_LARGE_GAP
GMFILP,2014-07-16,2014-07-16,0,OK
GMLI,2025-02-06,2025-02-09,3,OK
GRAND,2007-07-26,2011-03-24,1337,SUSPICIOUS_LARGE_GAP
GRANDP,2008-10-05,2013-03-21,1628,SUSPICIOUS_LARGE_GAP
GRDBL,2016-11-24,2016-11-27,3,OK
GRDBLP,2016-11-24,2019-11-21,1092,SUSPICIOUS_LARGE_GAP
GRU,1991-03-08,,,NO_PRICE_HISTORY
GSDBL,2010-11-24,2011-03-20,116,SUSPICIOUS_LARGE_GAP
GSDBLP,2011-02-03,2012-05-10,462,SUSPICIOUS_LARGE_GAP
GSY,2025-02-13,2025-02-20,7,OK
GUFL,2017-04-02,2017-04-04,2,OK
GUFLPO,2008-11-30,2017-11-08,3265,SUSPICIOUS_LARGE_GAP
GULMI,2012-08-16,2012-08-16,0,OK
GVL,2022-04-17,2022-04-19,2,OK
GWFD83,2020-06-30,2021-07-04,369,SUSPICIOUS_LARGE_GAP
H8020,2023-12-13,2024-01-14,32,OK
HAMA,2011-10-23,2012-01-10,79,OK
HAMAPO,2014-07-07,2014-07-07,0,OK
HAMRO,2013-10-08,2013-10-08,0,OK
HAMROP,2015-02-27,2017-07-13,867,SUSPICIOUS_LARGE_GAP
HATH,2011-02-02,2011-03-24,50,OK
HATHPO,2015-09-10,2015-12-16,97,SUSPICIOUS_LARGE_GAP
HATHY,2023-10-10,2023-10-11,1,OK
HBL,1988-07-04,2011-03-20,8294,SUSPICIOUS_LARGE_GAP
HBLD86,2023-02-01,2023-12-18,320,SUSPICIOUS_LARGE_GAP
HBLPO,2013-09-25,2013-09-29,4,OK
HBT,1994-05-05,,,NO_PRICE_HISTORY
HDHPC,2020-02-24,2021-10-19,603,SUSPICIOUS_LARGE_GAP
HDL,2003-03-21,2011-10-24,3139,SUSPICIOUS_LARGE_GAP
HEI,1994-01-26,2022-08-10,10423,SUSPICIOUS_LARGE_GAP
HEIP,2015-11-25,2022-08-30,2470,SUSPICIOUS_LARGE_GAP
HFIL,-,,,INVALID_LISTING_DATE
HFL,2011-03-01,2011-03-28,27,OK
HHL,2022-08-05,2022-08-08,3,OK
HIDCL,2016-07-10,2016-07-12,2,OK
HIDCLP,2016-07-10,2022-08-26,2238,SUSPICIOUS_LARGE_GAP
HIMSTAR,-,2025-09-01,,INVALID_LISTING_DATE
HLBSL,2015-10-25,2015-11-26,32,OK
HLBSLP,2016-01-14,2021-04-15,1918,SUSPICIOUS_LARGE_GAP
HLI,2010-07-13,2023-06-22,4727,SUSPICIOUS_LARGE_GAP
HLICF,2025-11-04,2025-11-05,1,OK
HLIPO,2015-11-25,2023-08-29,2834,SUSPICIOUS_LARGE_GAP
HPPL,2017-08-11,2017-08-21,10,OK
HRL,2024-01-07,2024-01-08,1,OK
HURJA,2019-05-21,2019-05-22,1,OK
ICFC,2007-10-19,2011-03-20,1248,SUSPICIOUS_LARGE_GAP
ICFCD88,2025-03-02,2025-03-09,7,OK
ICFCPO,2010-08-26,2011-05-12,259,SUSPICIOUS_LARGE_GAP
IDBL,2008-05-04,2011-03-24,1054,SUSPICIOUS_LARGE_GAP
IDBLPO,2010-06-29,2013-02-26,973,SUSPICIOUS_LARGE_GAP
IFIL,2007-09-16,2011-03-20,1281,SUSPICIOUS_LARGE_GAP
IFILPO,2012-02-23,,,NO_PRICE_HISTORY
IGI,2004-11-10,2023-06-04,6780,SUSPICIOUS_LARGE_GAP
IGIPO,2015-01-08,2015-01-08,0,OK
IHL,2023-06-19,2023-06-20,1,OK
ILBS,2019-07-07,2019-07-08,1,OK
ILBSP,2019-07-07,2022-09-14,1165,SUSPICIOUS_LARGE_GAP
ILFC,2007-07-30,2012-07-17,1814,SUSPICIOUS_LARGE_GAP
ILFCPO,2015-10-14,,,NO_PRICE_HISTORY
ILI,2023-08-03,2023-08-06,3,OK
IMEFI,2007-07-30,2011-03-24,1333,SUSPICIOUS_LARGE_GAP
IMEFIP,2010-12-02,2011-08-16,257,SUSPICIOUS_LARGE_GAP
INDB,2013-01-27,2013-01-27,0,OK
INDBL,2013-03-17,2013-03-24,7,OK
JALPA,2022-03-11,2022-03-14,3,OK
JALPAP,2022-03-11,,,NO_PRICE_HISTORY
JBBL,2011-03-20,2011-03-20,0,OK
JBBLPO,2013-10-27,2013-10-27,0,OK
JBLB,2021-07-28,2021-07-29,1,OK
JBLBP,2021-07-28,2022-02-15,202,SUSPICIOUS_LARGE_GAP
JBNL,2012-07-15,2012-07-15,0,OK
JBNLPO,2015-04-20,2016-08-01,469,SUSPICIOUS_LARGE_GAP
JEFL,2013-10-08,2013-10-08,0,OK
JEFLPO,2015-04-20,2017-08-09,842,SUSPICIOUS_LARGE_GAP
JFL,2007-07-30,2011-04-05,1345,SUSPICIOUS_LARGE_GAP
JFLPO,2008-05-06,2011-03-24,1052,SUSPICIOUS_LARGE_GAP
JHAPA,2025-11-14,2025-11-16,2,OK
JHBL,2013-09-10,2013-10-17,37,OK
JLI,2021-04-06,2021-04-07,1,OK
JOSHI,2019-01-06,2019-01-07,1,OK
JSLBB,2015-10-25,2015-12-10,46,OK
JSLBBP,2016-01-10,2021-04-21,1928,SUSPICIOUS_LARGE_GAP
JSM,1991-09-27,,,NO_PRICE_HISTORY
KADBL,2012-08-16,2012-08-16,0,OK
KADBLP,2015-12-29,2016-07-06,190,SUSPICIOUS_LARGE_GAP
KAFIL,2009-01-11,2011-03-20,798,SUSPICIOUS_LARGE_GAP
KAFILP,2013-07-14,2013-07-15,1,OK
KBBL,2012-04-25,2012-04-25,0,OK
KBBLPO,2008-08-21,2013-12-22,1949,SUSPICIOUS_LARGE_GAP
KBL,2011-03-20,2011-03-20,0,OK
KBLPO,2008-03-31,2011-04-07,1102,SUSPICIOUS_LARGE_GAP
KBSH,2023-08-20,2023-08-21,1,OK
KCDBL,2014-11-24,2014-11-24,0,OK
KDBL,2010-06-02,2011-03-20,291,SUSPICIOUS_LARGE_GAP
KDBLPO,2013-06-27,2013-06-27,0,OK
KDBY,2022-07-25,2022-07-27,2,OK
KDL,2023-03-22,2023-03-23,1,OK
KEBL,2011-02-01,2011-03-20,47,OK
KEBLPO,2016-01-17,,,NO_PRICE_HISTORY
KEF,2021-04-18,2021-04-19,1,OK
KHDBL,2012-07-18,2012-07-18,0,OK
KHL,-,,,INVALID_LISTING_DATE
KHPL,-,,,INVALID_LISTING_DATE
KISTPO,2008-04-02,2011-05-24,1147,SUSPICIOUS_LARGE_GAP
KKBL,2013-02-22,2013-02-28,6,OK
KKHC,2017-01-11,2017-01-12,1,OK
KLBS,2022-11-14,2022-11-16,2,OK
KLBSLP,2016-02-03,2021-07-12,1986,SUSPICIOUS_LARGE_GAP
KMCDB,2014-01-27,2014-02-06,10,OK
KMCDBP,2015-07-13,2017-02-06,574,SUSPICIOUS_LARGE_GAP
KNBL,2010-12-30,2011-03-20,80,OK
KNBLPO,2015-02-26,2016-08-11,532,SUSPICIOUS_LARGE_GAP
KPCL,2018-10-11,2018-10-11,0,OK
KRBL,2011-02-01,2011-03-20,47,OK
KRBLPO,2016-03-15,2017-02-01,323,SUSPICIOUS_LARGE_GAP
KSBBL,2017-09-12,2017-09-12,0,OK
KSBBLP,2015-06-25,2018-02-11,962,SUSPICIOUS_LARGE_GAP
KSY,2024-03-19,2024-05-05,47,OK
LBBL,2017-07-25,2017-07-25,0,OK
LBBLPO,2014-11-23,2018-03-05,1198,SUSPICIOUS_LARGE_GAP
LBFIL,2008-12-14,2011-04-04,841,SUSPICIOUS_LARGE_GAP
LEC,2020-09-18,2020-09-20,2,OK
LEMF,2017-08-02,2017-08-03,1,OK
LFC,1998-10-08,2011-03-27,4553,SUSPICIOUS_LARGE_GAP
LFCPO,2008-12-28,,,NO_PRICE_HISTORY
LFLC,2007-07-30,2011-03-25,1334,SUSPICIOUS_LARGE_GAP
LFLCPO,2012-12-09,2015-02-23,806,SUSPICIOUS_LARGE_GAP
LGIL,2001-01-08,2011-03-20,3723,SUSPICIOUS_LARGE_GAP
LGILPO,2015-11-25,2019-07-28,1341,SUSPICIOUS_LARGE_GAP
LICN,2003-03-21,2011-03-20,2921,SUSPICIOUS_LARGE_GAP
LICNPO,2015-11-15,,,NO_PRICE_HISTORY
LLBS,2014-10-08,2014-10-14,6,OK
LLBSPO,2015-02-27,,,NO_PRICE_HISTORY
LSL,2017-03-28,2023-08-28,2344,SUSPICIOUS_LARGE_GAP
LSLPO,2008-04-02,2023-08-29,5627,SUSPICIOUS_LARGE_GAP
LUBL,2004-11-10,2011-03-25,2326,SUSPICIOUS_LARGE_GAP
LUBLPO,2008-03-31,2013-08-12,1960,SUSPICIOUS_LARGE_GAP
LUK,2020-09-13,2020-09-14,1,OK
LVF2,2023-09-13,2023-09-21,8,OK
MABEL,2025-11-03,2025-11-04,1,OK
MAKAR,2023-05-04,2023-05-07,3,OK
MANDU,2023-10-10,2023-10-11,1,OK
MATRI,2015-10-25,2024-08-13,3215,SUSPICIOUS_LARGE_GAP
MATRIP,2024-10-07,2024-10-07,0,OK
MBBL,2010-01-29,2011-03-28,423,SUSPICIOUS_LARGE_GAP
MBBLPO,2013-10-06,2013-10-06,0,OK
MBJC,2021-12-24,2021-12-26,2,OK
MBL,2003-05-28,2011-03-20,2853,SUSPICIOUS_LARGE_GAP
MBLD2085,2019-12-04,2021-04-26,509,SUSPICIOUS_LARGE_GAP
MBLEF,2025-05-21,2025-05-22,1,OK
MBLPO,2008-03-30,2012-03-27,1458,SUSPICIOUS_LARGE_GAP
MCHL,2023-06-15,2023-06-18,3,OK
MDB,2010-03-14,2011-04-04,386,SUSPICIOUS_LARGE_GAP
MDBLPO,2008-05-05,2012-05-31,1487,SUSPICIOUS_LARGE_GAP
MDBPO,2014-06-29,2014-06-29,0,OK
MEGA,2013-09-08,2013-09-08,0,OK
MEGAPO,2015-04-20,2017-01-08,629,SUSPICIOUS_LARGE_GAP
MEHL,2023-09-24,2023-09-25,1,OK
MEL,2023-07-04,2023-07-05,1,OK
MEN,2020-12-15,2020-12-16,1,OK
MERO,2016-07-05,2016-09-05,62,OK
MEROPO,2016-07-05,2021-07-15,1836,SUSPICIOUS_LARGE_GAP
METRO,2012-10-07,2012-10-17,10,OK
MFIL,2012-10-30,2012-11-08,9,OK
MFILPO,2016-01-20,2016-12-11,326,SUSPICIOUS_LARGE_GAP
MFL,1998-08-31,2011-03-25,4589,SUSPICIOUS_LARGE_GAP
MFLPO,2012-06-03,2012-06-17,14,OK
MGBL,2010-01-17,,,NO_PRICE_HISTORY
MHCL,2023-04-12,2023-04-13,1,OK
MHL,2022-08-16,2022-08-17,1,OK
MHNL,2019-04-11,2019-04-17,6,OK
MIDBL,2013-10-07,2014-03-04,148,SUSPICIOUS_LARGE_GAP
MIDBLP,2015-04-20,2016-11-27,587,SUSPICIOUS_LARGE_GAP
MKCL,2023-12-13,2023-12-14,1,OK
MKHC,2023-03-20,2023-03-22,2,OK
MKHL,2023-05-15,2023-05-16,1,OK
MKJC,2021-09-21,2021-09-22,1,OK
MKLB,2021-08-01,2021-08-04,3,OK
MKLBP,2021-08-01,,,NO_PRICE_HISTORY
MLBBL,2011-03-24,2014-06-26,1190,SUSPICIOUS_LARGE_GAP
MLBBLP,2015-12-18,2021-03-04,1903,SUSPICIOUS_LARGE_GAP
MLBL,2017-01-09,2017-01-09,0,OK
MLBLD89,2023-08-30,2024-04-29,243,SUSPICIOUS_LARGE_GAP
MLBLPO,2014-10-16,2017-11-20,1131,SUSPICIOUS_LARGE_GAP
MLBS,2021-09-26,2021-10-06,10,OK
MLBSL,2021-03-15,2021-03-16,1,OK
MLBSLP,2021-03-15,2025-03-11,1457,SUSPICIOUS_LARGE_GAP
MMDBL,2014-08-18,2014-09-07,20,OK
MMDBLP,2016-01-12,,,NO_PRICE_HISTORY
MMF1,2021-11-16,2021-11-18,2,OK
MMFDB,2015-08-16,2015-08-27,11,OK
MMFDBP,2015-12-29,2018-12-05,1072,SUSPICIOUS_LARGE_GAP
MMKJL,2023-11-09,2023-11-20,11,OK
MNBBL,2011-11-03,2011-11-03,0,OK
MNBBLP,2015-02-27,2015-04-22,54,OK
MNMF1,2025-01-06,2025-01-16,10,OK
MPFL,2011-10-23,2012-02-12,112,SUSPICIOUS_LARGE_GAP
MPFLPO,2016-02-29,2017-12-26,666,SUSPICIOUS_LARGE_GAP
MSBBL,2013-12-03,2013-12-10,7,OK
MSHL,2023-10-11,2023-10-12,1,OK
MSLB,2017-08-21,2017-08-31,10,OK
MSLBP,2017-08-21,2021-03-21,1308,SUSPICIOUS_LARGE_GAP
MSMBS,2015-10-16,2015-12-09,54,OK
MSMBSP,2016-02-29,,,NO_PRICE_HISTORY
MTBL,2014-02-13,2014-03-19,34,OK
NABB,1996-05-01,2011-03-30,5446,SUSPICIOUS_LARGE_GAP
NABBC,2007-01-10,2011-04-07,1548,SUSPICIOUS_LARGE_GAP
NABBCP,2007-01-10,2022-03-10,5538,SUSPICIOUS_LARGE_GAP
NABBPO,2009-12-16,2014-09-28,1747,SUSPICIOUS_LARGE_GAP
NABIL,1985-11-24,2011-03-20,9247,SUSPICIOUS_LARGE_GAP
