symbol,display_name,missing_fields,merged_date,merged_into,merged_into_name,source_title,note
ABBL,Annapurna Bikash Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (ABBL),Annapurna Bikash Bank Limited is marked as Merged on ShareSansar company page.
ACEDBL,Ace Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (ACEDBL),Ace Development Bank Limited is marked as Merged on ShareSansar company page.
ADLB,Adarsha Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (ADLB),Adarsha Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
AEFL,Alpic Everest Finance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (AEFL),Alpic Everest Finance Company Limited is marked as Merged on ShareSansar company page.
AFL,Api Finance Limtied,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (AFL),Api Finance Limtied is marked as Merged on ShareSansar company page.
AIC,Alliance Insurance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (AIC),Alliance Insurance Company Limited is marked as Merged on ShareSansar company page.
AIL,Ajod Insurance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (AIL),Ajod Insurance Limited is marked as Merged on ShareSansar company page.
AKBSL,Adhikhola Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (AKBSL),Adhikhola Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
ALDBL,Alpine Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (ALDBL),Alpine Development Bank Limited is marked as Merged on ShareSansar company page.
AMFI,Aarambha Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (AMFI),Aarambha Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
APEX,Apex Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (APEX),Apex Development Bank Limited is marked as Merged on ShareSansar company page.
ARDBL,Araniko Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (ARDBL),Araniko Development Bank Limited is marked as Merged on ShareSansar company page.
AXIS,Axis Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (AXIS),Axis Development Bank Limited is marked as Merged on ShareSansar company page.
BBBL,Bhrikuti Vikash Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BBBL),Bhrikuti Vikash Bank Limited is marked as Merged on ShareSansar company page.
BBBLN,Bageshowori Dev.elopment Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BBBLN),Bageshowori Dev.elopment Bank Limited is marked as Merged on ShareSansar company page.
BDBL,Business Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BDBL),Business Development Bank Limited is marked as Merged on ShareSansar company page.
BFCL,Bhaktapur Finance Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BFCL),Bhaktapur Finance Company Limited is marked as Merged on ShareSansar company page.
BFIL,Bhajuratna Finance & Saving Company Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BFIL),Bhajuratna Finance & Saving Company Limited is marked as Merged on ShareSansar company page.
BFL,Butwal Finance Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BFL),Butwal Finance Limited is marked as Merged on ShareSansar company page.
BGDBL,Bagmati Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BGDBL),Bagmati Development Bank Limited is marked as Merged on ShareSansar company page.
BHBL,Bhargav Bikash Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BHBL),Bhargav Bikash Bank Limited is marked as Merged on ShareSansar company page.
BLDBL,Biratlaxmi Bikash Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BLDBL),Biratlaxmi Bikash Bank Limited is marked as Merged on ShareSansar company page.
BOAN,Bank of Asia Nepal Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BOAN),Bank of Asia Nepal Limited is marked as Merged on ShareSansar company page.
BOK,(Former) Bank of Kathmandu Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BOK),(Former) Bank of Kathmandu Limited is marked as Merged on ShareSansar company page.
BOKL,Bank of Kathmandu Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BOKL),Bank of Kathmandu Limited is marked as Merged on ShareSansar company page.
BPW,BPW Laghubitta Bittiya Sanstha Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BPW),BPW Laghubitta Bittiya Sanstha Limited is marked as Merged on ShareSansar company page.
BRTBL,Bright Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BRTBL),Bright Development Bank Limited is marked as Merged on ShareSansar company page.
BSBL,Bishwa Bikas Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BSBL),Bishwa Bikas Bank Limited is marked as Merged on ShareSansar company page.
BUDBL,Business Universal Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (BUDBL),Business Universal Development Bank Limited is marked as Merged on ShareSansar company page.
CDBL,City Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (CDBL),City Development Bank Limited is marked as Merged on ShareSansar company page.
CEDBL,Clean Energy Development Bank Limited,merged_date|merged_into|merged_into_name,,,,ShareSansar company page (CEDBL),Clean Energy Development Bank Limited is marked as Merged on ShareSansar company page.
CEFL,City Express Finance Limited (former Kuber Merchant Finance),merged_date|merged_into|merged_into_name,,,,ShareSansar company page (CEFL),City Express Finance Limited (former Kuber Merchant Finance) is marked as Merged on ShareSansar company page.
